aa	AA-2312-DFW-DTW	December 15, 2011               08:25 PM    	December 15, 2011     	 A34	December 15, 2011               11:50 PM    	December 15, 2011     	 D32    
boston	UA-828-PDX-SFO	7:11 PMDec 15			9:00 PMDec 15		
travelocity	UA-828-PDX-SFO	Dec 15 - 7:11pm	Dec 15 - Not Available	CHK	Dec 15 - 9:00pm	Dec 15 - Not Available	73
orbitz	UA-828-PDX-SFO	7:11pDec 15		 E1	9:00pDec 15		 73
weather	UA-828-PDX-SFO	2011-12-15 07:11 PM			2011-12-15 09:00 PM		
usatoday	UA-828-PDX-SFO	2011-12-15 07:11 PM			2011-12-15 09:00 PM		
ua	UA-3373-IAD-PHL	Thu, Dec 15 8:30 AM	Thu, Dec 15 8:41 AM	A4B	Thu, Dec 15 9:25 AM	Thu, Dec 15 9:38 AM	D7
flightexplorer	UA-3373-IAD-PHL		12/15/2011 8:59AM EST			12/15/2011 9:19AM EST	
airtravelcenter	UA-3373-IAD-PHL		12/15/11 8:59 AM (-05:00)			12/15/11 9:19 AM (-05:00)	
myrateplan	UA-3373-IAD-PHL		12/15/11 8:59 AM (-05:00)			12/15/11 9:19 AM (-05:00)	
helloflight	UA-3373-IAD-PHL		12/15/11 8:59 AM (-05:00)			12/15/11 9:19 AM (-05:00)	
flytecomm	UA-3373-IAD-PHL		12/15/11 8:59 AM (-05:00)			12/15/11 9:19 AM (-05:00)	
flights	UA-3373-IAD-PHL		2011-12-15 08:41 AM	A4		2011-12-15 09:38 AM	D7
businesstravellogue	UA-3373-IAD-PHL		2011-12-15 08:41 AM	A4		2011-12-15 09:38 AM	D7
flylouisville	UA-3373-IAD-PHL		2011-12-15 08:41 AM	A4		2011-12-15 09:38 AM	D7
flightstats	UA-3373-IAD-PHL	2011-12-15 8:30 AM	2011-12-15 8:41 AM		2011-12-15 9:25 AM	2011-12-15 9:38 AM	
quicktrip	UA-3373-IAD-PHL	2011-12-15 8:30 AM	2011-12-15 8:41 AM		2011-12-15 9:25 AM	2011-12-15 9:38 AM	
flightview	UA-3373-IAD-PHL		8:59 AMDec 15			9:38 AMDec 15	
panynj	UA-3373-IAD-PHL		8:59 AMDec 15			9:38 AMDec 15	
gofox	UA-3373-IAD-PHL		8:59 AMDec 15			9:38 AMDec 15	
foxbusiness	UA-3373-IAD-PHL		8:59 AMDec 15			9:38 AMDec 15	
allegiantair	UA-3373-IAD-PHL		8:59 AMDec 15			9:38 AMDec 15	
boston	UA-3373-IAD-PHL		8:59 AMDec 15			9:35 AMDec 15	
travelocity	UA-3373-IAD-PHL	Dec 15 - Not Available	Dec 15 - 8:57am	A4B	Dec 15 - Not Available	Dec 15 - 9:38am	CHK
orbitz	UA-3373-IAD-PHL	8:30aDec 15		 -	9:25aDec 15		 -
weather	UA-3373-IAD-PHL	2011-12-15 08:30 AM			2011-12-15 09:25 AM		
phl	UA-3373-IAD-PHL				2011-12-15 9:25 AM		D7
usatoday	UA-3373-IAD-PHL	2011-12-15 8:30 AM	2011-12-15 8:41 AM		2011-12-15 9:25 AM	2011-12-15 9:38 AM	
flightarrival	UA-3373-IAD-PHL	2011-12-15 08:30 AM			2011-12-15 09:25 AM		
CO	CO-1579-LAX-CLE	Thu., Dec.15, 2011 11:30 p.m.	Thu., Dec.15, 2011 11:30 p.m.		Thu., Dec.15, 2011 6:56 a.m.	Thu., Dec.15, 2011 6:56 a.m.	
flightexplorer	CO-1579-LAX-CLE		12/14/2011 11:46PM PST			12/15/2011 6:45AM EST	
flightexplorer	CO-1579-LAX-CLE	12/15/2011 11:30PM PST			12/16/2011 6:56AM EST		
airtravelcenter	CO-1579-LAX-CLE	12/15/11 11:30 PM (-08:00)			12/16/11 6:56 AM (-05:00)		
myrateplan	CO-1579-LAX-CLE	12/15/11 11:30 PM (-08:00)			12/16/11 6:56 AM (-05:00)		
helloflight	CO-1579-LAX-CLE	12/15/11 11:30 PM (-08:00)			12/16/11 6:56 AM (-05:00)		
flytecomm	CO-1579-LAX-CLE	12/15/11 11:30 PM (-08:00)			12/16/11 6:56 AM (-05:00)		
flightaware	CO-1579-LAX-CLE	2011-12-15 11:30PM PST	2011-12-15 11:47PM PST	 62 	2011-12-15 06:30AM EST	2011-12-15 06:34AM EST	 C10 
wunderground	CO-1579-LAX-CLE	2011-12-15 11:30PM PST	2011-12-15 11:47PM PST	 62 	2011-12-15 06:30AM EST	2011-12-15 06:34AM EST	 C10 
flights	CO-1579-LAX-CLE	2011-12-15 11:30 PM		60	2011-12-15 06:56 AM		
businesstravellogue	CO-1579-LAX-CLE	2011-12-15 11:30 PM		60	2011-12-15 06:56 AM		
flylouisville	CO-1579-LAX-CLE	2011-12-15 11:30 PM		60	2011-12-15 06:56 AM		
flightstats	CO-1579-LAX-CLE	2011-12-15 11:30 PM	2011-12-15 11:30 PM (Estimated)		2011-12-15 6:56 AM	2011-12-15 6:56 AM (Estimated)	
quicktrip	CO-1579-LAX-CLE	2011-12-15 11:30 PM	2011-12-15 11:30 PM (Estimated)		2011-12-15 6:56 AM	2011-12-15 6:56 AM (Estimated)	
flightview	CO-1579-LAX-CLE	11:30 PMDec 15			6:56 AMDec 16		
panynj	CO-1579-LAX-CLE	11:30 PMDec 15			6:56 AMDec 16		
gofox	CO-1579-LAX-CLE	11:30 PMDec 15			6:56 AMDec 16		
foxbusiness	CO-1579-LAX-CLE	11:30 PMDec 15			6:56 AMDec 16		
allegiantair	CO-1579-LAX-CLE	11:30 PMDec 15			6:56 AMDec 16		
boston	CO-1579-LAX-CLE	11:30 PMDec 15			6:56 AMDec 16		
orbitz	CO-1579-LAX-CLE	11:30pDec 15		 60	6:56aDec 16		 -
usatoday	CO-1579-LAX-CLE	11:30 PMDec 15			6:56 AMDec 16		
flightarrival	CO-1579-LAX-CLE	11:30 PMDec 15			6:56 AMDec 16		
CO	CO-1237-PHX-IAH	Thu., Dec.15, 2011 5:50 a.m.	Thu., Dec.15, 2011 5:48 a.m.		Thu., Dec.15, 2011 9:25 a.m.	Thu., Dec.15, 2011 9:28 a.m.	
airtravelcenter	CO-1237-PHX-IAH	12/15/11 5:50 AM (-07:00)			12/15/11 9:25 AM (-06:00)		
myrateplan	CO-1237-PHX-IAH	12/15/11 5:50 AM (-07:00)			12/15/11 9:25 AM (-06:00)		
helloflight	CO-1237-PHX-IAH	12/15/11 5:50 AM (-07:00)			12/15/11 9:25 AM (-06:00)		
flytecomm	CO-1237-PHX-IAH	12/15/11 5:50 AM (-07:00)			12/15/11 9:25 AM (-06:00)		
flights	CO-1237-PHX-IAH		2011-12-15 05:48 AM	8		2011-12-15 09:28 AM	39
businesstravellogue	CO-1237-PHX-IAH		2011-12-15 05:48 AM	8		2011-12-15 09:28 AM	39
flylouisville	CO-1237-PHX-IAH		2011-12-15 05:48 AM	8		2011-12-15 09:28 AM	39
flightstats	CO-1237-PHX-IAH	2011-12-15 5:50 AM	2011-12-15 5:48 AM		2011-12-15 9:25 AM	2011-12-15 9:28 AM	
quicktrip	CO-1237-PHX-IAH	2011-12-15 5:50 AM	2011-12-15 5:48 AM		2011-12-15 9:25 AM	2011-12-15 9:28 AM	
flightview	CO-1237-PHX-IAH		6:01 AMDec 15			9:28 AMDec 15	
panynj	CO-1237-PHX-IAH		6:01 AMDec 15			9:28 AMDec 15	
gofox	CO-1237-PHX-IAH		6:01 AMDec 15			9:28 AMDec 15	
foxbusiness	CO-1237-PHX-IAH		6:01 AMDec 15			9:28 AMDec 15	
allegiantair	CO-1237-PHX-IAH		6:01 AMDec 15			9:28 AMDec 15	
boston	CO-1237-PHX-IAH		6:01 AMDec 15			9:18 AMDec 15	
orbitz	CO-1237-PHX-IAH	5:50aDec 15	5:48aDec 15	 8	9:25aDec 15	9:28aDec 15	 C-39
weather	CO-1237-PHX-IAH	2011-12-15 05:50 AM			2011-12-15 09:25 AM		
usatoday	CO-1237-PHX-IAH	2011-12-15 5:50 AM	2011-12-15 5:48 AM		2011-12-15 9:25 AM	2011-12-15 9:28 AM	
aa	AA-3741-ORD-EWR	December 15, 2011               10:50 PM    	December 15, 2011     	 H3A	December 16, 2011               01:45 AM    	December 16, 2011     	 33    
flightexplorer	AA-3741-ORD-EWR		12/14/2011 11:43PM CST			12/15/2011 2:06AM EST	
flightexplorer	AA-3741-ORD-EWR	12/15/2011 10:50PM CST			12/16/2011 1:45AM EST		
airtravelcenter	AA-3741-ORD-EWR		12/15/11 10:59 PM (-06:00)			12/16/11 1:26 AM (-05:00)	
myrateplan	AA-3741-ORD-EWR		12/15/11 10:59 PM (-06:00)			12/16/11 1:26 AM (-05:00)	
helloflight	AA-3741-ORD-EWR		12/15/11 10:59 PM (-06:00)			12/16/11 1:26 AM (-05:00)	
flytecomm	AA-3741-ORD-EWR		12/15/11 10:59 PM (-06:00)			12/16/11 1:26 AM (-05:00)	
flightaware	AA-3741-ORD-EWR	2011-12-15 10:50PM CST	2011-12-15 11:42PM CST	 G6B 	2011-12-15 01:13AM EST	2011-12-15 02:07AM EST	 30 
wunderground	AA-3741-ORD-EWR	2011-12-15 10:50PM CST	2011-12-15 11:42PM CST	 G6B 	2011-12-15 01:13AM EST	2011-12-15 02:07AM EST	 30 
flights	AA-3741-ORD-EWR	10:50 PM  Thu 15-Dec-2011		H3A	01:45 AM  Fri 16-Dec-2011		33
businesstravellogue	AA-3741-ORD-EWR	10:50 PM  Thu 15-Dec-2011		H3A	01:45 AM  Fri 16-Dec-2011		33
flylouisville	AA-3741-ORD-EWR	10:50 PM  Thu 15-Dec-2011		H3A	01:45 AM  Fri 16-Dec-2011		33
flightstats	AA-3741-ORD-EWR	2011-12-15 10:50 PM	2011-12-15 10:50 PM (Estimated)		2011-12-15 1:45 AM	2011-12-15 1:45 AM (Estimated)	
quicktrip	AA-3741-ORD-EWR	2011-12-15 10:50 PM	2011-12-15 10:50 PM (Estimated)		2011-12-15 1:45 AM	2011-12-15 1:45 AM (Estimated)	
world-flight-tracker	AA-3741-ORD-EWR	2011-12-15 10:50 PM	2011-12-15 10:50 PM (Estimated)		2011-12-15 1:45 AM	2011-12-15 1:45 AM (Estimated)	
flightview	AA-3741-ORD-EWR	10:50 PM, Dec 15		Terminal 3	1:45 AM, Dec 16		Terminal A
panynj	AA-3741-ORD-EWR	10:50 PM, Dec 15		Terminal 3	1:45 AM, Dec 16		Terminal A
gofox	AA-3741-ORD-EWR	10:50 PM, Dec 15			1:45 AM, Dec 16		
foxbusiness	AA-3741-ORD-EWR	10:50 PM, Dec 15		Terminal 3	1:45 AM, Dec 16		Terminal A
allegiantair	AA-3741-ORD-EWR	10:50 PM, Dec 15		Terminal 3	1:45 AM, Dec 16		Terminal A
boston	AA-3741-ORD-EWR	10:50 PM, Dec 15	Not Available		1:45 AM, Dec 16	Not Available	
travelocity	AA-3741-ORD-EWR	Dec 15 - 10:50pm	Dec 15 - Not Available	H3A/T3	Dec 16 - 1:45am	Dec 16 - Not Available	33/A
orbitz	AA-3741-ORD-EWR	10:50pDec 15		 H3A	1:45aDec 16		 33
weather	AA-3741-ORD-EWR	2011-12-15 10:50 PM			2011-12-15 01:45 AM		
usatoday	AA-3741-ORD-EWR	10:50 PM, Dec 15	Not Available		1:45 AM, Dec 16	Not Available	
flightwise	AA-3741-ORD-EWR	2011-12-15 10:50PM CST	2011-12-15 11:42PM CST	 G6B 	2011-12-15 01:13AM EST	2011-12-15 02:07AM EST	 30 
flightarrival	AA-3741-ORD-EWR	2011-12-15 10:50 PM			2011-12-15 01:45 AM		
ua	UA-3759-SYR-IAD	Thu, Dec 15 5:40 AM	Thu, Dec 15 5:35 AM	--	Thu, Dec 15 7:10 AM	Thu, Dec 15 6:50 AM	D4
flightexplorer	UA-3759-SYR-IAD		12/15/2011 5:48AM EST			12/15/2011 6:48AM EST	
airtravelcenter	UA-3759-SYR-IAD	12/15/11 5:40 AM (-05:00)			12/15/11 7:10 AM (-05:00)		
myrateplan	UA-3759-SYR-IAD	12/15/11 5:40 AM (-05:00)			12/15/11 7:10 AM (-05:00)		
helloflight	UA-3759-SYR-IAD	12/15/11 5:40 AM (-05:00)			12/15/11 7:10 AM (-05:00)		
flytecomm	UA-3759-SYR-IAD	12/15/11 5:40 AM (-05:00)			12/15/11 7:10 AM (-05:00)		
flightaware	UA-3759-SYR-IAD	2011-12-15 05:40AM EST	2011-12-15 05:48AM EST		2011-12-15 06:56AM EST	2011-12-15 06:42AM EST	 D4 
wunderground	UA-3759-SYR-IAD	2011-12-15 05:40AM EST	2011-12-15 05:48AM EST		2011-12-15 06:56AM EST	2011-12-15 06:42AM EST	 D4 
flights	UA-3759-SYR-IAD	05:40 AM  Thu 15-Dec-2011	05:35 AM  Thu 15-Dec-2011		07:10 AM  Thu 15-Dec-2011	06:50 AM  Thu 15-Dec-2011	
businesstravellogue	UA-3759-SYR-IAD	05:40 AM  Thu 15-Dec-2011	05:35 AM  Thu 15-Dec-2011		07:10 AM  Thu 15-Dec-2011	06:50 AM  Thu 15-Dec-2011	
flylouisville	UA-3759-SYR-IAD	05:40 AM  Thu 15-Dec-2011	05:35 AM  Thu 15-Dec-2011		07:10 AM  Thu 15-Dec-2011	06:50 AM  Thu 15-Dec-2011	
world-flight-tracker	UA-3759-SYR-IAD	2011-12-15 5:40 AM	2011-12-15 5:35 AM		2011-12-15 7:10 AM	2011-12-15 6:50 AM	
flightview	UA-3759-SYR-IAD	5:40 AM, Dec 15	5:52 AM, Dec 15		7:10 AM, Dec 15	6:50 AM, Dec 15	
panynj	UA-3759-SYR-IAD	5:40 AM, Dec 15	5:52 AM, Dec 15		7:10 AM, Dec 15	6:50 AM, Dec 15	
gofox	UA-3759-SYR-IAD	5:40 AM, Dec 15	5:52 AM, Dec 15		7:10 AM, Dec 15	6:50 AM, Dec 15	
foxbusiness	UA-3759-SYR-IAD	5:40 AM, Dec 15	5:52 AM, Dec 15		7:10 AM, Dec 15	6:50 AM, Dec 15	
allegiantair	UA-3759-SYR-IAD	5:40 AM, Dec 15	5:52 AM, Dec 15		7:10 AM, Dec 15	6:50 AM, Dec 15	
boston	UA-3759-SYR-IAD	5:40 AM, Dec 15	5:52 AM, Dec 15		7:10 AM, Dec 15	6:43 AM, Dec 15	
travelocity	UA-3759-SYR-IAD	Dec 15 - Not Available	Dec 15 - 5:35am	CHK	Dec 15 - Not Available	Dec 15 - 6:50am	D4
orbitz	UA-3759-SYR-IAD	5:40aDec 15	5:35aDec 15	 -	7:10aDec 15	6:50aDec 15	 D4
weather	UA-3759-SYR-IAD	2011-12-15 05:40 AM			2011-12-15 07:10 AM		
usatoday	UA-3759-SYR-IAD	2011-12-15 05:40 AM			2011-12-15 07:10 AM		
flightarrival	UA-3759-SYR-IAD	2011-12-15 05:40 AM			2011-12-15 07:10 AM		
aa	AA-3564-MIA-CLT	December 15, 2011               07:55 AM    	December 15, 2011               07:53 AM    	 D60B	December 15, 2011               09:55 AM    	December 15, 2011               10:02 AM    	 A11    
flightexplorer	AA-3564-MIA-CLT		12/15/2011 8:09AM EST			12/15/2011 9:58AM EST	
airtravelcenter	AA-3564-MIA-CLT		12/15/11 8:09 AM (-05:00)			12/15/11 9:58 AM (-05:00)	
myrateplan	AA-3564-MIA-CLT		12/15/11 8:09 AM (-05:00)			12/15/11 9:58 AM (-05:00)	
helloflight	AA-3564-MIA-CLT		12/15/11 8:09 AM (-05:00)			12/15/11 9:58 AM (-05:00)	
flytecomm	AA-3564-MIA-CLT		12/15/11 8:09 AM (-05:00)			12/15/11 9:58 AM (-05:00)	
flightaware	AA-3564-MIA-CLT	2011-12-15 07:55AM EST	2011-12-15 08:09AM EST	 D60B 	2011-12-15 09:56AM EST	2011-12-15 09:46AM EST	 A11 
wunderground	AA-3564-MIA-CLT	2011-12-15 07:55AM EST	2011-12-15 08:09AM EST	 D60B 	2011-12-15 09:56AM EST	2011-12-15 09:46AM EST	 A11 
flights	AA-3564-MIA-CLT	07:55 AM  Thu 15-Dec-2011	07:53 AM  Thu 15-Dec-2011	D60	09:55 AM  Thu 15-Dec-2011	10:02 AM  Thu 15-Dec-2011	A11
businesstravellogue	AA-3564-MIA-CLT	07:55 AM  Thu 15-Dec-2011	07:53 AM  Thu 15-Dec-2011	D60	09:55 AM  Thu 15-Dec-2011	10:02 AM  Thu 15-Dec-2011	A11
flylouisville	AA-3564-MIA-CLT	07:55 AM  Thu 15-Dec-2011	07:53 AM  Thu 15-Dec-2011	D60	09:55 AM  Thu 15-Dec-2011	10:02 AM  Thu 15-Dec-2011	A11
flightstats	AA-3564-MIA-CLT	2011-12-15 7:55 AM	2011-12-15 7:53 AM		2011-12-15 9:55 AM	2011-12-15 10:02 AM	
quicktrip	AA-3564-MIA-CLT	2011-12-15 7:55 AM	2011-12-15 7:53 AM		2011-12-15 9:55 AM	2011-12-15 10:02 AM	
world-flight-tracker	AA-3564-MIA-CLT	2011-12-15 7:55 AM	2011-12-15 7:53 AM		2011-12-15 9:55 AM	2011-12-15 10:02 AM	
flightview	AA-3564-MIA-CLT	7:55 AM, Dec 15	8:09 AM, Dec 15		9:55 AM, Dec 15	9:59 AM, Dec 15	
panynj	AA-3564-MIA-CLT	7:55 AM, Dec 15	8:09 AM, Dec 15		9:55 AM, Dec 15	9:59 AM, Dec 15	
gofox	AA-3564-MIA-CLT	7:55 AM, Dec 15	8:09 AM, Dec 15		9:55 AM, Dec 15	9:59 AM, Dec 15	
foxbusiness	AA-3564-MIA-CLT	7:55 AM, Dec 15	8:09 AM, Dec 15		9:55 AM, Dec 15	9:59 AM, Dec 15	
allegiantair	AA-3564-MIA-CLT	7:55 AM, Dec 15	8:09 AM, Dec 15		9:55 AM, Dec 15	9:59 AM, Dec 15	
boston	AA-3564-MIA-CLT	7:55 AM, Dec 15	8:09 AM, Dec 15		9:55 AM, Dec 15	9:59 AM, Dec 15	
travelocity	AA-3564-MIA-CLT	Dec 15 - 7:55am	Dec 15 - 7:53am	D60	Dec 15 - 9:55am	Dec 15 - 10:02am	A11
orbitz	AA-3564-MIA-CLT	7:55aDec 15	7:53aDec 15	 D60B	9:55aDec 15	10:02aDec 15	 A11
weather	AA-3564-MIA-CLT	2011-12-15 07:55 AM			2011-12-15 09:55 AM		
ifly	AA-3564-MIA-CLT	2011-12-15 7:55 AM	2011-12-15 7:53 AM		2011-12-15 9:55 AM	2011-12-15 10:02 AM	
mytripandmore	AA-3564-MIA-CLT	7:55aDec 15	7:53aDec 15	 D60B	9:55aDec 15	10:02aDec 15	 A11
flightwise	AA-3564-MIA-CLT	2011-12-15 07:55AM EST	2011-12-15 08:09AM EST	 D60B 	2011-12-15 09:56AM EST	2011-12-15 09:46AM EST	 A11 
aa	AA-382-ORD-LGA	December 15, 2011               09:55 AM    	December 15, 2011               10:02 AM    	 H11A	December 15, 2011               01:00 PM    	December 15, 2011     	 D3    
flightexplorer	AA-382-ORD-LGA		12/15/2011 10:12AM CST			12/15/2011 12:40PM EST	
airtravelcenter	AA-382-ORD-LGA		12/15/11 10:12 AM (-06:00)			12/15/11 12:37 PM (-05:00)	
myrateplan	AA-382-ORD-LGA		12/15/11 10:12 AM (-06:00)			12/15/11 12:37 PM (-05:00)	
helloflight	AA-382-ORD-LGA		12/15/11 10:12 AM (-06:00)			12/15/11 12:37 PM (-05:00)	
flytecomm	AA-382-ORD-LGA		12/15/11 10:12 AM (-06:00)			12/15/11 12:37 PM (-05:00)	
flightaware	AA-382-ORD-LGA	2011-12-15 09:55AM CST	2011-12-15 10:12AM CST	 H11A 	2011-12-15 12:37PM EST	2011-12-15 12:40PM EST	 D3 
wunderground	AA-382-ORD-LGA	2011-12-15 09:55AM CST	2011-12-15 10:12AM CST	 H11A 	2011-12-15 12:37PM EST	2011-12-15 12:40PM EST	 D3 
flights	AA-382-ORD-LGA	09:55 AM  Thu 15-Dec-2011		H11A	01:00 PM  Thu 15-Dec-2011		D3
businesstravellogue	AA-382-ORD-LGA	09:55 AM  Thu 15-Dec-2011		H11A	01:00 PM  Thu 15-Dec-2011		D3
flylouisville	AA-382-ORD-LGA	09:55 AM  Thu 15-Dec-2011		H11A	01:00 PM  Thu 15-Dec-2011		D3
world-flight-tracker	AA-382-ORD-LGA	2011-12-15 9:55 AM	2011-12-15 10:02 AM		2011-12-15 1:00 PM	2011-12-15 12:47 PM (Estimated)	
flightview	AA-382-ORD-LGA	9:55 AM, Dec 15	10:12 AM, Dec 15		1:00 PM, Dec 15		
panynj	AA-382-ORD-LGA	9:55 AM, Dec 15	10:12 AM, Dec 15		1:00 PM, Dec 15		
gofox	AA-382-ORD-LGA	9:55 AM, Dec 15	10:12 AM, Dec 15		1:00 PM, Dec 15		
foxbusiness	AA-382-ORD-LGA	9:55 AM, Dec 15	10:12 AM, Dec 15		1:00 PM, Dec 15		
allegiantair	AA-382-ORD-LGA	9:55 AM, Dec 15	10:12 AM, Dec 15		1:00 PM, Dec 15		
boston	AA-382-ORD-LGA	9:55 AM, Dec 15	10:12 AM, Dec 15		1:00 PM, Dec 15	12:42 PM, Dec 15&nbsp(Estimated)	
travelocity	AA-382-ORD-LGA	Dec 15 - 9:55am	Dec 15 - 10:02am	H11A/T3	Dec 15 - 1:00pm	Dec 15 - 12:49pm*	D3
orbitz	AA-382-ORD-LGA	9:55aDec 15	10:02aDec 15	 H11A	12:38pDec 15		 D3
weather	AA-382-ORD-LGA	2011-12-15 09:55 AM	2011-12-15 10:12 AM		2011-12-15 01:00 PM	2011-12-15 12:38 PM	
ord	AA-382-ORD-LGA	2011-12-15 9:55 AM		H11A	2011-12-15 1:00 PM		D3
usatoday	AA-382-ORD-LGA	2011-12-15 09:55 AM	2011-12-15 10:12 AM		2011-12-15 01:00 PM	2011-12-15 12:38 PM	
flightwise	AA-382-ORD-LGA	2011-12-15 09:55AM CST	2011-12-15 10:12AM CST	 H11A 	2011-12-15 12:37PM EST	2011-12-15 12:40PM EST	 D3 
ua	UA-1677-IAH-LAS	Thu, Dec 15 9:00 AM	Thu, Dec 15 9:12 AM	C-44	Thu, Dec 15 10:29 AM	Thu, Dec 15 11:03 AM	D50
flightexplorer	UA-1677-IAH-LAS		12/15/2011 10:03AM CST			12/15/2011 10:51AM PST	
airtravelcenter	UA-1677-IAH-LAS	12/15/11 9:00 AM (-06:00)			12/15/11 10:29 AM (-08:00)		
myrateplan	UA-1677-IAH-LAS	12/15/11 9:00 AM (-06:00)			12/15/11 10:29 AM (-08:00)		
helloflight	UA-1677-IAH-LAS	12/15/11 9:00 AM (-06:00)			12/15/11 10:29 AM (-08:00)		
flytecomm	UA-1677-IAH-LAS	12/15/11 9:00 AM (-06:00)			12/15/11 10:29 AM (-08:00)		
flightaware	UA-1677-IAH-LAS	2011-12-15 09:00AM CST	2011-12-15 10:03AM CST	 44 	2011-12-15 10:11AM PST	2011-12-15 10:51AM PST	 D50 
wunderground	UA-1677-IAH-LAS	2011-12-15 09:00AM CST	2011-12-15 10:03AM CST	 44 	2011-12-15 10:11AM PST	2011-12-15 10:51AM PST	 D50 
flights	UA-1677-IAH-LAS	09:00 AM  Thu 15-Dec-2011		44	10:29 AM  Thu 15-Dec-2011		D50
businesstravellogue	UA-1677-IAH-LAS	09:00 AM  Thu 15-Dec-2011		44	10:29 AM  Thu 15-Dec-2011		D50
flylouisville	UA-1677-IAH-LAS	09:00 AM  Thu 15-Dec-2011		44	10:29 AM  Thu 15-Dec-2011		D50
world-flight-tracker	UA-1677-IAH-LAS	2011-12-15 9:00 AM	2011-12-15 9:12 AM		2011-12-15 10:29 AM	2011-12-15 11:03 AM (Estimated)	
flightview	UA-1677-IAH-LAS	9:00 AM, Dec 15	10:03 AM, Dec 15		10:29 AM, Dec 15		
panynj	UA-1677-IAH-LAS	9:00 AM, Dec 15	10:03 AM, Dec 15		10:29 AM, Dec 15		
gofox	UA-1677-IAH-LAS	9:00 AM, Dec 15	10:03 AM, Dec 15		10:29 AM, Dec 15		
foxbusiness	UA-1677-IAH-LAS	9:00 AM, Dec 15	10:03 AM, Dec 15		10:29 AM, Dec 15		
allegiantair	UA-1677-IAH-LAS	9:00 AM, Dec 15	10:03 AM, Dec 15		10:29 AM, Dec 15		
boston	UA-1677-IAH-LAS	9:00 AM, Dec 15	10:03 AM, Dec 15		10:29 AM, Dec 15	11:03 AM, Dec 15&nbsp(Estimated)	
travelocity	UA-1677-IAH-LAS	Dec 15 - 9:00am	Dec 15 - Contact Airline	Not provided by airline	Dec 15 - 10:29am	Dec 15 - Contact Airline	Not provided by airline
orbitz	UA-1677-IAH-LAS	9:00aDec 15	9:12aDec 15	 C-44	11:37aDec 15		 D50
weather	UA-1677-IAH-LAS	2011-12-15 09:00 AM	2011-12-15 10:03 AM		2011-12-15 10:29 AM	2011-12-15 10:58 AM	
mytripandmore	UA-1677-IAH-LAS	9:00aDec 15	9:12aDec 15	 C-44	11:37aDec 15		 D50
ua	UA-5812-CWA-ORD	Thu, Dec 15 4:14 PM	Thu, Dec 15 4:14 PM	--	Thu, Dec 15 5:22 PM	Thu, Dec 15 5:22 PM	F7B
airtravelcenter	UA-5812-CWA-ORD	12/15/11 4:14 PM (-06:00)			12/15/11 5:22 PM (-06:00)		
myrateplan	UA-5812-CWA-ORD	12/15/11 4:14 PM (-06:00)			12/15/11 5:22 PM (-06:00)		
helloflight	UA-5812-CWA-ORD	12/15/11 4:14 PM (-06:00)			12/15/11 5:22 PM (-06:00)		
flytecomm	UA-5812-CWA-ORD	12/15/11 4:14 PM (-06:00)			12/15/11 5:22 PM (-06:00)		
flightaware	UA-5812-CWA-ORD	2011-12-15 04:14PM CST	2011-12-15 04:24PM CST		2011-12-15 05:02PM CST	2011-12-15 05:12PM CST	 F7B 
wunderground	UA-5812-CWA-ORD	2011-12-15 04:14PM CST	2011-12-15 04:24PM CST		2011-12-15 05:02PM CST	2011-12-15 05:12PM CST	 F7B 
flights	UA-5812-CWA-ORD	2011-12-15 04:14 PM			2011-12-15 05:22 PM		F7B
businesstravellogue	UA-5812-CWA-ORD	2011-12-15 04:14 PM			2011-12-15 05:22 PM		F7B
flylouisville	UA-5812-CWA-ORD	2011-12-15 04:14 PM			2011-12-15 05:22 PM		F7B
flightview	UA-5812-CWA-ORD	4:14 PMDec 15			5:22 PMDec 15		
panynj	UA-5812-CWA-ORD	4:14 PMDec 15			5:22 PMDec 15		
gofox	UA-5812-CWA-ORD	4:14 PMDec 15			5:22 PMDec 15		
foxbusiness	UA-5812-CWA-ORD	4:14 PMDec 15			5:22 PMDec 15		
allegiantair	UA-5812-CWA-ORD	4:14 PMDec 15			5:22 PMDec 15		
boston	UA-5812-CWA-ORD	4:14 PMDec 15			5:22 PMDec 15		
travelocity	UA-5812-CWA-ORD	Dec 15 - 4:14pm	Dec 15 - Not Available	CHK	Dec 15 - 5:22pm	Dec 15 - Not Available	F7B
orbitz	UA-5812-CWA-ORD	4:14pDec 15		 -	5:22pDec 15		 F7B
usatoday	UA-5812-CWA-ORD	4:14 PMDec 15			5:22 PMDec 15		
flightarrival	UA-5812-CWA-ORD	4:14 PMDec 15			5:22 PMDec 15		
aa	AA-2463-DFW-LAX	December 15, 2011               05:10 PM    	December 15, 2011     	 D29	December 15, 2011               06:35 PM    	December 15, 2011     	 42B    
flightexplorer	AA-2463-DFW-LAX	12/15/2011 5:10PM CST			12/15/2011 6:35PM PST		
airtravelcenter	AA-2463-DFW-LAX		12/15/11 5:14 PM (-06:00)			12/15/11 6:04 PM (-08:00)	
myrateplan	AA-2463-DFW-LAX		12/15/11 5:14 PM (-06:00)			12/15/11 6:04 PM (-08:00)	
helloflight	AA-2463-DFW-LAX		12/15/11 5:14 PM (-06:00)			12/15/11 6:04 PM (-08:00)	
flytecomm	AA-2463-DFW-LAX		12/15/11 5:14 PM (-06:00)			12/15/11 6:04 PM (-08:00)	
