ua	UA-3532-ORD-GRR	Wed, Dec 14 4:48 PM		C2	Wed, Dec 14 6:37 PM		--
foxbusiness	AA-1217-FLL-DFW	11:00 AM, Dec 14	11:09 AM, Dec 14	Terminal 3 - E2	1:15 PM, Dec 14	12:57 PM, Dec 14	A37
allegiantair	AA-1217-FLL-DFW	11:00 AM, Dec 14	11:09 AM, Dec 14	Terminal 3 - E2	1:15 PM, Dec 14	12:57 PM, Dec 14	A37
boston	AA-1217-FLL-DFW	11:00 AM, Dec 14	11:09 AM, Dec 14		1:15 PM, Dec 14	12:57 PM, Dec 14	
travelocity	AA-1217-FLL-DFW	Dec 14 - 11:00am	Dec 14 - 10:53am	E2	Dec 14 - 1:15pm	Dec 14 - 1:17pm	A37/A
orbitz	AA-1217-FLL-DFW	11:00aDec 14	10:53aDec 14	 E2	1:15pDec 14	1:17pDec 14	 A37
weather	AA-1217-FLL-DFW	2011-12-14 11:00 AM	2011-12-14 11:09 AM		2011-12-14 01:15 PM	2011-12-14 12:41 PM	
dfw	AA-1217-FLL-DFW				2011-12-14 1:15 pm		A37
flightarrival	AA-1217-FLL-DFW	11:00 AM, Dec 14	11:09 AM, Dec 14		1:15 PM, Dec 14	12:57 PM, Dec 14	
ua	UA-931-LHR-SFO	Wed, Dec 14 1:35 PM	Wed, Dec 14 3:09 PM	233	Wed, Dec 14 4:26 PM	Wed, Dec 14 6:32 PM	96
airtravelcenter	UA-931-LHR-SFO		12/14/11 3:39 PM (-00:00)			12/14/11 6:19 PM (-08:00)	
myrateplan	UA-931-LHR-SFO		12/14/11 3:39 PM (-00:00)			12/14/11 6:19 PM (-08:00)	
helloflight	UA-931-LHR-SFO		12/14/11 3:39 PM (-00:00)			12/14/11 6:19 PM (-08:00)	
flytecomm	UA-931-LHR-SFO		12/14/11 3:39 PM (-00:00)			12/14/11 6:19 PM (-08:00)	
flights	UA-931-LHR-SFO		2011-12-14 03:09 PM	33		2011-12-14 06:32 PM	G96
businesstravellogue	UA-931-LHR-SFO		2011-12-14 03:09 PM	33		2011-12-14 06:32 PM	G96
flylouisville	UA-931-LHR-SFO		2011-12-14 03:09 PM	33		2011-12-14 06:32 PM	G96
flightview	UA-931-LHR-SFO		3:39 PMDec 14			6:32 PMDec 14	
panynj	UA-931-LHR-SFO		3:39 PMDec 14			6:32 PMDec 14	
gofox	UA-931-LHR-SFO		3:39 PMDec 14			6:32 PMDec 14	
foxbusiness	UA-931-LHR-SFO		3:39 PMDec 14			6:32 PMDec 14	
allegiantair	UA-931-LHR-SFO		3:39 PMDec 14			6:32 PMDec 14	
boston	UA-931-LHR-SFO		3:39 PMDec 14			6:27 PMDec 14	
travelocity	UA-931-LHR-SFO	Dec 14 - Not Available	Dec 14 - 3:39pm	233	Dec 14 - Not Available	Dec 14 - 6:32pm	96
orbitz	UA-931-LHR-SFO	1:35pDec 14	3:09pDec 14	 233	4:26pDec 14	6:32pDec 14	 96
weather	UA-931-LHR-SFO	2011-12-14 01:35 PM			2011-12-14 04:26 PM		
ua	UA-828-SFO-ORD	Wed, Dec 14 11:13 PM	Wed, Dec 14 11:13 PM            On Time	83	Thu, Dec 15 5:16 AM	Thu, Dec 15 5:16 AM	C19
flightexplorer	UA-828-SFO-ORD		12/13/2011 11:20PM PST			12/14/2011 4:57AM CST	
flightexplorer	UA-828-SFO-ORD	12/14/2011 11:13PM PST			12/15/2011 5:16AM CST		
airtravelcenter	UA-828-SFO-ORD	12/14/11 11:13 PM (-08:00)			12/15/11 5:16 AM (-06:00)		
myrateplan	UA-828-SFO-ORD	12/14/11 11:13 PM (-08:00)			12/15/11 5:16 AM (-06:00)		
helloflight	UA-828-SFO-ORD	12/14/11 11:13 PM (-08:00)			12/15/11 5:16 AM (-06:00)		
flytecomm	UA-828-SFO-ORD	12/14/11 11:13 PM (-08:00)			12/15/11 5:16 AM (-06:00)		
flightaware	UA-828-SFO-ORD	2011-12-14 11:08PM PST	2011-12-14 11:21PM PST	 68 	2011-12-14 04:59AM CST	2011-12-14 04:54AM CST	 B9 
wunderground	UA-828-SFO-ORD	2011-12-14 11:08PM PST	2011-12-14 11:21PM PST	 68 	2011-12-14 04:59AM CST	2011-12-14 04:54AM CST	 B9 
flights	UA-828-SFO-ORD	2011-12-14 11:13 PM			2011-12-14 05:16 AM		
businesstravellogue	UA-828-SFO-ORD	2011-12-14 11:13 PM			2011-12-14 05:16 AM		
flylouisville	UA-828-SFO-ORD	2011-12-14 11:13 PM			2011-12-14 05:16 AM		
flightstats	UA-828-SFO-ORD	2011-12-14 11:13 PM	2011-12-14 11:20 PM (Estimated runway)		2011-12-14 5:16 AM	2011-12-14 4:55 AM (Estimated runway)	
quicktrip	UA-828-SFO-ORD	2011-12-14 11:13 PM	2011-12-14 11:20 PM (Estimated runway)		2011-12-14 5:16 AM	2011-12-14 4:55 AM (Estimated runway)	
flightview	UA-828-SFO-ORD	11:13 PMDec 14			5:16 AMDec 15		
panynj	UA-828-SFO-ORD	11:13 PMDec 14			5:16 AMDec 15		
gofox	UA-828-SFO-ORD	11:13 PMDec 14			5:16 AMDec 15		
foxbusiness	UA-828-SFO-ORD	11:13 PMDec 14			5:16 AMDec 15		
allegiantair	UA-828-SFO-ORD	11:13 PMDec 14			5:16 AMDec 15		
boston	UA-828-SFO-ORD	11:13 PMDec 14			5:16 AMDec 15		
orbitz	UA-828-SFO-ORD	11:13pDec 14		 83	5:16aDec 15		 C19
ua	UA-2748-CLT-IAH	Wed, Dec 14 2:50 PM	Wed, Dec 14 2:50 PM            Delayed	C7	Wed, Dec 14 4:40 PM	Wed, Dec 14 4:48 PM	A19
airtravelcenter	UA-2748-CLT-IAH		12/14/11 3:12 PM (-05:00)			12/14/11 4:22 PM (-06:00)	
myrateplan	UA-2748-CLT-IAH		12/14/11 3:12 PM (-05:00)			12/14/11 4:22 PM (-06:00)	
helloflight	UA-2748-CLT-IAH		12/14/11 3:12 PM (-05:00)			12/14/11 4:22 PM (-06:00)	
flytecomm	UA-2748-CLT-IAH		12/14/11 3:12 PM (-05:00)			12/14/11 4:22 PM (-06:00)	
flightaware	UA-2748-CLT-IAH	2011-12-14 02:50PM EST	2011-12-14 03:12PM EST		2011-12-14 04:26PM CST	2011-12-14 04:22PM CST	
wunderground	UA-2748-CLT-IAH	2011-12-14 02:50PM EST	2011-12-14 03:12PM EST		2011-12-14 04:26PM CST	2011-12-14 04:22PM CST	
flights	UA-2748-CLT-IAH		2011-12-14 02:53 PM	C7		2011-12-14 04:48 PM	19
businesstravellogue	UA-2748-CLT-IAH		2011-12-14 02:53 PM	C7		2011-12-14 04:48 PM	19
flylouisville	UA-2748-CLT-IAH		2011-12-14 02:53 PM	C7		2011-12-14 04:48 PM	19
flightstats	UA-2748-CLT-IAH	2011-12-14 2:50 PM	2011-12-14 2:53 PM		2011-12-14 4:40 PM	2011-12-14 4:48 PM	
quicktrip	UA-2748-CLT-IAH	2011-12-14 2:50 PM	2011-12-14 2:53 PM		2011-12-14 4:40 PM	2011-12-14 4:48 PM	
flightview	UA-2748-CLT-IAH		3:12 PMDec 14			4:37 PMDec 14	
panynj	UA-2748-CLT-IAH		3:12 PMDec 14			4:37 PMDec 14	
gofox	UA-2748-CLT-IAH		3:12 PMDec 14			4:37 PMDec 14	
foxbusiness	UA-2748-CLT-IAH		3:12 PMDec 14			4:37 PMDec 14	
allegiantair	UA-2748-CLT-IAH		3:12 PMDec 14			4:37 PMDec 14	
boston	UA-2748-CLT-IAH		3:12 PMDec 14			4:37 PMDec 14	
orbitz	UA-2748-CLT-IAH	2:50pDec 14	2:53pDec 14	 -	4:40pDec 14	4:48pDec 14	 -
flightarrival	UA-2748-CLT-IAH	2011-12-14 2:50 PM	2011-12-14 2:53 PM		2011-12-14 4:40 PM	2011-12-14 4:48 PM	
aa	AA-1198-LAX-LAS				December 14, 2011               09:25 PM    	December 14, 2011     	 D37    
flightexplorer	AA-1198-LAX-LAS		12/14/2011 8:54PM PST			12/14/2011 9:47PM PST	
airtravelcenter	AA-1198-LAX-LAS		12/14/11 8:37 PM (-08:00)			12/14/11 9:30 PM (-08:00)	
myrateplan	AA-1198-LAX-LAS		12/14/11 8:37 PM (-08:00)			12/14/11 9:30 PM (-08:00)	
helloflight	AA-1198-LAX-LAS		12/14/11 8:37 PM (-08:00)			12/14/11 9:30 PM (-08:00)	
flytecomm	AA-1198-LAX-LAS		12/14/11 8:37 PM (-08:00)			12/14/11 9:30 PM (-08:00)	
flightaware	AA-1198-LAX-LAS	2011-12-14 08:20PM PST	2011-12-14 08:53PM PST	 47A 	2011-12-14 09:27PM PST	2011-12-14 09:43PM PST	 D37 
wunderground	AA-1198-LAX-LAS	2011-12-14 08:20PM PST	2011-12-14 08:53PM PST	 47A 	2011-12-14 09:27PM PST	2011-12-14 09:43PM PST	 D37 
flights	AA-1198-LAX-LAS	08:20 PM  Wed 14-Dec-2011		47A	09:25 PM  Wed 14-Dec-2011		D37
businesstravellogue	AA-1198-LAX-LAS	08:20 PM  Wed 14-Dec-2011		47A	09:25 PM  Wed 14-Dec-2011		D37
flylouisville	AA-1198-LAX-LAS	08:20 PM  Wed 14-Dec-2011		47A	09:25 PM  Wed 14-Dec-2011		D37
world-flight-tracker	AA-1198-LAX-LAS	2011-12-14 8:20 PM	2011-12-14 8:21 PM		2011-12-14 9:25 PM	2011-12-14 9:38 PM (Estimated)	
flightview	AA-1198-LAX-LAS	8:20 PM, Dec 14		Terminal 4 - 47A	9:25 PM, Dec 14		Terminal 1 - D37
panynj	AA-1198-LAX-LAS	8:20 PM, Dec 14		Terminal 4 - 47A	9:25 PM, Dec 14		Terminal 1 - D37
gofox	AA-1198-LAX-LAS	8:20 PM, Dec 14			9:25 PM, Dec 14		
foxbusiness	AA-1198-LAX-LAS	8:20 PM, Dec 14		Terminal 4 - 47A	9:25 PM, Dec 14		Terminal 1 - D37
allegiantair	AA-1198-LAX-LAS	8:20 PM, Dec 14		Terminal 4 - 47A	9:25 PM, Dec 14		Terminal 1 - D37
boston	AA-1198-LAX-LAS	8:20 PM, Dec 14	8:54 PM, Dec 14&nbsp(Estimated)		9:25 PM, Dec 14	9:47 PM, Dec 14&nbsp(Estimated)	
travelocity	AA-1198-LAX-LAS	Dec 14 - 8:20pm	Dec 14 - 8:21pm	47A/T4	Dec 14 - 9:25pm	Dec 14 - 9:53pm*	D37
orbitz	AA-1198-LAX-LAS	8:20pDec 14	8:21pDec 14	 47A	10:21pDec 14		 D37
weather	AA-1198-LAX-LAS	2011-12-14 08:20 PM			2011-12-14 09:25 PM		
usatoday	AA-1198-LAX-LAS	8:20 PM, Dec 14	8:54 PM, Dec 14&nbsp(Estimated)		9:25 PM, Dec 14	9:47 PM, Dec 14&nbsp(Estimated)	
flightwise	AA-1198-LAX-LAS	2011-12-14 08:20PM PST	2011-12-14 08:53PM PST	 47A 	2011-12-14 09:27PM PST	2011-12-14 09:43PM PST	 D37 
flightarrival	AA-1198-LAX-LAS	2011-12-14 08:20 PM			2011-12-14 09:25 PM		
ua	UA-897-BOS-IAD	Wed, Dec 14 9:22 AM	Wed, Dec 14 9:18 AM	C20	Wed, Dec 14 11:08 AM	Wed, Dec 14 10:52 AM	C19
airtravelcenter	UA-897-BOS-IAD		12/14/11 9:33 AM (-05:00)			12/14/11 10:40 AM (-05:00)	
myrateplan	UA-897-BOS-IAD		12/14/11 9:33 AM (-05:00)			12/14/11 10:40 AM (-05:00)	
helloflight	UA-897-BOS-IAD		12/14/11 9:33 AM (-05:00)			12/14/11 10:40 AM (-05:00)	
flytecomm	UA-897-BOS-IAD		12/14/11 9:33 AM (-05:00)			12/14/11 10:40 AM (-05:00)	
flights	UA-897-BOS-IAD		2011-12-14 09:18 AM	C20		2011-12-14 10:52 AM	C19
businesstravellogue	UA-897-BOS-IAD		2011-12-14 09:18 AM	C20		2011-12-14 10:52 AM	C19
flylouisville	UA-897-BOS-IAD		2011-12-14 09:18 AM	C20		2011-12-14 10:52 AM	C19
flightstats	UA-897-BOS-IAD	2011-12-14 9:22 AM	2011-12-14 9:18 AM		2011-12-14 11:08 AM	2011-12-14 10:52 AM	
quicktrip	UA-897-BOS-IAD	2011-12-14 9:22 AM	2011-12-14 9:18 AM		2011-12-14 11:08 AM	2011-12-14 10:52 AM	
flightview	UA-897-BOS-IAD		9:35 AMDec 14			10:52 AMDec 14	
panynj	UA-897-BOS-IAD		9:35 AMDec 14			10:52 AMDec 14	
gofox	UA-897-BOS-IAD		9:35 AMDec 14			10:52 AMDec 14	
foxbusiness	UA-897-BOS-IAD		9:35 AMDec 14			10:52 AMDec 14	
allegiantair	UA-897-BOS-IAD		9:35 AMDec 14			10:52 AMDec 14	
boston	UA-897-BOS-IAD		9:35 AMDec 14			10:49 AMDec 14	
travelocity	UA-897-BOS-IAD	Dec 14 - Not Available	Dec 14 - 9:35am	C20	Dec 14 - Not Available	Dec 14 - 10:52am	C19
orbitz	UA-897-BOS-IAD	9:22aDec 14	9:18aDec 14	 C20	11:08aDec 14	10:52aDec 14	 C19
weather	UA-897-BOS-IAD	2011-12-14 09:22 AM	2011-12-14 09:35 AM		2011-12-14 11:08 AM	2011-12-14 10:37 AM	
mytripandmore	UA-897-BOS-IAD	Dec 14 - Not Available	Dec 14 - 9:35am	C20	Dec 14 - Not Available	Dec 14 - 10:52am	C19
aa	AA-2495-BDL-DFW	December 14, 2011               06:15 PM    	December 14, 2011               06:14 PM    	 A26	December 14, 2011               09:25 PM    	December 14, 2011               09:30 PM    	 C14    
airtravelcenter	AA-2495-BDL-DFW		12/14/11 6:25 PM (-05:00)			12/14/11 9:16 PM (-06:00)	
myrateplan	AA-2495-BDL-DFW		12/14/11 6:25 PM (-05:00)			12/14/11 9:16 PM (-06:00)	
helloflight	AA-2495-BDL-DFW		12/14/11 6:25 PM (-05:00)			12/14/11 9:16 PM (-06:00)	
flytecomm	AA-2495-BDL-DFW		12/14/11 6:25 PM (-05:00)			12/14/11 9:16 PM (-06:00)	
flights	AA-2495-BDL-DFW		2011-12-14 06:14 PM	26		2011-12-14 09:30 PM	C14
businesstravellogue	AA-2495-BDL-DFW		2011-12-14 06:14 PM	26		2011-12-14 09:30 PM	C14
flylouisville	AA-2495-BDL-DFW		2011-12-14 06:14 PM	26		2011-12-14 09:30 PM	C14
flightview	AA-2495-BDL-DFW		6:25 PMDec 14			9:24 PMDec 14	
panynj	AA-2495-BDL-DFW		6:25 PMDec 14			9:24 PMDec 14	
gofox	AA-2495-BDL-DFW		6:25 PMDec 14			9:24 PMDec 14	
foxbusiness	AA-2495-BDL-DFW		6:25 PMDec 14			9:24 PMDec 14	
allegiantair	AA-2495-BDL-DFW		6:25 PMDec 14			9:24 PMDec 14	
boston	AA-2495-BDL-DFW		6:25 PMDec 14			9:24 PMDec 14	
travelocity	AA-2495-BDL-DFW	Dec 14 - 6:15pm	Dec 14 - 6:14pm	A26	Dec 14 - 9:25pm	Dec 14 - 9:30pm	C14/C
orbitz	AA-2495-BDL-DFW	6:15pDec 14	6:14pDec 14	 A26	9:25pDec 14	9:30pDec 14	 C14
weather	AA-2495-BDL-DFW	2011-12-14 06:15 PM			2011-12-14 09:25 PM		
dfw	AA-2495-BDL-DFW				2011-12-14 9:25 pm		C14
usatoday	AA-2495-BDL-DFW	2011-12-14 06:15 PM			2011-12-14 09:25 PM		
aa	AA-524-DFW-DTW	December 14, 2011               05:25 PM    	December 14, 2011               05:36 PM    	 A23	December 14, 2011               08:55 PM    	December 14, 2011               09:16 PM    	 D17    
flightexplorer	AA-524-DFW-DTW		12/14/2011 5:56PM CST			12/14/2011 9:13PM EST	
airtravelcenter	AA-524-DFW-DTW		12/14/11 5:56 PM (-06:00)			12/14/11 8:51 PM (-05:00)	
myrateplan	AA-524-DFW-DTW		12/14/11 5:56 PM (-06:00)			12/14/11 8:51 PM (-05:00)	
helloflight	AA-524-DFW-DTW		12/14/11 5:56 PM (-06:00)			12/14/11 8:51 PM (-05:00)	
flytecomm	AA-524-DFW-DTW		12/14/11 5:56 PM (-06:00)			12/14/11 8:51 PM (-05:00)	
flightaware	AA-524-DFW-DTW	2011-12-14 05:25PM CST	2011-12-14 05:56PM CST	 A23 	2011-12-14 08:24PM EST	2011-12-14 08:51PM EST	 D17 
wunderground	AA-524-DFW-DTW	2011-12-14 05:25PM CST	2011-12-14 05:56PM CST	 A23 	2011-12-14 08:24PM EST	2011-12-14 08:51PM EST	 D17 
flights	AA-524-DFW-DTW		2011-12-14 05:36 PM	A23		2011-12-14 09:16 PM	D17
businesstravellogue	AA-524-DFW-DTW		2011-12-14 05:36 PM	A23		2011-12-14 09:16 PM	D17
flylouisville	AA-524-DFW-DTW		2011-12-14 05:36 PM	A23		2011-12-14 09:16 PM	D17
flightstats	AA-524-DFW-DTW	2011-12-14 5:25 PM	2011-12-14 5:36 PM		2011-12-14 8:55 PM	2011-12-14 9:16 PM	
quicktrip	AA-524-DFW-DTW	2011-12-14 5:25 PM	2011-12-14 5:36 PM		2011-12-14 8:55 PM	2011-12-14 9:16 PM	
flightview	AA-524-DFW-DTW		5:56 PMDec 14			9:08 PMDec 14	
panynj	AA-524-DFW-DTW		5:56 PMDec 14			9:08 PMDec 14	
gofox	AA-524-DFW-DTW		5:56 PMDec 14			9:08 PMDec 14	
foxbusiness	AA-524-DFW-DTW		5:56 PMDec 14			9:08 PMDec 14	
allegiantair	AA-524-DFW-DTW		5:56 PMDec 14			9:08 PMDec 14	
boston	AA-524-DFW-DTW		5:56 PMDec 14			9:08 PMDec 14	
orbitz	AA-524-DFW-DTW	5:25pDec 14	5:36pDec 14	 A23	8:55pDec 14	9:16pDec 14	 D17
dfw	AA-524-DFW-DTW	2011-12-14 5:25 pm		A23			
ifly	AA-524-DFW-DTW	2011-12-14 5:25 PM	2011-12-14 5:36 PM		2011-12-14 8:55 PM	2011-12-14 9:16 PM	
usatoday	AA-524-DFW-DTW		5:56 PMDec 14			9:08 PMDec 14	
CO	CO-4775-CVG-CLE	Wed., Dec.14, 2011 6:25 p.m.	Wed., Dec.14, 2011 6:15 p.m.		Wed., Dec.14, 2011 7:35 p.m.	Wed., Dec.14, 2011 7:28 p.m.	
airtravelcenter	CO-4775-CVG-CLE		12/14/11 6:27 PM (-05:00)			12/14/11 7:09 PM (-05:00)	
myrateplan	CO-4775-CVG-CLE		12/14/11 6:27 PM (-05:00)			12/14/11 7:09 PM (-05:00)	
helloflight	CO-4775-CVG-CLE		12/14/11 6:27 PM (-05:00)			12/14/11 7:09 PM (-05:00)	
flytecomm	CO-4775-CVG-CLE		12/14/11 6:27 PM (-05:00)			12/14/11 7:09 PM (-05:00)	
flights	CO-4775-CVG-CLE		2011-12-14 06:15 PM	2		2011-12-14 07:28 PM	D28B
businesstravellogue	CO-4775-CVG-CLE		2011-12-14 06:15 PM	2		2011-12-14 07:28 PM	D28B
flylouisville	CO-4775-CVG-CLE		2011-12-14 06:15 PM	2		2011-12-14 07:28 PM	D28B
flightstats	CO-4775-CVG-CLE	2011-12-14 6:25 PM	2011-12-14 6:15 PM		2011-12-14 7:35 PM	2011-12-14 7:28 PM	
quicktrip	CO-4775-CVG-CLE	2011-12-14 6:25 PM	2011-12-14 6:15 PM		2011-12-14 7:35 PM	2011-12-14 7:28 PM	
flightview	CO-4775-CVG-CLE		6:27 PMDec 14			7:28 PMDec 14	
panynj	CO-4775-CVG-CLE		6:27 PMDec 14			7:28 PMDec 14	
gofox	CO-4775-CVG-CLE		6:27 PMDec 14			7:28 PMDec 14	
foxbusiness	CO-4775-CVG-CLE		6:27 PMDec 14			7:28 PMDec 14	
allegiantair	CO-4775-CVG-CLE		6:27 PMDec 14			7:28 PMDec 14	
boston	CO-4775-CVG-CLE		6:27 PMDec 14			7:20 PMDec 14	
orbitz	CO-4775-CVG-CLE	6:25pDec 14	6:15pDec 14	 2	7:35pDec 14	7:28pDec 14	 D28B
orbitz	CO-4775-CVG-CLE	6:25pDec 14	6:15pDec 14	 -	7:35pDec 14	7:28pDec 14	 -
ifly	CO-4775-CVG-CLE	2011-12-14 6:25 PM	2011-12-14 6:15 PM		2011-12-14 7:35 PM	2011-12-14 7:28 PM	
usatoday	CO-4775-CVG-CLE	2011-12-14 6:25 PM	2011-12-14 6:15 PM		2011-12-14 7:35 PM	2011-12-14 7:28 PM	
ua	UA-867-SFO-LAX	Wed, Dec 14 11:35 AM	Wed, Dec 14 11:40 AM            Delayed	86	Wed, Dec 14 1:08 PM	Wed, Dec 14 12:55 PM	76
flightexplorer	UA-867-SFO-LAX		12/14/2011 11:56AM PST			12/14/2011 12:53PM PST	
airtravelcenter	UA-867-SFO-LAX		12/14/11 11:57 AM (-08:00)			12/14/11 12:53 PM (-08:00)	
myrateplan	UA-867-SFO-LAX		12/14/11 11:57 AM (-08:00)			12/14/11 12:53 PM (-08:00)	
helloflight	UA-867-SFO-LAX		12/14/11 11:57 AM (-08:00)			12/14/11 12:53 PM (-08:00)	
flytecomm	UA-867-SFO-LAX		12/14/11 11:57 AM (-08:00)			12/14/11 12:53 PM (-08:00)	
flights	UA-867-SFO-LAX		2011-12-14 11:40 AM	86		2011-12-14 12:55 PM	76
businesstravellogue	UA-867-SFO-LAX		2011-12-14 11:40 AM	86		2011-12-14 12:55 PM	76
flylouisville	UA-867-SFO-LAX		2011-12-14 11:40 AM	86		2011-12-14 12:55 PM	76
flightstats	UA-867-SFO-LAX	2011-12-14 11:35 AM	2011-12-14 11:40 AM		2011-12-14 1:08 PM	2011-12-14 12:55 PM	
quicktrip	UA-867-SFO-LAX	2011-12-14 11:35 AM	2011-12-14 11:40 AM		2011-12-14 1:08 PM	2011-12-14 12:55 PM	
flightview	UA-867-SFO-LAX		11:57 AMDec 14			12:55 PMDec 14	
panynj	UA-867-SFO-LAX		11:57 AMDec 14			12:55 PMDec 14	
gofox	UA-867-SFO-LAX		11:57 AMDec 14			12:55 PMDec 14	
foxbusiness	UA-867-SFO-LAX		11:57 AMDec 14			12:55 PMDec 14	
allegiantair	UA-867-SFO-LAX		11:57 AMDec 14			12:55 PMDec 14	
boston	UA-867-SFO-LAX		11:57 AMDec 14			12:51 PMDec 14	
orbitz	UA-867-SFO-LAX	11:35aDec 14	11:40aDec 14	 86	1:08pDec 14	12:55pDec 14	 76
flightarrival	UA-867-SFO-LAX		11:57 AMDec 14			12:51 PMDec 14	
CO	CO-112-CLE-EWR	Wed., Dec.14, 2011 4:55 p.m.	Wed., Dec.14, 2011 4:46 p.m.		Wed., Dec.14, 2011 6:49 p.m.	Wed., Dec.14, 2011 6:37 p.m.	
flightexplorer	CO-112-CLE-EWR		12/14/2011 5:24PM EST			12/14/2011 6:29PM EST	
airtravelcenter	CO-112-CLE-EWR	12/14/11 4:55 PM (-05:00)			12/14/11 6:49 PM (-05:00)		
myrateplan	CO-112-CLE-EWR	12/14/11 4:55 PM (-05:00)			12/14/11 6:49 PM (-05:00)		
helloflight	CO-112-CLE-EWR	12/14/11 4:55 PM (-05:00)			12/14/11 6:49 PM (-05:00)		
flytecomm	CO-112-CLE-EWR	12/14/11 4:55 PM (-05:00)			12/14/11 6:49 PM (-05:00)		
flightaware	CO-112-CLE-EWR	2011-12-14 04:55PM EST	2011-12-14 05:24PM EST	 C7 	2011-12-14 06:11PM EST	2011-12-14 06:26PM EST	 107 
wunderground	CO-112-CLE-EWR	2011-12-14 04:55PM EST	2011-12-14 05:24PM EST	 C7 	2011-12-14 06:11PM EST	2011-12-14 06:26PM EST	 107 
flights	CO-112-CLE-EWR	04:55 PM  Wed 14-Dec-2011	04:46 PM  Wed 14-Dec-2011	C7	06:49 PM  Wed 14-Dec-2011	06:37 PM  Wed 14-Dec-2011	107
businesstravellogue	CO-112-CLE-EWR	04:55 PM  Wed 14-Dec-2011	04:46 PM  Wed 14-Dec-2011	C7	06:49 PM  Wed 14-Dec-2011	06:37 PM  Wed 14-Dec-2011	107
flylouisville	CO-112-CLE-EWR	04:55 PM  Wed 14-Dec-2011	04:46 PM  Wed 14-Dec-2011	C7	06:49 PM  Wed 14-Dec-2011	06:37 PM  Wed 14-Dec-2011	107
flightstats	CO-112-CLE-EWR	2011-12-14 4:55 PM	2011-12-14 4:46 PM		2011-12-14 6:49 PM	2011-12-14 6:37 PM	
quicktrip	CO-112-CLE-EWR	2011-12-14 4:55 PM	2011-12-14 4:46 PM		2011-12-14 6:49 PM	2011-12-14 6:37 PM	
world-flight-tracker	CO-112-CLE-EWR	2011-12-14 4:55 PM	2011-12-14 4:46 PM		2011-12-14 6:49 PM	2011-12-14 6:37 PM	
flightview	CO-112-CLE-EWR	4:55 PM, Dec 14	5:24 PM, Dec 14	Main Term - C7	6:49 PM, Dec 14	6:37 PM, Dec 14	Term C - C107
panynj	CO-112-CLE-EWR	4:55 PM, Dec 14	5:24 PM, Dec 14	Main Term - C7	6:49 PM, Dec 14	6:37 PM, Dec 14	Term C - C107
gofox	CO-112-CLE-EWR	4:55 PM, Dec 14	5:24 PM, Dec 14		6:49 PM, Dec 14	6:37 PM, Dec 14	
foxbusiness	CO-112-CLE-EWR	4:55 PM, Dec 14	5:24 PM, Dec 14	Main Term - C7	6:49 PM, Dec 14	6:37 PM, Dec 14	Term C - C107
allegiantair	CO-112-CLE-EWR	4:55 PM, Dec 14	5:24 PM, Dec 14	Main Term - C7	6:49 PM, Dec 14	6:37 PM, Dec 14	Term C - C107
boston	CO-112-CLE-EWR	4:55 PM, Dec 14	5:24 PM, Dec 14		6:49 PM, Dec 14	6:27 PM, Dec 14	
travelocity	CO-112-CLE-EWR	Dec 14 - 4:55pm	Dec 14 - 4:46pm	C07	Dec 14 - 6:49pm	Dec 14 - 6:37pm	C107
orbitz	CO-112-CLE-EWR	4:55pDec 14	4:46pDec 14	 C07	6:49pDec 14	6:37pDec 14	 107
weather	CO-112-CLE-EWR	2011-12-14 04:55 PM			2011-12-14 06:49 PM		
ifly	CO-112-CLE-EWR	2011-12-14 4:55 PM	2011-12-14 4:46 PM		2011-12-14 6:49 PM	2011-12-14 6:37 PM	
usatoday	CO-112-CLE-EWR	2011-12-14 04:55 PM			2011-12-14 06:49 PM		
aa	AA-474-DFW-ATL	December 14, 2011               12:35 PM    	December 14, 2011               12:33 PM    	 A35	December 14, 2011               03:35 PM    	December 14, 2011               03:31 PM    	 T12    
flightexplorer	AA-474-DFW-ATL		12/14/2011 12:44PM CST			12/14/2011 3:17PM EST	
airtravelcenter	AA-474-DFW-ATL		12/14/11 12:44 PM (-06:00)			12/14/11 3:17 PM (-05:00)	
myrateplan	AA-474-DFW-ATL		12/14/11 12:44 PM (-06:00)			12/14/11 3:17 PM (-05:00)	
helloflight	AA-474-DFW-ATL		12/14/11 12:44 PM (-06:00)			12/14/11 3:17 PM (-05:00)	
flytecomm	AA-474-DFW-ATL		12/14/11 12:44 PM (-06:00)			12/14/11 3:17 PM (-05:00)	
flightaware	AA-474-DFW-ATL	2011-12-14 12:35PM CST	2011-12-14 12:44PM CST	 A35 	2011-12-14 03:26PM EST	2011-12-14 03:14PM EST	 T12 
wunderground	AA-474-DFW-ATL	2011-12-14 12:35PM CST	2011-12-14 12:44PM CST	 A35 	2011-12-14 03:26PM EST	2011-12-14 03:14PM EST	 T12 
flights	AA-474-DFW-ATL		2011-12-14 12:33 PM	A35		2011-12-14 03:31 PM	T12
businesstravellogue	AA-474-DFW-ATL		2011-12-14 12:33 PM	A35		2011-12-14 03:31 PM	T12
flylouisville	AA-474-DFW-ATL		2011-12-14 12:33 PM	A35		2011-12-14 03:31 PM	T12
flightstats	AA-474-DFW-ATL	2011-12-14 12:35 PM	2011-12-14 12:33 PM		2011-12-14 3:35 PM	2011-12-14 3:31 PM	
