CO	CO-4237-EWR-DTW	Tue., Dec.27, 2011 12:17 p.m.	Tue., Dec.27, 2011 12:20 p.m.		Tue., Dec.27, 2011 2:24 p.m.	Tue., Dec.27, 2011 2:07 p.m.	
flightexplorer	UA-279-ORD-DEN		12/27/2011 8:11AM CST			12/27/2011 9:05AM MST	
airtravelcenter	UA-279-ORD-DEN		12/27/11 8:13 AM (-06:00)			12/27/11 9:05 AM (-07:00)	
myrateplan	UA-279-ORD-DEN		12/27/11 8:13 AM (-06:00)			12/27/11 9:05 AM (-07:00)	
helloflight	UA-279-ORD-DEN		12/27/11 8:13 AM (-06:00)			12/27/11 9:05 AM (-07:00)	
flytecomm	UA-279-ORD-DEN		12/27/11 8:13 AM (-06:00)			12/27/11 9:05 AM (-07:00)	
flightaware	UA-279-ORD-DEN	2011-12-27 08:00AM CST	2011-12-27 08:13AM CST	 C16 	2011-12-27 09:21AM MST	2011-12-27 09:11AM MST	 B42 
wunderground	UA-279-ORD-DEN	2011-12-27 08:00AM CST	2011-12-27 08:13AM CST	 C16 	2011-12-27 09:21AM MST	2011-12-27 09:11AM MST	 B42 
flights	UA-279-ORD-DEN	08:00 AM  Tue 27-Dec-2011	07:56 AM  Tue 27-Dec-2011	C16	09:53 AM  Tue 27-Dec-2011	09:17 AM  Tue 27-Dec-2011	B42
businesstravellogue	UA-279-ORD-DEN	08:00 AM  Tue 27-Dec-2011	07:56 AM  Tue 27-Dec-2011	C16	09:53 AM  Tue 27-Dec-2011	09:17 AM  Tue 27-Dec-2011	B42
flylouisville	UA-279-ORD-DEN	08:00 AM  Tue 27-Dec-2011	07:56 AM  Tue 27-Dec-2011	C16	09:53 AM  Tue 27-Dec-2011	09:17 AM  Tue 27-Dec-2011	B42
world-flight-tracker	UA-279-ORD-DEN	2011-12-27 8:00 AM	2011-12-27 7:56 AM		2011-12-27 9:53 AM	2011-12-27 9:17 AM	
flightview	UA-279-ORD-DEN	8:00 AM, Dec 27	8:13 AM, Dec 27	C16	9:53 AM, Dec 27	9:17 AM, Dec 27	B42
panynj	UA-279-ORD-DEN	8:00 AM, Dec 27	8:13 AM, Dec 27	C16	9:53 AM, Dec 27	9:17 AM, Dec 27	B42
gofox	UA-279-ORD-DEN	8:00 AM, Dec 27	8:13 AM, Dec 27		9:53 AM, Dec 27	9:17 AM, Dec 27	
foxbusiness	UA-279-ORD-DEN	8:00 AM, Dec 27	8:13 AM, Dec 27	C16	9:53 AM, Dec 27	9:17 AM, Dec 27	B42
allegiantair	UA-279-ORD-DEN	8:00 AM, Dec 27	8:13 AM, Dec 27	C16	9:53 AM, Dec 27	9:17 AM, Dec 27	B42
boston	UA-279-ORD-DEN	8:00 AM, Dec 27	8:13 AM, Dec 27		9:53 AM, Dec 27	9:16 AM, Dec 27	
travelocity	UA-279-ORD-DEN	Dec 27 - Not Available	Dec 27 - 8:12am	C16	Dec 27 - Not Available	Dec 27 - 9:17am	B42
orbitz	UA-279-ORD-DEN	8:00aDec 27	7:56aDec 27	 C16	9:53aDec 27	9:17aDec 27	 B42
weather	UA-279-ORD-DEN	2011-12-27 08:00 AM	2011-12-27 08:13 AM		2011-12-27 09:53 AM	2011-12-27 09:10 AM	
den	UA-279-ORD-DEN				2011-12-27 9:53 AM		B42
ord	UA-279-ORD-DEN	2011-12-27 8:00 AM		C16	2011-12-27 9:53 AM		B42
usatoday	UA-279-ORD-DEN	2011-12-27 08:00 AM	2011-12-27 08:13 AM		2011-12-27 09:53 AM	2011-12-27 09:10 AM	
mytripandmore	UA-279-ORD-DEN	Dec 27 - Not Available	Dec 27 - 8:12am	C16	Dec 27 - Not Available	Dec 27 - 9:17am	B42
flightwise	UA-279-ORD-DEN	2011-12-27 08:00AM CST	2011-12-27 08:13AM CST	 C16 	2011-12-27 09:21AM MST	2011-12-27 09:11AM MST	 B42 
ua	UA-2427-CLT-LGA	Tue, Dec 27 8:00 AM	Tue, Dec 27 8:16 AM	C6	Tue, Dec 27 9:47 AM	Tue, Dec 27 10:08 AM	15
airtravelcenter	UA-2427-CLT-LGA		12/27/11 8:46 AM (-05:00)			12/27/11 9:48 AM (-05:00)	
myrateplan	UA-2427-CLT-LGA		12/27/11 8:46 AM (-05:00)			12/27/11 9:48 AM (-05:00)	
helloflight	UA-2427-CLT-LGA		12/27/11 8:46 AM (-05:00)			12/27/11 9:48 AM (-05:00)	
flytecomm	UA-2427-CLT-LGA		12/27/11 8:46 AM (-05:00)			12/27/11 9:48 AM (-05:00)	
flights	UA-2427-CLT-LGA	08:00 AM  Tue 27-Dec-2011	08:16 AM  Tue 27-Dec-2011	C6	09:47 AM  Tue 27-Dec-2011	10:08 AM  Tue 27-Dec-2011	15
businesstravellogue	UA-2427-CLT-LGA	08:00 AM  Tue 27-Dec-2011	08:16 AM  Tue 27-Dec-2011	C6	09:47 AM  Tue 27-Dec-2011	10:08 AM  Tue 27-Dec-2011	15
flylouisville	UA-2427-CLT-LGA	08:00 AM  Tue 27-Dec-2011	08:16 AM  Tue 27-Dec-2011	C6	09:47 AM  Tue 27-Dec-2011	10:08 AM  Tue 27-Dec-2011	15
world-flight-tracker	UA-2427-CLT-LGA	2011-12-27 8:00 AM	2011-12-27 8:16 AM		2011-12-27 9:47 AM	2011-12-27 10:08 AM	
flightview	UA-2427-CLT-LGA	8:00 AM, Dec 27	8:47 AM, Dec 27		9:47 AM, Dec 27	9:59 AM, Dec 27	
panynj	UA-2427-CLT-LGA	8:00 AM, Dec 27	8:47 AM, Dec 27		9:47 AM, Dec 27	9:59 AM, Dec 27	
gofox	UA-2427-CLT-LGA	8:00 AM, Dec 27	8:47 AM, Dec 27		9:47 AM, Dec 27	9:59 AM, Dec 27	
foxbusiness	UA-2427-CLT-LGA	8:00 AM, Dec 27	8:47 AM, Dec 27		9:47 AM, Dec 27	9:59 AM, Dec 27	
allegiantair	UA-2427-CLT-LGA	8:00 AM, Dec 27	8:47 AM, Dec 27		9:47 AM, Dec 27	9:59 AM, Dec 27	
boston	UA-2427-CLT-LGA	8:00 AM, Dec 27	8:47 AM, Dec 27		9:47 AM, Dec 27	9:59 AM, Dec 27	
travelocity	UA-2427-CLT-LGA	Dec 27 - 8:00am	Dec 27 - Contact Airline	Not provided by airline	Dec 27 - 9:47am	Dec 27 - Contact Airline	Not provided by airline
orbitz	UA-2427-CLT-LGA	8:00aDec 27	8:16aDec 27	 -	9:47aDec 27	10:08aDec 27	 -
weather	UA-2427-CLT-LGA	2011-12-27 08:00 AM			2011-12-27 09:47 AM		
usatoday	UA-2427-CLT-LGA	2011-12-27 08:00 AM			2011-12-27 09:47 AM		
mytripandmore	UA-2427-CLT-LGA	8:00aDec 27	8:16aDec 27	 -	9:47aDec 27	10:08aDec 27	 -
flightarrival	UA-2427-CLT-LGA	2011-12-27 08:00 AM			2011-12-27 09:47 AM		
CO	CO-1293-FLL-EWR	Tue., Dec.27, 2011 8:07 a.m.	Tue., Dec.27, 2011 8:05 a.m.		Tue., Dec.27, 2011 11:02 a.m.	Tue., Dec.27, 2011 10:40 a.m.	
flightexplorer	CO-1293-FLL-EWR		12/27/2011 8:16AM EST			12/27/2011 10:35AM EST	
airtravelcenter	CO-1293-FLL-EWR	12/27/11 8:07 AM (-05:00)			12/27/11 11:02 AM (-05:00)		
myrateplan	CO-1293-FLL-EWR	12/27/11 8:07 AM (-05:00)			12/27/11 11:02 AM (-05:00)		
helloflight	CO-1293-FLL-EWR	12/27/11 8:07 AM (-05:00)			12/27/11 11:02 AM (-05:00)		
flytecomm	CO-1293-FLL-EWR	12/27/11 8:07 AM (-05:00)			12/27/11 11:02 AM (-05:00)		
flightaware	CO-1293-FLL-EWR	2011-12-27 08:07AM EST	2011-12-27 08:17AM EST	 C3 	2011-12-27 10:42AM EST	2011-12-27 10:31AM EST	 C92 
wunderground	CO-1293-FLL-EWR	2011-12-27 08:07AM EST	2011-12-27 08:17AM EST	 C3 	2011-12-27 10:42AM EST	2011-12-27 10:31AM EST	 C92 
flights	CO-1293-FLL-EWR	08:07 AM  Tue 27-Dec-2011	08:05 AM  Tue 27-Dec-2011	C3	11:02 AM  Tue 27-Dec-2011	10:40 AM  Tue 27-Dec-2011	92
businesstravellogue	CO-1293-FLL-EWR	08:07 AM  Tue 27-Dec-2011	08:05 AM  Tue 27-Dec-2011	C3	11:02 AM  Tue 27-Dec-2011	10:40 AM  Tue 27-Dec-2011	92
flylouisville	CO-1293-FLL-EWR	08:07 AM  Tue 27-Dec-2011	08:05 AM  Tue 27-Dec-2011	C3	11:02 AM  Tue 27-Dec-2011	10:40 AM  Tue 27-Dec-2011	92
flightstats	CO-1293-FLL-EWR	2011-12-27 8:07 AM	2011-12-27 8:05 AM		2011-12-27 11:02 AM	2011-12-27 10:40 AM	
quicktrip	CO-1293-FLL-EWR	2011-12-27 8:07 AM	2011-12-27 8:05 AM		2011-12-27 11:02 AM	2011-12-27 10:40 AM	
world-flight-tracker	CO-1293-FLL-EWR	2011-12-27 8:07 AM	2011-12-27 8:05 AM		2011-12-27 11:02 AM	2011-12-27 10:40 AM	
flightview	CO-1293-FLL-EWR	8:07 AM, Dec 27	8:17 AM, Dec 27	Term 1 - C3	11:02 AM, Dec 27	10:40 AM, Dec 27	Term C - C92
panynj	CO-1293-FLL-EWR	8:07 AM, Dec 27	8:17 AM, Dec 27	Term 1 - C3	11:02 AM, Dec 27	10:40 AM, Dec 27	Term C - C92
gofox	CO-1293-FLL-EWR	8:07 AM, Dec 27	8:17 AM, Dec 27		11:02 AM, Dec 27	10:40 AM, Dec 27	
foxbusiness	CO-1293-FLL-EWR	8:07 AM, Dec 27	8:17 AM, Dec 27	Term 1 - C3	11:02 AM, Dec 27	10:40 AM, Dec 27	Term C - C92
allegiantair	CO-1293-FLL-EWR	8:07 AM, Dec 27	8:17 AM, Dec 27	Term 1 - C3	11:02 AM, Dec 27	10:40 AM, Dec 27	Term C - C92
boston	CO-1293-FLL-EWR	8:07 AM, Dec 27	8:17 AM, Dec 27		11:02 AM, Dec 27	10:32 AM, Dec 27	
travelocity	CO-1293-FLL-EWR	Dec 27 - 8:07am	Dec 27 - 8:05am	C3	Dec 27 - 11:02am	Dec 27 - 10:40am	C92
orbitz	CO-1293-FLL-EWR	8:07aDec 27	8:05aDec 27	 C3	11:02aDec 27	10:40aDec 27	 C92
weather	CO-1293-FLL-EWR	2011-12-27 08:07 AM			2011-12-27 11:02 AM		
flightwise	CO-1293-FLL-EWR	2011-12-27 08:07AM EST	2011-12-27 08:17AM EST	 C3 	2011-12-27 10:42AM EST	2011-12-27 10:31AM EST	 C92 
flightarrival	CO-1293-FLL-EWR	8:07 AM, Dec 27	8:17 AM, Dec 27		11:02 AM, Dec 27	10:32 AM, Dec 27	
ua	UA-3373-PHL-IAD	Tue, Dec 27 10:15 AM	Tue, Dec 27 10:05 AM            On Time	D7	Tue, Dec 27 11:18 AM	Tue, Dec 27 11:04 AM	A1E
flightexplorer	UA-3373-PHL-IAD		12/27/2011 10:22AM EST			12/27/2011 10:47AM EST	
airtravelcenter	UA-3373-PHL-IAD		12/27/11 10:21 AM (-05:00)			12/27/11 10:47 AM (-05:00)	
myrateplan	UA-3373-PHL-IAD		12/27/11 10:21 AM (-05:00)			12/27/11 10:47 AM (-05:00)	
helloflight	UA-3373-PHL-IAD		12/27/11 10:21 AM (-05:00)			12/27/11 10:47 AM (-05:00)	
flytecomm	UA-3373-PHL-IAD		12/27/11 10:21 AM (-05:00)			12/27/11 10:47 AM (-05:00)	
flightaware	UA-3373-PHL-IAD	2011-12-27 10:15AM EST	2011-12-27 10:21AM EST	 D7 	2011-12-27 10:56AM EST	2011-12-27 10:57AM EST	 A1E 
wunderground	UA-3373-PHL-IAD	2011-12-27 10:15AM EST	2011-12-27 10:21AM EST	 D7 	2011-12-27 10:56AM EST	2011-12-27 10:57AM EST	 A1E 
flights	UA-3373-PHL-IAD		2011-12-27 10:05 AM	D7		2011-12-27 11:04 AM	A1
businesstravellogue	UA-3373-PHL-IAD		2011-12-27 10:05 AM	D7		2011-12-27 11:04 AM	A1
flylouisville	UA-3373-PHL-IAD		2011-12-27 10:05 AM	D7		2011-12-27 11:04 AM	A1
flightview	UA-3373-PHL-IAD		10:22 AMDec 27			11:04 AMDec 27	
panynj	UA-3373-PHL-IAD		10:22 AMDec 27			11:04 AMDec 27	
gofox	UA-3373-PHL-IAD		10:22 AMDec 27			11:04 AMDec 27	
foxbusiness	UA-3373-PHL-IAD		10:22 AMDec 27			11:04 AMDec 27	
allegiantair	UA-3373-PHL-IAD		10:22 AMDec 27			11:04 AMDec 27	
boston	UA-3373-PHL-IAD		10:22 AMDec 27			10:58 AMDec 27	
orbitz	UA-3373-PHL-IAD	10:15aDec 27	10:05aDec 27	 D7	11:18aDec 27	11:04aDec 27	 A1E
mytripandmore	UA-3373-PHL-IAD	10:15aDec 27	10:05aDec 27	 D7	11:18aDec 27	11:04aDec 27	 A1E
aa	AA-1920-LAX-SFO	December 27, 2011               07:00 AM    	December 27, 2011               07:05 AM    	 48A	December 27, 2011               08:15 AM    	December 27, 2011               08:22 AM    	 55    
flightexplorer	AA-1920-LAX-SFO		12/27/2011 7:23AM PST			12/27/2011 8:12AM PST	
airtravelcenter	AA-1920-LAX-SFO		12/27/11 7:23 AM (-08:00)			12/27/11 8:12 AM (-08:00)	
myrateplan	AA-1920-LAX-SFO		12/27/11 7:23 AM (-08:00)			12/27/11 8:12 AM (-08:00)	
helloflight	AA-1920-LAX-SFO		12/27/11 7:23 AM (-08:00)			12/27/11 8:12 AM (-08:00)	
flytecomm	AA-1920-LAX-SFO		12/27/11 7:23 AM (-08:00)			12/27/11 8:12 AM (-08:00)	
flightaware	AA-1920-LAX-SFO	2011-12-27 07:00AM PST	2011-12-27 07:23AM PST	 48A 	2011-12-27 08:12AM PST	2011-12-27 08:18AM PST	 55 
wunderground	AA-1920-LAX-SFO	2011-12-27 07:00AM PST	2011-12-27 07:23AM PST	 48A 	2011-12-27 08:12AM PST	2011-12-27 08:18AM PST	 55 
flights	AA-1920-LAX-SFO	07:00 AM  Tue 27-Dec-2011	07:05 AM  Tue 27-Dec-2011	48A	08:15 AM  Tue 27-Dec-2011	08:22 AM  Tue 27-Dec-2011	55
businesstravellogue	AA-1920-LAX-SFO	07:00 AM  Tue 27-Dec-2011	07:05 AM  Tue 27-Dec-2011	48A	08:15 AM  Tue 27-Dec-2011	08:22 AM  Tue 27-Dec-2011	55
flylouisville	AA-1920-LAX-SFO	07:00 AM  Tue 27-Dec-2011	07:05 AM  Tue 27-Dec-2011	48A	08:15 AM  Tue 27-Dec-2011	08:22 AM  Tue 27-Dec-2011	55
flightstats	AA-1920-LAX-SFO	2011-12-27 7:00 AM	2011-12-27 7:05 AM		2011-12-27 8:15 AM	2011-12-27 8:22 AM	
quicktrip	AA-1920-LAX-SFO	2011-12-27 7:00 AM	2011-12-27 7:05 AM		2011-12-27 8:15 AM	2011-12-27 8:22 AM	
world-flight-tracker	AA-1920-LAX-SFO	2011-12-27 7:00 AM	2011-12-27 7:05 AM		2011-12-27 8:15 AM	2011-12-27 8:22 AM	
flightview	AA-1920-LAX-SFO	7:00 AM, Dec 27	7:23 AM, Dec 27	Terminal 4 - 48A	8:15 AM, Dec 27	8:22 AM, Dec 27	Terminal 2 - 55
panynj	AA-1920-LAX-SFO	7:00 AM, Dec 27	7:23 AM, Dec 27	Terminal 4 - 48A	8:15 AM, Dec 27	8:22 AM, Dec 27	Terminal 2 - 55
gofox	AA-1920-LAX-SFO	7:00 AM, Dec 27	7:23 AM, Dec 27		8:15 AM, Dec 27	8:22 AM, Dec 27	
foxbusiness	AA-1920-LAX-SFO	7:00 AM, Dec 27	7:23 AM, Dec 27	Terminal 4 - 48A	8:15 AM, Dec 27	8:22 AM, Dec 27	Terminal 2 - 55
allegiantair	AA-1920-LAX-SFO	7:00 AM, Dec 27	7:23 AM, Dec 27	Terminal 4 - 48A	8:15 AM, Dec 27	8:22 AM, Dec 27	Terminal 2 - 55
boston	AA-1920-LAX-SFO	7:00 AM, Dec 27	7:23 AM, Dec 27		8:15 AM, Dec 27	8:18 AM, Dec 27	
travelocity	AA-1920-LAX-SFO	Dec 27 - 7:00am	Dec 27 - 7:05am	48A/T4	Dec 27 - 8:15am	Dec 27 - 8:22am	55
orbitz	AA-1920-LAX-SFO	7:00aDec 27	7:05aDec 27	 48A	8:15aDec 27	8:22aDec 27	 55
weather	AA-1920-LAX-SFO	2011-12-27 07:00 AM	2011-12-27 07:23 AM		2011-12-27 08:15 AM	2011-12-27 08:12 AM	
sfo	AA-1920-LAX-SFO				2011-12-27 8:15 AM		55
mytripandmore	AA-1920-LAX-SFO	7:00aDec 27	7:05aDec 27	 48A	8:15aDec 27	8:22aDec 27	 55
flightwise	AA-1920-LAX-SFO	2011-12-27 07:00AM PST	2011-12-27 07:23AM PST	 48A 	2011-12-27 08:12AM PST	2011-12-27 08:18AM PST	 55 
aa	AA-1572-DFW-IAD	December 27, 2011               08:10 AM    	December 27, 2011               08:13 AM    	 A22	December 27, 2011               11:50 AM    	December 27, 2011               11:58 AM    	 B71    
flightexplorer	AA-1572-DFW-IAD		12/27/2011 8:28AM CST			12/27/2011 11:41AM EST	
airtravelcenter	AA-1572-DFW-IAD		12/27/11 8:27 AM (-06:00)			12/27/11 11:41 AM (-05:00)	
myrateplan	AA-1572-DFW-IAD		12/27/11 8:27 AM (-06:00)			12/27/11 11:41 AM (-05:00)	
helloflight	AA-1572-DFW-IAD		12/27/11 8:27 AM (-06:00)			12/27/11 11:41 AM (-05:00)	
flytecomm	AA-1572-DFW-IAD		12/27/11 8:27 AM (-06:00)			12/27/11 11:41 AM (-05:00)	
flightaware	AA-1572-DFW-IAD	2011-12-27 08:10AM CST	2011-12-27 08:28AM CST	 A22 	2011-12-27 11:30AM EST	2011-12-27 11:54AM EST	 B71 
wunderground	AA-1572-DFW-IAD	2011-12-27 08:10AM CST	2011-12-27 08:28AM CST	 A22 	2011-12-27 11:30AM EST	2011-12-27 11:54AM EST	 B71 
flights	AA-1572-DFW-IAD		2011-12-27 08:13 AM	A22		2011-12-27 11:58 AM	B71
businesstravellogue	AA-1572-DFW-IAD		2011-12-27 08:13 AM	A22		2011-12-27 11:58 AM	B71
flylouisville	AA-1572-DFW-IAD		2011-12-27 08:13 AM	A22		2011-12-27 11:58 AM	B71
flightstats	AA-1572-DFW-IAD	2011-12-27 8:10 AM	2011-12-27 8:13 AM		2011-12-27 11:50 AM	2011-12-27 11:58 AM	
quicktrip	AA-1572-DFW-IAD	2011-12-27 8:10 AM	2011-12-27 8:13 AM		2011-12-27 11:50 AM	2011-12-27 11:58 AM	
flightview	AA-1572-DFW-IAD		8:28 AMDec 27			11:54 AMDec 27	
panynj	AA-1572-DFW-IAD		8:28 AMDec 27			11:54 AMDec 27	
gofox	AA-1572-DFW-IAD		8:28 AMDec 27			11:54 AMDec 27	
foxbusiness	AA-1572-DFW-IAD		8:28 AMDec 27			11:54 AMDec 27	
allegiantair	AA-1572-DFW-IAD		8:28 AMDec 27			11:54 AMDec 27	
boston	AA-1572-DFW-IAD		8:28 AMDec 27			11:54 AMDec 27	
orbitz	AA-1572-DFW-IAD	8:10aDec 27	8:13aDec 27	 A22	11:50aDec 27	11:58aDec 27	 B71
iad	AA-1572-DFW-IAD				2011-12-27 11:50 	2011-12-27 11:58 	
ua	UA-4379-MTY-IAH	Tue, Dec 27 3:08 PM	Tue, Dec 27 3:08 PM            On Time	--	Tue, Dec 27 4:30 PM	Tue, Dec 27 4:48 PM	D-3
airtravelcenter	UA-4379-MTY-IAH	12/27/11 3:08 PM (-06:00)			12/27/11 4:30 PM (-06:00)		
myrateplan	UA-4379-MTY-IAH	12/27/11 3:08 PM (-06:00)			12/27/11 4:30 PM (-06:00)		
helloflight	UA-4379-MTY-IAH	12/27/11 3:08 PM (-06:00)			12/27/11 4:30 PM (-06:00)		
flytecomm	UA-4379-MTY-IAH	12/27/11 3:08 PM (-06:00)			12/27/11 4:30 PM (-06:00)		
flights	UA-4379-MTY-IAH	2011-12-27 03:08 PM		-11-	2011-12-27 04:30 PM		3
businesstravellogue	UA-4379-MTY-IAH	2011-12-27 03:08 PM		-11-	2011-12-27 04:30 PM		3
flylouisville	UA-4379-MTY-IAH	2011-12-27 03:08 PM		-11-	2011-12-27 04:30 PM		3
flightview	UA-4379-MTY-IAH	3:08 PMDec 27			4:48 PMDec 27		
panynj	UA-4379-MTY-IAH	3:08 PMDec 27			4:48 PMDec 27		
gofox	UA-4379-MTY-IAH	3:08 PMDec 27			4:48 PMDec 27		
foxbusiness	UA-4379-MTY-IAH	3:08 PMDec 27			4:48 PMDec 27		
allegiantair	UA-4379-MTY-IAH	3:08 PMDec 27			4:48 PMDec 27		
boston	UA-4379-MTY-IAH	3:19 PMDec 27			4:35 PMDec 27		
orbitz	UA-4379-MTY-IAH	3:08pDec 27		 -	5:06pDec 27		 -
usatoday	UA-4379-MTY-IAH	3:19 PMDec 27			4:35 PMDec 27		
mytripandmore	UA-4379-MTY-IAH	3:08pDec 27		 -	5:06pDec 27		 -
flightarrival	UA-4379-MTY-IAH	3:19 PMDec 27			4:35 PMDec 27		
aa	AA-1072-DFW-OMA	December 27, 2011               06:30 PM    	December 27, 2011               07:01 PM    	 C19	December 27, 2011               08:15 PM    	December 27, 2011               08:38 PM    	 A7    
flightexplorer	AA-1072-DFW-OMA		12/27/2011 7:13PM CST			12/27/2011 8:35PM CST	
airtravelcenter	AA-1072-DFW-OMA		12/27/11 7:11 PM (-06:00)			12/27/11 8:35 PM (-06:00)	
myrateplan	AA-1072-DFW-OMA		12/27/11 7:11 PM (-06:00)			12/27/11 8:35 PM (-06:00)	
helloflight	AA-1072-DFW-OMA		12/27/11 7:11 PM (-06:00)			12/27/11 8:35 PM (-06:00)	
flytecomm	AA-1072-DFW-OMA		12/27/11 7:11 PM (-06:00)			12/27/11 8:35 PM (-06:00)	
flightaware	AA-1072-DFW-OMA	2011-12-27 06:30PM CST	2011-12-27 07:13PM CST	 C19 	2011-12-27 08:05PM CST	2011-12-27 08:33PM CST	 A7 
wunderground	AA-1072-DFW-OMA	2011-12-27 06:30PM CST	2011-12-27 07:13PM CST	 C19 	2011-12-27 08:05PM CST	2011-12-27 08:33PM CST	 A7 
flights	AA-1072-DFW-OMA		2011-12-27 07:01 PM	C19		2011-12-27 08:38 PM	A7
businesstravellogue	AA-1072-DFW-OMA		2011-12-27 07:01 PM	C19		2011-12-27 08:38 PM	A7
flylouisville	AA-1072-DFW-OMA		2011-12-27 07:01 PM	C19		2011-12-27 08:38 PM	A7
flightstats	AA-1072-DFW-OMA	2011-12-27 6:30 PM	2011-12-27 7:01 PM		2011-12-27 8:15 PM	2011-12-27 8:38 PM	
quicktrip	AA-1072-DFW-OMA	2011-12-27 6:30 PM	2011-12-27 7:01 PM		2011-12-27 8:15 PM	2011-12-27 8:38 PM	
flightview	AA-1072-DFW-OMA		7:12 PMDec 27			8:34 PMDec 27	
panynj	AA-1072-DFW-OMA		7:12 PMDec 27			8:34 PMDec 27	
gofox	AA-1072-DFW-OMA		7:12 PMDec 27			8:34 PMDec 27	
foxbusiness	AA-1072-DFW-OMA		7:12 PMDec 27			8:34 PMDec 27	
allegiantair	AA-1072-DFW-OMA		7:12 PMDec 27			8:34 PMDec 27	
boston	AA-1072-DFW-OMA		7:12 PMDec 27			8:34 PMDec 27	
orbitz	AA-1072-DFW-OMA	6:30pDec 27	7:01pDec 27	 C19	8:15pDec 27	8:38pDec 27	 A7
weather	AA-1072-DFW-OMA	2011-12-27 06:30 PM			2011-12-27 08:15 PM		
dfw	AA-1072-DFW-OMA	2011-12-27 6:30 pm		C20			
mytripandmore	AA-1072-DFW-OMA	6:30pDec 27	7:01pDec 27	 C19	8:15pDec 27	8:38pDec 27	 A7
flightwise	AA-1072-DFW-OMA	2011-12-27 06:30PM CST	2011-12-27 07:13PM CST	 C19 	2011-12-27 08:05PM CST	2011-12-27 08:33PM CST	 A7 
flightarrival	AA-1072-DFW-OMA	2011-12-27 6:30 PM	2011-12-27 7:01 PM		2011-12-27 8:15 PM	2011-12-27 8:38 PM	
ua	UA-1099-LIM-EWR	Tue, Dec 27 11:39 PM	Tue, Dec 27 11:39 PM	--	Wed, Dec 28 7:30 AM	Wed, Dec 28 7:30 AM	C137
airtravelcenter	UA-1099-LIM-EWR	12/27/11 11:39 PM (-05:00)			12/28/11 7:30 AM (-05:00)		
myrateplan	UA-1099-LIM-EWR	12/27/11 11:39 PM (-05:00)			12/28/11 7:30 AM (-05:00)		
helloflight	UA-1099-LIM-EWR	12/27/11 11:39 PM (-05:00)			12/28/11 7:30 AM (-05:00)		
flytecomm	UA-1099-LIM-EWR	12/27/11 11:39 PM (-05:00)			12/28/11 7:30 AM (-05:00)		
flights	UA-1099-LIM-EWR	11:39 PM  Tue 27-Dec-2011			07:30 AM  Wed 28-Dec-2011		
businesstravellogue	UA-1099-LIM-EWR	11:39 PM  Tue 27-Dec-2011			07:30 AM  Wed 28-Dec-2011		
flylouisville	UA-1099-LIM-EWR	11:39 PM  Tue 27-Dec-2011			07:30 AM  Wed 28-Dec-2011		
flightview	UA-1099-LIM-EWR	11:39 PM, Dec 27			7:30 AM, Dec 28		
panynj	UA-1099-LIM-EWR	11:39 PM, Dec 27			7:30 AM, Dec 28		
gofox	UA-1099-LIM-EWR	11:39 PM, Dec 27			7:30 AM, Dec 28		
foxbusiness	UA-1099-LIM-EWR	11:39 PM, Dec 27			7:30 AM, Dec 28		
allegiantair	UA-1099-LIM-EWR	11:39 PM, Dec 27			7:30 AM, Dec 28		
boston	UA-1099-LIM-EWR	11:39 PM, Dec 27	Not Available		7:30 AM, Dec 28	Not Available	
travelocity	UA-1099-LIM-EWR	Dec 27 - 11:39pm	Dec 27 - Contact Airline	Not provided by airline	Dec 28 - 7:30am	Dec 28 - Contact Airline	Not provided by airline
orbitz	UA-1099-LIM-EWR	11:39pDec 27		 -	7:30aDec 28		 C137
weather	UA-1099-LIM-EWR	2011-12-27 11:39 PM			2011-12-27 07:30 AM		
usatoday	UA-1099-LIM-EWR	2011-12-27 11:39 PM			2011-12-27 07:30 AM		
mytripandmore	UA-1099-LIM-EWR	Dec 27 - 11:39pm	Dec 27 - Contact Airline	Not provided by airline	Dec 28 - 7:30am	Dec 28 - Contact Airline	Not provided by airline
flightarrival	UA-1099-LIM-EWR	2011-12-27 11:39 PM			2011-12-27 07:30 AM		
CO	CO-1193-EWR-MCO	Tue., Dec.27, 2011 9:15 a.m.	Tue., Dec.27, 2011 9:13 a.m.		Tue., Dec.27, 2011 12:16 p.m.	Tue., Dec.27, 2011 12:18 p.m.	
flightexplorer	CO-1193-EWR-MCO		12/27/2011 9:37AM EST			12/27/2011 12:08PM EST	
airtravelcenter	CO-1193-EWR-MCO	12/27/11 9:15 AM (-05:00)			12/27/11 12:16 PM (-05:00)		
myrateplan	CO-1193-EWR-MCO	12/27/11 9:15 AM (-05:00)			12/27/11 12:16 PM (-05:00)		
helloflight	CO-1193-EWR-MCO	12/27/11 9:15 AM (-05:00)			12/27/11 12:16 PM (-05:00)		
flytecomm	CO-1193-EWR-MCO	12/27/11 9:15 AM (-05:00)			12/27/11 12:16 PM (-05:00)		
flightaware	CO-1193-EWR-MCO	2011-12-27 09:15AM EST	2011-12-27 09:39AM EST	 134 	2011-12-27 12:10PM EST	2011-12-27 12:09PM EST	 39 
wunderground	CO-1193-EWR-MCO	2011-12-27 09:15AM EST	2011-12-27 09:39AM EST	 134 	2011-12-27 12:10PM EST	2011-12-27 12:09PM EST	 39 
