CO	CO-4237-EWR-DTW	Sun., Dec.18, 2011 12:09 p.m.	Sun., Dec.18, 2011 12:04 p.m.		Sun., Dec.18, 2011 2:16 p.m.	Sun., Dec.18, 2011 1:48 p.m.	
flightstats	AA-692-MIA-EWR	2011-12-18 12:35 PM	2011-12-18 12:40 PM		2011-12-18 3:25 PM	2011-12-18 3:35 PM	
quicktrip	AA-692-MIA-EWR	2011-12-18 12:35 PM	2011-12-18 12:40 PM		2011-12-18 3:25 PM	2011-12-18 3:35 PM	
world-flight-tracker	AA-692-MIA-EWR	2011-12-18 12:35 PM	2011-12-18 12:40 PM		2011-12-18 3:25 PM	2011-12-18 3:35 PM	
flightview	AA-692-MIA-EWR	12:35 PM, Dec 18	12:55 PM, Dec 18	Terminal D - D24	3:25 PM, Dec 18	3:28 PM, Dec 18	Terminal A
panynj	AA-692-MIA-EWR	12:35 PM, Dec 18	12:55 PM, Dec 18	Terminal D - D24	3:25 PM, Dec 18	3:28 PM, Dec 18	Terminal A
gofox	AA-692-MIA-EWR	12:35 PM, Dec 18	12:55 PM, Dec 18		3:25 PM, Dec 18	3:28 PM, Dec 18	
foxbusiness	AA-692-MIA-EWR	12:35 PM, Dec 18	12:55 PM, Dec 18	Terminal D - D24	3:25 PM, Dec 18	3:28 PM, Dec 18	Terminal A
allegiantair	AA-692-MIA-EWR	12:35 PM, Dec 18	12:55 PM, Dec 18	Terminal D - D24	3:25 PM, Dec 18	3:28 PM, Dec 18	Terminal A
boston	AA-692-MIA-EWR	12:35 PM, Dec 18	12:55 PM, Dec 18		3:25 PM, Dec 18	3:28 PM, Dec 18	
travelocity	AA-692-MIA-EWR	Dec 18 - 12:35pm	Dec 18 - 12:40pm	D24	Dec 18 - 3:25pm	Dec 18 - 3:35pm	34/A
orbitz	AA-692-MIA-EWR	12:35pDec 18	12:40pDec 18	 D24	3:25pDec 18	3:35pDec 18	 34
weather	AA-692-MIA-EWR	2011-12-18 12:35 PM			2011-12-18 03:25 PM		
mytripandmore	AA-692-MIA-EWR	12:35pDec 18	12:40pDec 18	 D24	3:25pDec 18	3:35pDec 18	 34
flightwise	AA-692-MIA-EWR	2011-12-18 12:35PM EST	2011-12-18 12:55PM EST	 D24 	2011-12-18 03:27PM EST	2011-12-18 03:28PM EST	 34 
flightarrival	AA-692-MIA-EWR	12:35 PM, Dec 18	12:55 PM, Dec 18		3:25 PM, Dec 18	3:28 PM, Dec 18	
CO	CO-1090-BOS-IAH	Sun., Dec.18, 2011 9:10 a.m.	Sun., Dec.18, 2011 9:07 a.m.		Sun., Dec.18, 2011 12:40 p.m.	Sun., Dec.18, 2011 12:06 p.m.	
flightexplorer	CO-1090-BOS-IAH		12/18/2011 9:16AM EST			12/18/2011 11:57AM CST	
airtravelcenter	CO-1090-BOS-IAH	12/18/11 9:10 AM (-05:00)			12/18/11 12:40 PM (-06:00)		
myrateplan	CO-1090-BOS-IAH	12/18/11 9:10 AM (-05:00)			12/18/11 12:40 PM (-06:00)		
helloflight	CO-1090-BOS-IAH	12/18/11 9:10 AM (-05:00)			12/18/11 12:40 PM (-06:00)		
flytecomm	CO-1090-BOS-IAH	12/18/11 9:10 AM (-05:00)			12/18/11 12:40 PM (-06:00)		
flights	CO-1090-BOS-IAH		2011-12-18 09:07 AM	A7		2011-12-18 12:06 PM	42
businesstravellogue	CO-1090-BOS-IAH		2011-12-18 09:07 AM	A7		2011-12-18 12:06 PM	42
flylouisville	CO-1090-BOS-IAH		2011-12-18 09:07 AM	A7		2011-12-18 12:06 PM	42
flightstats	CO-1090-BOS-IAH	2011-12-18 9:10 AM	2011-12-18 9:07 AM		2011-12-18 12:40 PM	2011-12-18 12:06 PM	
quicktrip	CO-1090-BOS-IAH	2011-12-18 9:10 AM	2011-12-18 9:07 AM		2011-12-18 12:40 PM	2011-12-18 12:06 PM	
flightview	CO-1090-BOS-IAH		9:17 AMDec 18			12:06 PMDec 18	
panynj	CO-1090-BOS-IAH		9:17 AMDec 18			12:06 PMDec 18	
gofox	CO-1090-BOS-IAH		9:17 AMDec 18			12:06 PMDec 18	
foxbusiness	CO-1090-BOS-IAH		9:17 AMDec 18			12:06 PMDec 18	
allegiantair	CO-1090-BOS-IAH		9:17 AMDec 18			12:06 PMDec 18	
boston	CO-1090-BOS-IAH		9:17 AMDec 18			11:58 AMDec 18	
orbitz	CO-1090-BOS-IAH	9:10aDec 18	9:07aDec 18	 A7	12:40pDec 18	12:06pDec 18	 42
weather	CO-1090-BOS-IAH	2011-12-18 09:10 AM			2011-12-18 12:40 PM		
usatoday	CO-1090-BOS-IAH		9:17 AMDec 18			11:58 AMDec 18	
flightarrival	CO-1090-BOS-IAH	2011-12-18 09:10 AM			2011-12-18 12:40 PM		
aa	AA-1332-DFW-ATL	December 18, 2011               08:55 PM    	December 18, 2011     	 A34	December 18, 2011               11:45 PM    	December 18, 2011     	 T9    
airtravelcenter	AA-1332-DFW-ATL		12/18/11 8:59 PM (-06:00)			12/18/11 11:33 PM (-05:00)	
myrateplan	AA-1332-DFW-ATL		12/18/11 8:59 PM (-06:00)			12/18/11 11:33 PM (-05:00)	
helloflight	AA-1332-DFW-ATL		12/18/11 8:59 PM (-06:00)			12/18/11 11:33 PM (-05:00)	
flytecomm	AA-1332-DFW-ATL		12/18/11 8:59 PM (-06:00)			12/18/11 11:33 PM (-05:00)	
flightaware	AA-1332-DFW-ATL	2011-12-18 08:55PM CST	2011-12-18 09:05PM CST	 A34 	2011-12-18 11:25PM EST	2011-12-18 11:35PM EST	 T9 
wunderground	AA-1332-DFW-ATL	2011-12-18 08:55PM CST	2011-12-18 09:05PM CST	 A34 	2011-12-18 11:25PM EST	2011-12-18 11:35PM EST	 T9 
flights	AA-1332-DFW-ATL	08:55 PM  Sun 18-Dec-2011		A34	11:45 PM  Sun 18-Dec-2011		T9
businesstravellogue	AA-1332-DFW-ATL	08:55 PM  Sun 18-Dec-2011		A34	11:45 PM  Sun 18-Dec-2011		T9
flylouisville	AA-1332-DFW-ATL	08:55 PM  Sun 18-Dec-2011		A34	11:45 PM  Sun 18-Dec-2011		T9
flightstats	AA-1332-DFW-ATL	2011-12-18 8:55 PM	2011-12-18 8:55 PM (Estimated)		2011-12-18 11:45 PM	2011-12-18 11:45 PM (Estimated)	
quicktrip	AA-1332-DFW-ATL	2011-12-18 8:55 PM	2011-12-18 8:55 PM (Estimated)		2011-12-18 11:45 PM	2011-12-18 11:45 PM (Estimated)	
world-flight-tracker	AA-1332-DFW-ATL	2011-12-18 8:55 PM	2011-12-18 8:55 PM (Estimated)		2011-12-18 11:45 PM	2011-12-18 11:45 PM (Estimated)	
flightview	AA-1332-DFW-ATL	8:55 PM, Dec 18			11:45 PM, Dec 18		
panynj	AA-1332-DFW-ATL	8:55 PM, Dec 18			11:45 PM, Dec 18		
gofox	AA-1332-DFW-ATL	8:55 PM, Dec 18			11:45 PM, Dec 18		
foxbusiness	AA-1332-DFW-ATL	8:55 PM, Dec 18			11:45 PM, Dec 18		
allegiantair	AA-1332-DFW-ATL	8:55 PM, Dec 18			11:45 PM, Dec 18		
boston	AA-1332-DFW-ATL	8:55 PM, Dec 18	Not Available		11:45 PM, Dec 18	Not Available	
travelocity	AA-1332-DFW-ATL	Dec 18 - 8:55pm	Dec 18 - Not Available	A34/A	Dec 18 - 11:45pm	Dec 18 - Not Available	T9
orbitz	AA-1332-DFW-ATL	8:55pDec 18		 A34	11:45pDec 18		 T9
weather	AA-1332-DFW-ATL	2011-12-18 08:55 PM	2011-12-18 09:06 PM		2011-12-18 11:45 PM	2011-12-18 11:36 PM	
dfw	AA-1332-DFW-ATL	2011-12-18 8:55 pm		A34			
ifly	AA-1332-DFW-ATL	2011-12-18 8:55 PM	2011-12-18 8:55 PM (Estimated)		2011-12-18 11:45 PM	2011-12-18 11:45 PM (Estimated)	
usatoday	AA-1332-DFW-ATL	2011-12-18 8:55 PM	2011-12-18 8:55 PM (Estimated)		2011-12-18 11:45 PM	2011-12-18 11:45 PM (Estimated)	
mytripandmore	AA-1332-DFW-ATL	8:55pDec 18		 A34	11:45pDec 18		 T9
flightarrival	AA-1332-DFW-ATL	2011-12-18 08:55 PM	2011-12-18 09:06 PM		2011-12-18 11:45 PM	2011-12-18 11:36 PM	
ua	UA-938-DEN-ORD	Sun, Dec 18 3:55 PM	Sun, Dec 18 3:57 PM	B44	Sun, Dec 18 7:18 PM	Sun, Dec 18 7:06 PM	C15
flightexplorer	UA-938-DEN-ORD		12/18/2011 4:08PM MST			12/18/2011 7:01PM CST	
flightexplorer	UA-938-DEN-ORD		12/18/2011 4:10PM MST			12/18/2011 7:04PM CST	
airtravelcenter	UA-938-DEN-ORD		12/18/11 4:06 PM (-07:00)			12/18/11 6:58 PM (-06:00)	
myrateplan	UA-938-DEN-ORD		12/18/11 4:06 PM (-07:00)			12/18/11 6:58 PM (-06:00)	
helloflight	UA-938-DEN-ORD		12/18/11 4:06 PM (-07:00)			12/18/11 6:58 PM (-06:00)	
flytecomm	UA-938-DEN-ORD		12/18/11 4:06 PM (-07:00)			12/18/11 6:58 PM (-06:00)	
flights	UA-938-DEN-ORD		2011-12-18 03:57 PM	B44		2011-12-18 07:06 PM	C15
businesstravellogue	UA-938-DEN-ORD		2011-12-18 03:57 PM	B44		2011-12-18 07:06 PM	C15
flylouisville	UA-938-DEN-ORD		2011-12-18 03:57 PM	B44		2011-12-18 07:06 PM	C15
flightstats	UA-938-DEN-ORD	2011-12-18 3:55 PM	2011-12-18 3:57 PM		2011-12-18 7:18 PM	2011-12-18 7:06 PM	
quicktrip	UA-938-DEN-ORD	2011-12-18 3:55 PM	2011-12-18 3:57 PM		2011-12-18 7:18 PM	2011-12-18 7:06 PM	
flightview	UA-938-DEN-ORD		4:10 PMDec 18			7:06 PMDec 18	
panynj	UA-938-DEN-ORD		4:10 PMDec 18			7:06 PMDec 18	
gofox	UA-938-DEN-ORD		4:10 PMDec 18			7:06 PMDec 18	
foxbusiness	UA-938-DEN-ORD		4:10 PMDec 18			7:06 PMDec 18	
allegiantair	UA-938-DEN-ORD		4:10 PMDec 18			7:06 PMDec 18	
boston	UA-938-DEN-ORD		4:10 PMDec 18			7:06 PMDec 18	
travelocity	UA-938-DEN-ORD	Dec 18 - Not Available	Dec 18 - 4:09pm	B44	Dec 18 - Not Available	Dec 18 - 7:06pm	C15
orbitz	UA-938-DEN-ORD	3:55pDec 18	3:57pDec 18	 B44	7:18pDec 18	7:06pDec 18	 C15
weather	UA-938-DEN-ORD	2011-12-18 03:55 PM			2011-12-18 07:18 PM		
den	UA-938-DEN-ORD	2011-12-18 3:55 PM		B44			
ord	UA-938-DEN-ORD	2011-12-18 3:55 PM		B44	2011-12-18 7:18 PM		C15
usatoday	UA-938-DEN-ORD	2011-12-18 3:55 PM	2011-12-18 3:57 PM		2011-12-18 7:18 PM	2011-12-18 7:06 PM	
mytripandmore	UA-938-DEN-ORD	3:55pDec 18	3:57pDec 18	 B44	7:18pDec 18	7:06pDec 18	 C15
CO	CO-1223-EWR-LAX	Sun., Dec.18, 2011 8:30 a.m.	Sun., Dec.18, 2011 8:40 a.m.		Sun., Dec.18, 2011 11:47 a.m.	Sun., Dec.18, 2011 11:38 a.m.	
flightexplorer	CO-1223-EWR-LAX		12/18/2011 8:54AM EST			12/18/2011 11:33AM PST	
airtravelcenter	CO-1223-EWR-LAX	12/18/11 8:30 AM (-05:00)			12/18/11 11:47 AM (-08:00)		
myrateplan	CO-1223-EWR-LAX	12/18/11 8:30 AM (-05:00)			12/18/11 11:47 AM (-08:00)		
helloflight	CO-1223-EWR-LAX	12/18/11 8:30 AM (-05:00)			12/18/11 11:47 AM (-08:00)		
flytecomm	CO-1223-EWR-LAX	12/18/11 8:30 AM (-05:00)			12/18/11 11:47 AM (-08:00)		
flightaware	CO-1223-EWR-LAX	2011-12-18 08:30AM EST	2011-12-18 08:55AM EST	 112 	2011-12-18 11:14AM PST	2011-12-18 11:29AM PST	 60 
wunderground	CO-1223-EWR-LAX	2011-12-18 08:30AM EST	2011-12-18 08:55AM EST	 112 	2011-12-18 11:14AM PST	2011-12-18 11:29AM PST	 60 
flights	CO-1223-EWR-LAX	08:30 AM  Sun 18-Dec-2011	08:40 AM  Sun 18-Dec-2011	112	11:47 AM  Sun 18-Dec-2011	11:38 AM  Sun 18-Dec-2011	60
businesstravellogue	CO-1223-EWR-LAX	08:30 AM  Sun 18-Dec-2011	08:40 AM  Sun 18-Dec-2011	112	11:47 AM  Sun 18-Dec-2011	11:38 AM  Sun 18-Dec-2011	60
flylouisville	CO-1223-EWR-LAX	08:30 AM  Sun 18-Dec-2011	08:40 AM  Sun 18-Dec-2011	112	11:47 AM  Sun 18-Dec-2011	11:38 AM  Sun 18-Dec-2011	60
flightstats	CO-1223-EWR-LAX	2011-12-18 8:30 AM	2011-12-18 8:40 AM		2011-12-18 11:47 AM	2011-12-18 11:38 AM	
quicktrip	CO-1223-EWR-LAX	2011-12-18 8:30 AM	2011-12-18 8:40 AM		2011-12-18 11:47 AM	2011-12-18 11:38 AM	
world-flight-tracker	CO-1223-EWR-LAX	2011-12-18 8:30 AM	2011-12-18 8:40 AM		2011-12-18 11:47 AM	2011-12-18 11:38 AM	
flightview	CO-1223-EWR-LAX	8:30 AM, Dec 18	8:56 AM, Dec 18	Term C - C112	11:47 AM, Dec 18	11:38 AM, Dec 18	Term 6 - 60
panynj	CO-1223-EWR-LAX	8:30 AM, Dec 18	8:56 AM, Dec 18	Term C - C112	11:47 AM, Dec 18	11:38 AM, Dec 18	Term 6 - 60
gofox	CO-1223-EWR-LAX	8:30 AM, Dec 18	8:56 AM, Dec 18		11:47 AM, Dec 18	11:38 AM, Dec 18	
foxbusiness	CO-1223-EWR-LAX	8:30 AM, Dec 18	8:56 AM, Dec 18	Term C - C112	11:47 AM, Dec 18	11:38 AM, Dec 18	Term 6 - 60
allegiantair	CO-1223-EWR-LAX	8:30 AM, Dec 18	8:56 AM, Dec 18	Term C - C112	11:47 AM, Dec 18	11:38 AM, Dec 18	Term 6 - 60
boston	CO-1223-EWR-LAX	8:30 AM, Dec 18	8:56 AM, Dec 18		11:47 AM, Dec 18	11:29 AM, Dec 18	
travelocity	CO-1223-EWR-LAX	Dec 18 - 8:30am	Dec 18 - 8:40am	C112	Dec 18 - 11:47am	Dec 18 - 11:38am	60
orbitz	CO-1223-EWR-LAX	8:30aDec 18	8:40aDec 18	 112	11:47aDec 18	11:38aDec 18	 60
weather	CO-1223-EWR-LAX	2011-12-18 08:30 AM			2011-12-18 11:47 AM		
ua	UA-2471-CLT-DTW	Sun, Dec 18 6:20 PM	Sun, Dec 18 6:20 PM	B1	Sun, Dec 18 8:14 PM	Sun, Dec 18 8:21 PM	D26
myrateplan	UA-2471-CLT-DTW		12/18/11 6:45 PM (-05:00)			12/18/11 8:03 PM (-05:00)	
helloflight	UA-2471-CLT-DTW		12/18/11 6:45 PM (-05:00)			12/18/11 8:03 PM (-05:00)	
flytecomm	UA-2471-CLT-DTW		12/18/11 6:45 PM (-05:00)			12/18/11 8:03 PM (-05:00)	
flightaware	UA-2471-CLT-DTW	2011-12-18 06:20PM EST	2011-12-18 06:45PM EST		2011-12-18 07:36PM EST	2011-12-18 08:11PM EST	
wunderground	UA-2471-CLT-DTW	2011-12-18 06:20PM EST	2011-12-18 06:45PM EST		2011-12-18 07:36PM EST	2011-12-18 08:11PM EST	
flights	UA-2471-CLT-DTW	06:20 PM  Sun 18-Dec-2011	06:18 PM  Sun 18-Dec-2011	B1	08:14 PM  Sun 18-Dec-2011	08:21 PM  Sun 18-Dec-2011	D26
businesstravellogue	UA-2471-CLT-DTW	06:20 PM  Sun 18-Dec-2011	06:18 PM  Sun 18-Dec-2011	B1	08:14 PM  Sun 18-Dec-2011	08:21 PM  Sun 18-Dec-2011	D26
flylouisville	UA-2471-CLT-DTW	06:20 PM  Sun 18-Dec-2011	06:18 PM  Sun 18-Dec-2011	B1	08:14 PM  Sun 18-Dec-2011	08:21 PM  Sun 18-Dec-2011	D26
flightstats	UA-2471-CLT-DTW	2011-12-18 6:20 PM	2011-12-18 6:18 PM		2011-12-18 8:14 PM	2011-12-18 8:21 PM	
quicktrip	UA-2471-CLT-DTW	2011-12-18 6:20 PM	2011-12-18 6:18 PM		2011-12-18 8:14 PM	2011-12-18 8:21 PM	
world-flight-tracker	UA-2471-CLT-DTW	2011-12-18 6:20 PM	2011-12-18 6:18 PM		2011-12-18 8:14 PM	2011-12-18 8:21 PM	
travelocity	UA-2471-CLT-DTW	Dec 18 - 6:20pm	Dec 18 - Contact Airline	Not provided by airline	Dec 18 - 8:14pm	Dec 18 - Contact Airline	Not provided by airline
orbitz	UA-2471-CLT-DTW	6:20pDec 18	6:18pDec 18	 -	8:14pDec 18	8:21pDec 18	 -
weather	UA-2471-CLT-DTW	2011-12-18 06:20 PM			2011-12-18 08:14 PM		
ifly	UA-2471-CLT-DTW	2011-12-18 6:20 PM	2011-12-18 6:18 PM		2011-12-18 8:14 PM	2011-12-18 8:21 PM	
usatoday	UA-2471-CLT-DTW	2011-12-18 06:20 PM			2011-12-18 08:14 PM		
mytripandmore	UA-2471-CLT-DTW	Dec 18 - 6:20pm	Dec 18 - Contact Airline	Not provided by airline	Dec 18 - 8:14pm	Dec 18 - Contact Airline	Not provided by airline
flightwise	UA-2471-CLT-DTW	2011-12-18 06:20PM EST	2011-12-18 06:45PM EST		2011-12-18 07:36PM EST	2011-12-18 08:11PM EST	
flightarrival	UA-2471-CLT-DTW	2011-12-18 06:20 PM			2011-12-18 08:14 PM		
ua	UA-1134-IAH-BOS	Sun, Dec 18 10:25 AM	Sun, Dec 18 10:23 AM	C-36	Sun, Dec 18 3:16 PM	Sun, Dec 18 3:16 PM	A5
flightexplorer	UA-1134-IAH-BOS		12/18/2011 10:39AM CST			12/18/2011 3:05PM EST	
airtravelcenter	UA-1134-IAH-BOS		12/18/11 10:40 AM (-06:00)			12/18/11 3:05 PM (-05:00)	
airtravelcenter	UA-1134-IAH-BOS	12/18/11 10:25 AM (-06:00)			12/18/11 3:16 PM (-05:00)		
myrateplan	UA-1134-IAH-BOS		12/18/11 10:40 AM (-06:00)			12/18/11 3:05 PM (-05:00)	
myrateplan	UA-1134-IAH-BOS	12/18/11 10:25 AM (-06:00)			12/18/11 3:16 PM (-05:00)		
helloflight	UA-1134-IAH-BOS		12/18/11 10:40 AM (-06:00)			12/18/11 3:05 PM (-05:00)	
helloflight	UA-1134-IAH-BOS	12/18/11 10:25 AM (-06:00)			12/18/11 3:16 PM (-05:00)		
flytecomm	UA-1134-IAH-BOS		12/18/11 10:40 AM (-06:00)			12/18/11 3:05 PM (-05:00)	
flytecomm	UA-1134-IAH-BOS	12/18/11 10:25 AM (-06:00)			12/18/11 3:16 PM (-05:00)		
flights	UA-1134-IAH-BOS		2011-12-18 10:23 AM	36		2011-12-18 03:16 PM	A5
businesstravellogue	UA-1134-IAH-BOS		2011-12-18 10:23 AM	36		2011-12-18 03:16 PM	A5
flylouisville	UA-1134-IAH-BOS		2011-12-18 10:23 AM	36		2011-12-18 03:16 PM	A5
flightview	UA-1134-IAH-BOS		10:40 AMDec 18			3:03 PMDec 18	
panynj	UA-1134-IAH-BOS		10:40 AMDec 18			3:03 PMDec 18	
gofox	UA-1134-IAH-BOS		10:40 AMDec 18			3:03 PMDec 18	
foxbusiness	UA-1134-IAH-BOS		10:40 AMDec 18			3:03 PMDec 18	
allegiantair	UA-1134-IAH-BOS		10:40 AMDec 18			3:03 PMDec 18	
boston	UA-1134-IAH-BOS		10:40 AMDec 18			3:03 PMDec 18	
travelocity	UA-1134-IAH-BOS	Dec 18 - 10:25am	Dec 18 - Contact Airline	Not provided by airline	Dec 18 - 3:16pm	Dec 18 - Contact Airline	Not provided by airline
orbitz	UA-1134-IAH-BOS	10:25aDec 18	10:23aDec 18	 36	3:16pDec 18	3:16pDec 18	 A5
weather	UA-1134-IAH-BOS	2011-12-18 10:25 AM			2011-12-18 03:16 PM		
ua	UA-1411-EWR-ATL	Sun, Dec 18 7:29 PM	Sun, Dec 18 7:29 PM	C126	Sun, Dec 18 10:28 PM	Sun, Dec 18 10:04 PM	D12
flightexplorer	UA-1411-EWR-ATL		12/18/2011 7:58PM EST			12/18/2011 9:52PM EST	
airtravelcenter	UA-1411-EWR-ATL		12/18/11 7:59 PM (-05:00)			12/18/11 9:51 PM (-05:00)	
myrateplan	UA-1411-EWR-ATL		12/18/11 7:59 PM (-05:00)			12/18/11 9:51 PM (-05:00)	
helloflight	UA-1411-EWR-ATL		12/18/11 7:59 PM (-05:00)			12/18/11 9:51 PM (-05:00)	
flytecomm	UA-1411-EWR-ATL		12/18/11 7:59 PM (-05:00)			12/18/11 9:51 PM (-05:00)	
flightaware	UA-1411-EWR-ATL	2011-12-18 07:29PM EST	2011-12-18 07:59PM EST	 126 	2011-12-18 09:47PM EST	2011-12-18 09:53PM EST	 D12 
wunderground	UA-1411-EWR-ATL	2011-12-18 07:29PM EST	2011-12-18 07:59PM EST	 126 	2011-12-18 09:47PM EST	2011-12-18 09:53PM EST	 D12 
flights	UA-1411-EWR-ATL	07:29 PM  Sun 18-Dec-2011		126	10:28 PM  Sun 18-Dec-2011		D12
businesstravellogue	UA-1411-EWR-ATL	07:29 PM  Sun 18-Dec-2011		126	10:28 PM  Sun 18-Dec-2011		D12
flylouisville	UA-1411-EWR-ATL	07:29 PM  Sun 18-Dec-2011		126	10:28 PM  Sun 18-Dec-2011		D12
world-flight-tracker	UA-1411-EWR-ATL	2011-12-18 7:29 PM	2011-12-18 7:29 PM		2011-12-18 10:28 PM	2011-12-18 10:04 PM (Estimated)	
flightview	UA-1411-EWR-ATL	7:29 PM, Dec 18	7:59 PM, Dec 18		10:28 PM, Dec 18		
panynj	UA-1411-EWR-ATL	7:29 PM, Dec 18	7:59 PM, Dec 18		10:28 PM, Dec 18		
gofox	UA-1411-EWR-ATL	7:29 PM, Dec 18	7:59 PM, Dec 18		10:28 PM, Dec 18		
foxbusiness	UA-1411-EWR-ATL	7:29 PM, Dec 18	7:59 PM, Dec 18		10:28 PM, Dec 18		
allegiantair	UA-1411-EWR-ATL	7:29 PM, Dec 18	7:59 PM, Dec 18		10:28 PM, Dec 18		
boston	UA-1411-EWR-ATL	7:29 PM, Dec 18	7:59 PM, Dec 18		10:28 PM, Dec 18	9:56 PM, Dec 18&nbsp(Estimated)	
travelocity	UA-1411-EWR-ATL	Dec 18 - 7:29pm	Dec 18 - Contact Airline	Not provided by airline	Dec 18 - 10:28pm	Dec 18 - Contact Airline	Not provided by airline
orbitz	UA-1411-EWR-ATL	7:29pDec 18	7:29pDec 18	 126	9:40pDec 18		 D12
weather	UA-1411-EWR-ATL	2011-12-18 07:29 PM			2011-12-18 10:28 PM		
mytripandmore	UA-1411-EWR-ATL	7:29pDec 18	7:29pDec 18	 126	9:40pDec 18		 D12
flightwise	UA-1411-EWR-ATL	2011-12-18 07:29PM EST	2011-12-18 07:59PM EST	 126 	2011-12-18 09:47PM EST	2011-12-18 09:53PM EST	 D12 
flightarrival	UA-1411-EWR-ATL	2011-12-18 07:29 PM			2011-12-18 10:28 PM		
aa	AA-74-LAX-IAD	December 18, 2011               11:00 PM    	December 18, 2011     	 47B	December 19, 2011               06:40 AM    	December 19, 2011     	 B71    
flightexplorer	AA-74-LAX-IAD		12/18/2011 12:19AM PST			12/18/2011 7:32AM EST	
flightexplorer	AA-74-LAX-IAD	12/18/2011 11:00PM PST			12/19/2011 6:40AM EST		
airtravelcenter	AA-74-LAX-IAD		12/18/11 11:36 PM (-08:00)			12/19/11 6:54 AM (-05:00)	
myrateplan	AA-74-LAX-IAD		12/18/11 11:36 PM (-08:00)			12/19/11 6:54 AM (-05:00)	
helloflight	AA-74-LAX-IAD		12/18/11 11:36 PM (-08:00)			12/19/11 6:54 AM (-05:00)	
flytecomm	AA-74-LAX-IAD		12/18/11 11:36 PM (-08:00)			12/19/11 6:54 AM (-05:00)	
flightaware	AA-74-LAX-IAD	2011-12-18 11:00PM PST	2011-12-18 12:19AM PST	 42B 	2011-12-18 06:35AM EST	2011-12-18 07:39AM EST	 B75 
wunderground	AA-74-LAX-IAD	2011-12-18 11:00PM PST	2011-12-18 12:19AM PST	 42B 	2011-12-18 06:35AM EST	2011-12-18 07:39AM EST	 B75 
flights	AA-74-LAX-IAD	11:00 PM  Sun 18-Dec-2011		47B	06:40 AM  Mon 19-Dec-2011		B71
businesstravellogue	AA-74-LAX-IAD	11:00 PM  Sun 18-Dec-2011		47B	06:40 AM  Mon 19-Dec-2011		B71
flylouisville	AA-74-LAX-IAD	11:00 PM  Sun 18-Dec-2011		47B	06:40 AM  Mon 19-Dec-2011		B71
flightstats	AA-74-LAX-IAD	2011-12-18 11:00 PM	2011-12-18 11:00 PM (Estimated)		2011-12-18 6:40 AM	2011-12-18 6:40 AM (Estimated)	
quicktrip	AA-74-LAX-IAD	2011-12-18 11:00 PM	2011-12-18 11:00 PM (Estimated)		2011-12-18 6:40 AM	2011-12-18 6:40 AM (Estimated)	
world-flight-tracker	AA-74-LAX-IAD	2011-12-18 11:00 PM	2011-12-18 11:00 PM (Estimated)		2011-12-18 6:40 AM	2011-12-18 6:40 AM (Estimated)	
flightview	AA-74-LAX-IAD	11:00 PM, Dec 18		Terminal 4 - 47B	6:40 AM, Dec 19		B71
panynj	AA-74-LAX-IAD	11:00 PM, Dec 18		Terminal 4 - 47B	6:40 AM, Dec 19		B71
gofox	AA-74-LAX-IAD	11:00 PM, Dec 18			6:40 AM, Dec 19		
foxbusiness	AA-74-LAX-IAD	11:00 PM, Dec 18		Terminal 4 - 47B	6:40 AM, Dec 19		B71
allegiantair	AA-74-LAX-IAD	11:00 PM, Dec 18		Terminal 4 - 47B	6:40 AM, Dec 19		B71
boston	AA-74-LAX-IAD	11:00 PMDec 18			6:40 AMDec 19		
boston	AA-74-LAX-IAD		12:19 AMDec 18			7:43 AMDec 18	
travelocity	AA-74-LAX-IAD	Dec 18 - 11:00pm	Dec 18 - Not Available	47B/T4	Dec 19 - 6:40am	Dec 19 - Not Available	B71
orbitz	AA-74-LAX-IAD	11:00pDec 17	12:01aDec 18	 42B	6:40aDec 18	7:42aDec 18	 B75
weather	AA-74-LAX-IAD	2011-12-18 11:00 PM	2011-12-18 12:19 AM		2011-12-18 06:40 AM	2011-12-18 07:38 AM	
flightwise	AA-74-LAX-IAD	2011-12-18 11:00PM PST	2011-12-18 12:19AM PST	 42B 	2011-12-18 06:35AM EST	2011-12-18 07:39AM EST	 B75 
aa	AA-1826-MFE-DFW	December 18, 2011               06:15 AM    	December 18, 2011               06:12 AM    		December 18, 2011               07:50 AM    	December 18, 2011               07:42 AM    	 C39    
flightexplorer	AA-1826-MFE-DFW		12/18/2011 6:23AM CST			12/18/2011 7:24AM CST	
airtravelcenter	AA-1826-MFE-DFW		12/18/11 6:23 AM (-06:00)			12/18/11 7:24 AM (-06:00)	
myrateplan	AA-1826-MFE-DFW		12/18/11 6:23 AM (-06:00)			12/18/11 7:24 AM (-06:00)	
helloflight	AA-1826-MFE-DFW		12/18/11 6:23 AM (-06:00)			12/18/11 7:24 AM (-06:00)	
flytecomm	AA-1826-MFE-DFW		12/18/11 6:23 AM (-06:00)			12/18/11 7:24 AM (-06:00)	
flights	AA-1826-MFE-DFW		2011-12-18 06:12 AM			2011-12-18 07:42 AM	C39
businesstravellogue	AA-1826-MFE-DFW		2011-12-18 06:12 AM			2011-12-18 07:42 AM	C39
flylouisville	AA-1826-MFE-DFW		2011-12-18 06:12 AM			2011-12-18 07:42 AM	C39
flightview	AA-1826-MFE-DFW		6:23 AMDec 18			7:32 AMDec 18	
panynj	AA-1826-MFE-DFW		6:23 AMDec 18			7:32 AMDec 18	
