CO	CO-4237-EWR-DTW	Mon., Jan.02, 2012 12:17 p.m.	Mon., Jan.02, 2012 12:17 p.m.		Mon., Jan.02, 2012 2:24 p.m.	Mon., Jan.02, 2012 2:24 p.m.	
flytecomm	UA-967-FCO-IAD		1/2/12 11:06 AM (+01:00)			1/2/12 3:08 PM (-05:00)	
flights	UA-967-FCO-IAD		2012-01-02 10:39 AM			2012-01-02 03:23 PM	C14
businesstravellogue	UA-967-FCO-IAD		2012-01-02 10:39 AM			2012-01-02 03:23 PM	C14
flylouisville	UA-967-FCO-IAD		2012-01-02 10:39 AM			2012-01-02 03:23 PM	C14
flightview	UA-967-FCO-IAD		11:06 AMJan 02			3:23 PMJan 02	
panynj	UA-967-FCO-IAD		11:06 AMJan 02			3:23 PMJan 02	
gofox	UA-967-FCO-IAD		11:06 AMJan 02			3:23 PMJan 02	
foxbusiness	UA-967-FCO-IAD		11:06 AMJan 02			3:23 PMJan 02	
allegiantair	UA-967-FCO-IAD		11:06 AMJan 02			3:23 PMJan 02	
boston	UA-967-FCO-IAD		11:06 AMJan 02			3:24 PMJan 02	
orbitz	UA-967-FCO-IAD	10:45aJan 2		 -	3:04pJan 2		 C2
weather	UA-967-FCO-IAD	2012-01-02 10:45 AM			2012-01-02 03:04 PM		
ua	UA-3740-ORD-DFW	Mon, Jan 2 2:55 PM	Mon, Jan 2 3:57 PM	C3	Mon, Jan 2 5:26 PM	Mon, Jan 2 6:02 PM	E4
flightexplorer	UA-3740-ORD-DFW		1/2/2012 4:19PM CST			1/2/2012 5:53PM CST	
airtravelcenter	UA-3740-ORD-DFW		1/2/12 4:19 PM (-06:00)			1/2/12 5:53 PM (-06:00)	
myrateplan	UA-3740-ORD-DFW		1/2/12 4:19 PM (-06:00)			1/2/12 5:53 PM (-06:00)	
helloflight	UA-3740-ORD-DFW		1/2/12 4:19 PM (-06:00)			1/2/12 5:53 PM (-06:00)	
flytecomm	UA-3740-ORD-DFW		1/2/12 4:19 PM (-06:00)			1/2/12 5:53 PM (-06:00)	
flights	UA-3740-ORD-DFW		2012-01-02 03:57 PM	C3		2012-01-02 06:02 PM	E4
businesstravellogue	UA-3740-ORD-DFW		2012-01-02 03:57 PM	C3		2012-01-02 06:02 PM	E4
flylouisville	UA-3740-ORD-DFW		2012-01-02 03:57 PM	C3		2012-01-02 06:02 PM	E4
flightview	UA-3740-ORD-DFW		4:19 PMJan 02			6:02 PMJan 02	
panynj	UA-3740-ORD-DFW		4:19 PMJan 02			6:02 PMJan 02	
gofox	UA-3740-ORD-DFW		4:19 PMJan 02			6:02 PMJan 02	
foxbusiness	UA-3740-ORD-DFW		4:19 PMJan 02			6:02 PMJan 02	
allegiantair	UA-3740-ORD-DFW		4:19 PMJan 02			6:02 PMJan 02	
boston	UA-3740-ORD-DFW		4:19 PMJan 02			5:57 PMJan 02	
orbitz	UA-3740-ORD-DFW	2:55pJan 2	3:57pJan 2	 C3	5:26pJan 2	6:02pJan 2	 E4
weather	UA-3740-ORD-DFW	2012-01-02 02:55 PM			2012-01-02 05:26 PM		
dfw	UA-3740-ORD-DFW				2012-01-02 5:26 pm		E4
ord	UA-3740-ORD-DFW	2012-01-02 2:55 PM		C3	2012-01-02 5:26 PM		E4
usatoday	UA-3740-ORD-DFW	2012-01-02 02:55 PM			2012-01-02 05:26 PM		
mytripandmore	UA-3740-ORD-DFW	2:55pJan 2	3:57pJan 2	 C3	5:26pJan 2	6:02pJan 2	 E4
ua	UA-3798-ORD-BDL	Mon, Jan 2 10:49 AM	Mon, Jan 2 10:48 AM            Delayed	C3	Mon, Jan 2 1:50 PM	Mon, Jan 2 1:53 PM	--
flightexplorer	UA-3798-ORD-BDL		1/2/2012 11:16AM CST			1/2/2012 1:47PM EST	
airtravelcenter	UA-3798-ORD-BDL		1/2/12 11:16 AM (-06:00)			1/2/12 1:47 PM (-05:00)	
myrateplan	UA-3798-ORD-BDL		1/2/12 11:16 AM (-06:00)			1/2/12 1:47 PM (-05:00)	
helloflight	UA-3798-ORD-BDL		1/2/12 11:16 AM (-06:00)			1/2/12 1:47 PM (-05:00)	
flytecomm	UA-3798-ORD-BDL		1/2/12 11:16 AM (-06:00)			1/2/12 1:47 PM (-05:00)	
flightaware	UA-3798-ORD-BDL	2012-01-02 10:49AM CST	2012-01-02 11:16AM CST	 C3 	2012-01-02 01:35PM EST	2012-01-02 01:50PM EST	
wunderground	UA-3798-ORD-BDL	2012-01-02 10:49AM CST	2012-01-02 11:16AM CST	 C3 	2012-01-02 01:35PM EST	2012-01-02 01:50PM EST	
flights	UA-3798-ORD-BDL		2012-01-02 10:48 AM	C3		2012-01-02 01:53 PM	
businesstravellogue	UA-3798-ORD-BDL		2012-01-02 10:48 AM	C3		2012-01-02 01:53 PM	
flylouisville	UA-3798-ORD-BDL		2012-01-02 10:48 AM	C3		2012-01-02 01:53 PM	
flightstats	UA-3798-ORD-BDL	2012-01-02 10:49 AM	2012-01-02 10:48 AM		2012-01-02 1:50 PM	2012-01-02 1:53 PM	
quicktrip	UA-3798-ORD-BDL	2012-01-02 10:49 AM	2012-01-02 10:48 AM		2012-01-02 1:50 PM	2012-01-02 1:53 PM	
flightview	UA-3798-ORD-BDL		11:16 AMJan 02			1:53 PMJan 02	
panynj	UA-3798-ORD-BDL		11:16 AMJan 02			1:53 PMJan 02	
gofox	UA-3798-ORD-BDL		11:16 AMJan 02			1:53 PMJan 02	
foxbusiness	UA-3798-ORD-BDL		11:16 AMJan 02			1:53 PMJan 02	
allegiantair	UA-3798-ORD-BDL		11:16 AMJan 02			1:53 PMJan 02	
boston	UA-3798-ORD-BDL		11:16 AMJan 02			1:51 PMJan 02	
orbitz	UA-3798-ORD-BDL	10:49aJan 2	10:48aJan 2	 C3	1:50pJan 2	1:53pJan 2	 -
ord	UA-3798-ORD-BDL	2012-01-02 10:49 AM		C3	2012-01-02 1:50 PM		 
usatoday	UA-3798-ORD-BDL	2012-01-02 10:49 AM	2012-01-02 10:48 AM		2012-01-02 1:50 PM	2012-01-02 1:53 PM	
flightarrival	UA-3798-ORD-BDL		11:16 AMJan 02			1:51 PMJan 02	
ua	UA-1648-ORD-EWR	Mon, Jan 2 7:00 AM	Mon, Jan 2 7:11 AM	B4	Mon, Jan 2 10:00 AM	Mon, Jan 2 10:23 AM	C70
flightexplorer	UA-1648-ORD-EWR		1/2/2012 7:37AM CST			1/2/2012 10:14AM EST	
airtravelcenter	UA-1648-ORD-EWR	1/2/12 7:00 AM (-06:00)			1/2/12 10:00 AM (-05:00)		
myrateplan	UA-1648-ORD-EWR	1/2/12 7:00 AM (-06:00)			1/2/12 10:00 AM (-05:00)		
helloflight	UA-1648-ORD-EWR	1/2/12 7:00 AM (-06:00)			1/2/12 10:00 AM (-05:00)		
flytecomm	UA-1648-ORD-EWR	1/2/12 7:00 AM (-06:00)			1/2/12 10:00 AM (-05:00)		
flightaware	UA-1648-ORD-EWR	2012-01-02 07:00AM CST	2012-01-02 07:38AM CST	 B4 	2012-01-02 09:50AM EST	2012-01-02 10:10AM EST	 C70 
wunderground	UA-1648-ORD-EWR	2012-01-02 07:00AM CST	2012-01-02 07:38AM CST	 B4 	2012-01-02 09:50AM EST	2012-01-02 10:10AM EST	 C70 
flights	UA-1648-ORD-EWR	07:00 AM  Mon 02-Jan-2012	07:11 AM  Mon 02-Jan-2012	B4	10:00 AM  Mon 02-Jan-2012	10:23 AM  Mon 02-Jan-2012	70
businesstravellogue	UA-1648-ORD-EWR	07:00 AM  Mon 02-Jan-2012	07:11 AM  Mon 02-Jan-2012	B4	10:00 AM  Mon 02-Jan-2012	10:23 AM  Mon 02-Jan-2012	70
flylouisville	UA-1648-ORD-EWR	07:00 AM  Mon 02-Jan-2012	07:11 AM  Mon 02-Jan-2012	B4	10:00 AM  Mon 02-Jan-2012	10:23 AM  Mon 02-Jan-2012	70
world-flight-tracker	UA-1648-ORD-EWR	2012-01-02 7:00 AM	2012-01-02 7:11 AM		2012-01-02 10:00 AM	2012-01-02 10:23 AM	
flightview	UA-1648-ORD-EWR	7:00 AM, Jan 02	7:38 AM, Jan 02	Term 1 - B4	10:00 AM, Jan 02	10:23 AM, Jan 02	Main Term - C70
panynj	UA-1648-ORD-EWR	7:00 AM, Jan 02	7:38 AM, Jan 02	Term 1 - B4	10:00 AM, Jan 02	10:23 AM, Jan 02	Main Term - C70
gofox	UA-1648-ORD-EWR	7:00 AM, Jan 02	7:38 AM, Jan 02		10:00 AM, Jan 02	10:23 AM, Jan 02	
foxbusiness	UA-1648-ORD-EWR	7:00 AM, Jan 02	7:38 AM, Jan 02	Term 1 - B4	10:00 AM, Jan 02	10:23 AM, Jan 02	Main Term - C70
allegiantair	UA-1648-ORD-EWR	7:00 AM, Jan 02	7:38 AM, Jan 02	Term 1 - B4	10:00 AM, Jan 02	10:23 AM, Jan 02	Main Term - C70
boston	UA-1648-ORD-EWR	7:00 AM, Jan 02	7:38 AM, Jan 02		10:00 AM, Jan 02	10:10 AM, Jan 02	
orbitz	UA-1648-ORD-EWR	7:00aJan 2	7:11aJan 2	 B4	10:00aJan 2	10:23aJan 2	 C70
weather	UA-1648-ORD-EWR	2012-01-02 07:00 AM	2012-01-02 07:38 AM		2012-01-02 10:00 AM	2012-01-02 10:08 AM	
flightwise	UA-1648-ORD-EWR	2012-01-02 07:00AM CST	2012-01-02 07:38AM CST	 B4 	2012-01-02 09:50AM EST	2012-01-02 10:10AM EST	 C70 
ua	UA-988-DFW-DEN	Mon, Jan 2 6:10 AM	Mon, Jan 2 6:05 AM	E5	Mon, Jan 2 7:20 AM	Mon, Jan 2 7:13 AM	B39
flightexplorer	UA-988-DFW-DEN		1/2/2012 6:20AM CST			1/2/2012 6:57AM MST	
airtravelcenter	UA-988-DFW-DEN		1/2/12 6:20 AM (-06:00)			1/2/12 6:57 AM (-07:00)	
myrateplan	UA-988-DFW-DEN		1/2/12 6:20 AM (-06:00)			1/2/12 6:57 AM (-07:00)	
helloflight	UA-988-DFW-DEN		1/2/12 6:20 AM (-06:00)			1/2/12 6:57 AM (-07:00)	
flytecomm	UA-988-DFW-DEN		1/2/12 6:20 AM (-06:00)			1/2/12 6:57 AM (-07:00)	
flights	UA-988-DFW-DEN		2012-01-02 06:05 AM	E5		2012-01-02 07:13 AM	B39
businesstravellogue	UA-988-DFW-DEN		2012-01-02 06:05 AM	E5		2012-01-02 07:13 AM	B39
flylouisville	UA-988-DFW-DEN		2012-01-02 06:05 AM	E5		2012-01-02 07:13 AM	B39
flightview	UA-988-DFW-DEN		6:21 AMJan 02			7:13 AMJan 02	
panynj	UA-988-DFW-DEN		6:21 AMJan 02			7:13 AMJan 02	
gofox	UA-988-DFW-DEN		6:21 AMJan 02			7:13 AMJan 02	
foxbusiness	UA-988-DFW-DEN		6:21 AMJan 02			7:13 AMJan 02	
allegiantair	UA-988-DFW-DEN		6:21 AMJan 02			7:13 AMJan 02	
boston	UA-988-DFW-DEN		6:21 AMJan 02			7:08 AMJan 02	
orbitz	UA-988-DFW-DEN	6:10aJan 2	6:05aJan 2	 E5	7:20aJan 2	7:13aJan 2	 B39
weather	UA-988-DFW-DEN	2012-01-02 06:10 AM			2012-01-02 07:20 AM		
den	UA-988-DFW-DEN				2012-01-02 7:20 AM		B39
usatoday	UA-988-DFW-DEN	2012-01-02 06:10 AM			2012-01-02 07:20 AM		
mytripandmore	UA-988-DFW-DEN	6:10aJan 2	6:05aJan 2	 E5	7:20aJan 2	7:13aJan 2	 B39
ua	UA-2496-MSY-CLT	Mon, Jan 2 11:03 AM	Mon, Jan 2 11:03 AM	B10	Mon, Jan 2 1:51 PM	Mon, Jan 2 1:35 PM	C16
airtravelcenter	UA-2496-MSY-CLT		1/2/12 11:10 AM (-06:00)			1/2/12 1:30 PM (-05:00)	
myrateplan	UA-2496-MSY-CLT		1/2/12 11:10 AM (-06:00)			1/2/12 1:30 PM (-05:00)	
helloflight	UA-2496-MSY-CLT		1/2/12 11:10 AM (-06:00)			1/2/12 1:30 PM (-05:00)	
flytecomm	UA-2496-MSY-CLT		1/2/12 11:10 AM (-06:00)			1/2/12 1:30 PM (-05:00)	
flights	UA-2496-MSY-CLT	11:03 AM  Mon 02-Jan-2012	11:03 AM  Mon 02-Jan-2012	B10	01:51 PM  Mon 02-Jan-2012	01:35 PM  Mon 02-Jan-2012	C16
businesstravellogue	UA-2496-MSY-CLT	11:03 AM  Mon 02-Jan-2012	11:03 AM  Mon 02-Jan-2012	B10	01:51 PM  Mon 02-Jan-2012	01:35 PM  Mon 02-Jan-2012	C16
flylouisville	UA-2496-MSY-CLT	11:03 AM  Mon 02-Jan-2012	11:03 AM  Mon 02-Jan-2012	B10	01:51 PM  Mon 02-Jan-2012	01:35 PM  Mon 02-Jan-2012	C16
world-flight-tracker	UA-2496-MSY-CLT	2012-01-02 11:03 AM	2012-01-02 11:03 AM		2012-01-02 1:51 PM	2012-01-02 1:35 PM	
flightview	UA-2496-MSY-CLT	11:03 AM, Jan 02	11:10 AM, Jan 02		1:51 PM, Jan 02	1:33 PM, Jan 02	
panynj	UA-2496-MSY-CLT	11:03 AM, Jan 02	11:10 AM, Jan 02		1:51 PM, Jan 02	1:33 PM, Jan 02	
gofox	UA-2496-MSY-CLT	11:03 AM, Jan 02	11:10 AM, Jan 02		1:51 PM, Jan 02	1:33 PM, Jan 02	
foxbusiness	UA-2496-MSY-CLT	11:03 AM, Jan 02	11:10 AM, Jan 02		1:51 PM, Jan 02	1:33 PM, Jan 02	
allegiantair	UA-2496-MSY-CLT	11:03 AM, Jan 02	11:10 AM, Jan 02		1:51 PM, Jan 02	1:33 PM, Jan 02	
boston	UA-2496-MSY-CLT	11:03 AM, Jan 02	11:10 AM, Jan 02		1:51 PM, Jan 02	1:33 PM, Jan 02	
orbitz	UA-2496-MSY-CLT	11:03aJan 2	11:03aJan 2	 -	1:51pJan 2	1:35pJan 2	 -
weather	UA-2496-MSY-CLT	2012-01-02 11:03 AM			2012-01-02 01:51 PM		
flightarrival	UA-2496-MSY-CLT	2012-01-02 11:03 AM			2012-01-02 01:51 PM		
ua	UA-316-SNA-DEN	Mon, Jan 2 7:32 AM	Mon, Jan 2 7:53 AM	13	Mon, Jan 2 10:55 AM	Mon, Jan 2 12:10 PM	B47
flightexplorer	UA-316-SNA-DEN		1/2/2012 9:09AM PST			1/2/2012 12:09PM MST	
airtravelcenter	UA-316-SNA-DEN		1/2/12 9:11 AM (-08:00)			1/2/12 12:09 PM (-07:00)	
myrateplan	UA-316-SNA-DEN		1/2/12 9:11 AM (-08:00)			1/2/12 12:09 PM (-07:00)	
helloflight	UA-316-SNA-DEN		1/2/12 9:11 AM (-08:00)			1/2/12 12:09 PM (-07:00)	
flytecomm	UA-316-SNA-DEN		1/2/12 9:11 AM (-08:00)			1/2/12 12:09 PM (-07:00)	
flightaware	UA-316-SNA-DEN	2012-01-02 07:32AM PST	2012-01-02 09:11AM PST	 13 	2012-01-02 11:47AM MST	2012-01-02 12:05PM MST	 B47 
wunderground	UA-316-SNA-DEN	2012-01-02 07:32AM PST	2012-01-02 09:11AM PST	 13 	2012-01-02 11:47AM MST	2012-01-02 12:05PM MST	 B47 
flights	UA-316-SNA-DEN	07:32 AM  Mon 02-Jan-2012	07:53 AM  Mon 02-Jan-2012	13	10:55 AM  Mon 02-Jan-2012	12:10 PM  Mon 02-Jan-2012	B47
businesstravellogue	UA-316-SNA-DEN	07:32 AM  Mon 02-Jan-2012	07:53 AM  Mon 02-Jan-2012	13	10:55 AM  Mon 02-Jan-2012	12:10 PM  Mon 02-Jan-2012	B47
flylouisville	UA-316-SNA-DEN	07:32 AM  Mon 02-Jan-2012	07:53 AM  Mon 02-Jan-2012	13	10:55 AM  Mon 02-Jan-2012	12:10 PM  Mon 02-Jan-2012	B47
world-flight-tracker	UA-316-SNA-DEN	2012-01-02 7:32 AM	2012-01-02 7:53 AM		2012-01-02 10:55 AM	2012-01-02 12:10 PM	
flightview	UA-316-SNA-DEN	7:32 AM, Jan 02	9:11 AM, Jan 02	13	10:55 AM, Jan 02	12:10 PM, Jan 02	B47
panynj	UA-316-SNA-DEN	7:32 AM, Jan 02	9:11 AM, Jan 02	13	10:55 AM, Jan 02	12:10 PM, Jan 02	B47
gofox	UA-316-SNA-DEN	7:32 AM, Jan 02	9:11 AM, Jan 02		10:55 AM, Jan 02	12:10 PM, Jan 02	
foxbusiness	UA-316-SNA-DEN	7:32 AM, Jan 02	9:11 AM, Jan 02	13	10:55 AM, Jan 02	12:10 PM, Jan 02	B47
allegiantair	UA-316-SNA-DEN	7:32 AM, Jan 02	9:11 AM, Jan 02	13	10:55 AM, Jan 02	12:10 PM, Jan 02	B47
boston	UA-316-SNA-DEN	7:32 AM, Jan 02	9:11 AM, Jan 02		10:55 AM, Jan 02	12:10 PM, Jan 02	
orbitz	UA-316-SNA-DEN	7:32aJan 2	7:53aJan 2	 13	10:55aJan 2	12:10pJan 2	 B47
weather	UA-316-SNA-DEN	2012-01-02 07:32 AM			2012-01-02 10:55 AM		
den	UA-316-SNA-DEN				2012-01-02 10:55 AM		B47
aa	AA-24-SFO-JFK	January 2, 2012               07:00 AM    	January 2, 2012               06:58 AM    	 56A	January 2, 2012               03:30 PM    	January 2, 2012               03:41 PM    	 38    
flightexplorer	AA-24-SFO-JFK		1/2/2012 7:20AM PST			1/2/2012 3:17PM EST	
airtravelcenter	AA-24-SFO-JFK		1/2/12 7:19 AM (-08:00)			1/2/12 3:17 PM (-05:00)	
myrateplan	AA-24-SFO-JFK		1/2/12 7:19 AM (-08:00)			1/2/12 3:17 PM (-05:00)	
helloflight	AA-24-SFO-JFK		1/2/12 7:19 AM (-08:00)			1/2/12 3:17 PM (-05:00)	
flytecomm	AA-24-SFO-JFK		1/2/12 7:19 AM (-08:00)			1/2/12 3:17 PM (-05:00)	
flightaware	AA-24-SFO-JFK	2012-01-02 07:00AM PST	2012-01-02 07:20AM PST	 56A 	2012-01-02 03:14PM EST	2012-01-02 03:36PM EST	 38 
wunderground	AA-24-SFO-JFK	2012-01-02 07:00AM PST	2012-01-02 07:20AM PST	 56A 	2012-01-02 03:14PM EST	2012-01-02 03:36PM EST	 38 
flights	AA-24-SFO-JFK	07:00 AM  Mon 02-Jan-2012	06:58 AM  Mon 02-Jan-2012	56A	03:30 PM  Mon 02-Jan-2012	03:36 PM  Mon 02-Jan-2012 (Runway)	C38
businesstravellogue	AA-24-SFO-JFK	07:00 AM  Mon 02-Jan-2012	06:58 AM  Mon 02-Jan-2012	56A	03:30 PM  Mon 02-Jan-2012	03:36 PM  Mon 02-Jan-2012 (Runway)	C38
flylouisville	AA-24-SFO-JFK	07:00 AM  Mon 02-Jan-2012	06:58 AM  Mon 02-Jan-2012	56A	03:30 PM  Mon 02-Jan-2012	03:36 PM  Mon 02-Jan-2012 (Runway)	C38
flightstats	AA-24-SFO-JFK	2012-01-02 7:00 AM	2012-01-02 6:58 AM		2012-01-02 3:30 PM	2012-01-02 3:36 PM (runway)	
quicktrip	AA-24-SFO-JFK	2012-01-02 7:00 AM	2012-01-02 6:58 AM		2012-01-02 3:30 PM	2012-01-02 3:36 PM (runway)	
world-flight-tracker	AA-24-SFO-JFK	2012-01-02 7:00 AM	2012-01-02 6:58 AM		2012-01-02 3:30 PM	2012-01-02 3:36 PM (runway)	
flightview	AA-24-SFO-JFK	7:00 AM, Jan 02	7:20 AM, Jan 02	Terminal 2 - 56A	3:30 PM, Jan 02	3:41 PM, Jan 02	Terminal 8 - 38
panynj	AA-24-SFO-JFK	7:00 AM, Jan 02	7:20 AM, Jan 02	Terminal 2 - 56A	3:30 PM, Jan 02	3:41 PM, Jan 02	Terminal 8 - 38
gofox	AA-24-SFO-JFK	7:00 AM, Jan 02	7:20 AM, Jan 02		3:30 PM, Jan 02	3:41 PM, Jan 02	
foxbusiness	AA-24-SFO-JFK	7:00 AM, Jan 02	7:20 AM, Jan 02	Terminal 2 - 56A	3:30 PM, Jan 02	3:41 PM, Jan 02	Terminal 8 - 38
allegiantair	AA-24-SFO-JFK	7:00 AM, Jan 02	7:20 AM, Jan 02	Terminal 2 - 56A	3:30 PM, Jan 02	3:41 PM, Jan 02	Terminal 8 - 38
boston	AA-24-SFO-JFK	7:00 AM, Jan 02	7:20 AM, Jan 02		3:30 PM, Jan 02	3:36 PM, Jan 02	
orbitz	AA-24-SFO-JFK	7:00aJan 2	6:58aJan 2	 56A	3:30pJan 2	3:41pJan 2	 38
weather	AA-24-SFO-JFK	2012-01-02 07:00 AM			2012-01-02 03:30 PM		
ifly	AA-24-SFO-JFK	2012-01-02 7:00 AM	2012-01-02 6:58 AM		2012-01-02 3:30 PM	2012-01-02 3:36 PM (runway)	
usatoday	AA-24-SFO-JFK	2012-01-02 07:00 AM			2012-01-02 03:30 PM		
flightarrival	AA-24-SFO-JFK	7:00 AM, Jan 02	7:20 AM, Jan 02		3:30 PM, Jan 02	3:36 PM, Jan 02	
aa	AA-404-MIA-MCO	January 2, 2012               06:45 AM    	January 2, 2012               06:56 AM    	 E5	January 2, 2012               07:45 AM    	January 2, 2012               07:57 AM    	 14    
flightexplorer	AA-404-MIA-MCO		1/2/2012 7:14AM EST			1/2/2012 7:55AM EST	
airtravelcenter	AA-404-MIA-MCO		1/2/12 7:12 AM (-05:00)			1/2/12 7:55 AM (-05:00)	
myrateplan	AA-404-MIA-MCO		1/2/12 7:12 AM (-05:00)			1/2/12 7:55 AM (-05:00)	
helloflight	AA-404-MIA-MCO		1/2/12 7:12 AM (-05:00)			1/2/12 7:55 AM (-05:00)	
flytecomm	AA-404-MIA-MCO		1/2/12 7:12 AM (-05:00)			1/2/12 7:55 AM (-05:00)	
flightaware	AA-404-MIA-MCO	2012-01-02 06:45AM EST	2012-01-02 07:14AM EST	 E5 	2012-01-02 07:36AM EST	2012-01-02 07:50AM EST	 14 
wunderground	AA-404-MIA-MCO	2012-01-02 06:45AM EST	2012-01-02 07:14AM EST	 E5 	2012-01-02 07:36AM EST	2012-01-02 07:50AM EST	 14 
flights	AA-404-MIA-MCO	06:45 AM  Mon 02-Jan-2012	06:56 AM  Mon 02-Jan-2012	E5	07:45 AM  Mon 02-Jan-2012	07:57 AM  Mon 02-Jan-2012	14
businesstravellogue	AA-404-MIA-MCO	06:45 AM  Mon 02-Jan-2012	06:56 AM  Mon 02-Jan-2012	E5	07:45 AM  Mon 02-Jan-2012	07:57 AM  Mon 02-Jan-2012	14
flylouisville	AA-404-MIA-MCO	06:45 AM  Mon 02-Jan-2012	06:56 AM  Mon 02-Jan-2012	E5	07:45 AM  Mon 02-Jan-2012	07:57 AM  Mon 02-Jan-2012	14
flightstats	AA-404-MIA-MCO	2012-01-02 6:45 AM	2012-01-02 6:56 AM		2012-01-02 7:45 AM	2012-01-02 7:57 AM	
quicktrip	AA-404-MIA-MCO	2012-01-02 6:45 AM	2012-01-02 6:56 AM		2012-01-02 7:45 AM	2012-01-02 7:57 AM	
world-flight-tracker	AA-404-MIA-MCO	2012-01-02 6:45 AM	2012-01-02 6:56 AM		2012-01-02 7:45 AM	2012-01-02 7:57 AM	
flightview	AA-404-MIA-MCO	6:45 AM, Jan 02	7:14 AM, Jan 02	Terminal E - E5	7:45 AM, Jan 02	7:50 AM, Jan 02	14
panynj	AA-404-MIA-MCO	6:45 AM, Jan 02	7:14 AM, Jan 02	Terminal E - E5	7:45 AM, Jan 02	7:50 AM, Jan 02	14
gofox	AA-404-MIA-MCO	6:45 AM, Jan 02	7:14 AM, Jan 02		7:45 AM, Jan 02	7:50 AM, Jan 02	
foxbusiness	AA-404-MIA-MCO	6:45 AM, Jan 02	7:14 AM, Jan 02	Terminal E - E5	7:45 AM, Jan 02	7:50 AM, Jan 02	14
allegiantair	AA-404-MIA-MCO	6:45 AM, Jan 02	7:14 AM, Jan 02	Terminal E - E5	7:45 AM, Jan 02	7:50 AM, Jan 02	14
boston	AA-404-MIA-MCO	6:45 AM, Jan 02	7:14 AM, Jan 02		7:45 AM, Jan 02	7:50 AM, Jan 02	
orbitz	AA-404-MIA-MCO	6:45aJan 2	6:56aJan 2	 E5	7:45aJan 2	7:57aJan 2	 14
weather	AA-404-MIA-MCO	2012-01-02 06:45 AM	2012-01-02 07:14 AM		2012-01-02 07:45 AM	2012-01-02 08:01 AM	
mco	AA-404-MIA-MCO				2012-01-02 Mon  07:45	2012-01-02 Mon  07:49	14?
usatoday	AA-404-MIA-MCO	2012-01-02 06:45 AM	2012-01-02 07:14 AM		2012-01-02 07:45 AM	2012-01-02 08:01 AM	
flightarrival	AA-404-MIA-MCO	6:45 AM, Jan 02	7:14 AM, Jan 02		7:45 AM, Jan 02	7:50 AM, Jan 02	
ua	UA-4237-DTW-EWR	Mon, Jan 2 2:49 PM	Mon, Jan 2 Cancelled	D-2	Mon, Jan 2 4:36 PM		A27A
airtravelcenter	UA-4237-DTW-EWR	1/2/12 2:49 PM (-05:00)			1/2/12 4:36 PM (-05:00)		
myrateplan	UA-4237-DTW-EWR	1/2/12 2:49 PM (-05:00)			1/2/12 4:36 PM (-05:00)		
helloflight	UA-4237-DTW-EWR	1/2/12 2:49 PM (-05:00)			1/2/12 4:36 PM (-05:00)		
flytecomm	UA-4237-DTW-EWR	1/2/12 2:49 PM (-05:00)			1/2/12 4:36 PM (-05:00)		
flights	UA-4237-DTW-EWR		2012-01-02 02:49 PM	D2		2012-01-02 04:36 PM	27A
businesstravellogue	UA-4237-DTW-EWR		2012-01-02 02:49 PM	D2		2012-01-02 04:36 PM	27A
flylouisville	UA-4237-DTW-EWR		2012-01-02 02:49 PM	D2		2012-01-02 04:36 PM	27A
flightview	UA-4237-DTW-EWR	2:49 PMJan 02			4:36 PMJan 02		
panynj	UA-4237-DTW-EWR	2:49 PMJan 02			4:36 PMJan 02		
gofox	UA-4237-DTW-EWR	2:49 PMJan 02			4:36 PMJan 02		
foxbusiness	UA-4237-DTW-EWR	2:49 PMJan 02			4:36 PMJan 02		
allegiantair	UA-4237-DTW-EWR	2:49 PMJan 02			4:36 PMJan 02		
boston	UA-4237-DTW-EWR	2:49 PMJan 02			4:36 PMJan 02		
orbitz	UA-4237-DTW-EWR	2:49pJan 2		 -	4:36pJan 2		 -
usatoday	UA-4237-DTW-EWR	2:49 PMJan 02			4:36 PMJan 02		
ua	UA-1693-MCO-IAH	Mon, Jan 2 8:50 AM	Mon, Jan 2 8:52 AM	36	Mon, Jan 2 10:32 AM	Mon, Jan 2 10:18 AM	C-43
flightexplorer	UA-1693-MCO-IAH		1/2/2012 9:02AM EST			1/2/2012 10:14AM CST	
airtravelcenter	UA-1693-MCO-IAH	1/2/12 8:50 AM (-05:00)			1/2/12 10:32 AM (-06:00)		
myrateplan	UA-1693-MCO-IAH	1/2/12 8:50 AM (-05:00)			1/2/12 10:32 AM (-06:00)		
helloflight	UA-1693-MCO-IAH	1/2/12 8:50 AM (-05:00)			1/2/12 10:32 AM (-06:00)		
flytecomm	UA-1693-MCO-IAH	1/2/12 8:50 AM (-05:00)			1/2/12 10:32 AM (-06:00)		
flightaware	UA-1693-MCO-IAH	2012-01-02 08:50AM EST	2012-01-02 09:03AM EST	 36 	2012-01-02 10:17AM CST	2012-01-02 10:11AM CST	 43 
wunderground	UA-1693-MCO-IAH	2012-01-02 08:50AM EST	2012-01-02 09:03AM EST	 36 	2012-01-02 10:17AM CST	2012-01-02 10:11AM CST	 43 
flights	UA-1693-MCO-IAH	08:50 AM  Mon 02-Jan-2012	08:52 AM  Mon 02-Jan-2012	36	10:32 AM  Mon 02-Jan-2012	10:18 AM  Mon 02-Jan-2012	43
businesstravellogue	UA-1693-MCO-IAH	08:50 AM  Mon 02-Jan-2012	08:52 AM  Mon 02-Jan-2012	36	10:32 AM  Mon 02-Jan-2012	10:18 AM  Mon 02-Jan-2012	43
