CO	CO-4237-EWR-DTW	Thu., Dec.29, 2011 12:17 p.m.	Thu., Dec.29, 2011 12:21 p.m.		Thu., Dec.29, 2011 2:24 p.m.	Thu., Dec.29, 2011 2:19 p.m.	
orbitz	UA-4444-IAH-XNA	7:30pDec 29	7:29pDec 29	 -	9:02pDec 29	8:52pDec 29	 -
weather	UA-4444-IAH-XNA	2011-12-29 07:30 PM			2011-12-29 09:02 PM		
usatoday	UA-4444-IAH-XNA	2011-12-29 07:30 PM			2011-12-29 09:02 PM		
mytripandmore	UA-4444-IAH-XNA	7:30pDec 29	7:29pDec 29	 -	9:02pDec 29	8:52pDec 29	 -
aa	AA-474-DFW-ATL	December 29, 2011               12:35 PM    	December 29, 2011               01:22 PM    	 A39	December 29, 2011               03:35 PM    	December 29, 2011               04:11 PM    	 T9    
flightexplorer	AA-474-DFW-ATL		12/29/2011 1:32PM CST			12/29/2011 4:09PM EST	
airtravelcenter	AA-474-DFW-ATL		12/29/11 1:32 PM (-06:00)			12/29/11 4:09 PM (-05:00)	
myrateplan	AA-474-DFW-ATL		12/29/11 1:32 PM (-06:00)			12/29/11 4:09 PM (-05:00)	
helloflight	AA-474-DFW-ATL		12/29/11 1:32 PM (-06:00)			12/29/11 4:09 PM (-05:00)	
flytecomm	AA-474-DFW-ATL		12/29/11 1:32 PM (-06:00)			12/29/11 4:09 PM (-05:00)	
flightaware	AA-474-DFW-ATL	2011-12-29 12:35PM CST	2011-12-29 01:32PM CST	 A39 	2011-12-29 03:28PM EST	2011-12-29 04:05PM EST	 T9 
wunderground	AA-474-DFW-ATL	2011-12-29 12:35PM CST	2011-12-29 01:32PM CST	 A39 	2011-12-29 03:28PM EST	2011-12-29 04:05PM EST	 T9 
flights	AA-474-DFW-ATL		2011-12-29 01:22 PM	A39		2011-12-29 04:11 PM	T9
businesstravellogue	AA-474-DFW-ATL		2011-12-29 01:22 PM	A39		2011-12-29 04:11 PM	T9
flylouisville	AA-474-DFW-ATL		2011-12-29 01:22 PM	A39		2011-12-29 04:11 PM	T9
flightstats	AA-474-DFW-ATL	2011-12-29 12:35 PM	2011-12-29 1:22 PM		2011-12-29 3:35 PM	2011-12-29 4:11 PM	
quicktrip	AA-474-DFW-ATL	2011-12-29 12:35 PM	2011-12-29 1:22 PM		2011-12-29 3:35 PM	2011-12-29 4:11 PM	
flightview	AA-474-DFW-ATL		1:32 PMDec 29			4:11 PMDec 29	
panynj	AA-474-DFW-ATL		1:32 PMDec 29			4:11 PMDec 29	
gofox	AA-474-DFW-ATL		1:32 PMDec 29			4:11 PMDec 29	
foxbusiness	AA-474-DFW-ATL		1:32 PMDec 29			4:11 PMDec 29	
allegiantair	AA-474-DFW-ATL		1:32 PMDec 29			4:11 PMDec 29	
boston	AA-474-DFW-ATL		1:32 PMDec 29			4:11 PMDec 29	
orbitz	AA-474-DFW-ATL	12:35pDec 29	1:22pDec 29	 A39	3:35pDec 29	4:11pDec 29	 T9
dfw	AA-474-DFW-ATL	2011-12-29 12:35 pm		A39			
ifly	AA-474-DFW-ATL	2011-12-29 12:35 PM	2011-12-29 1:22 PM		2011-12-29 3:35 PM	2011-12-29 4:11 PM	
flightwise	AA-474-DFW-ATL	2011-12-29 12:35PM CST	2011-12-29 01:32PM CST	 A39 	2011-12-29 03:28PM EST	2011-12-29 04:05PM EST	 T9 
flightarrival	AA-474-DFW-ATL	2011-12-29 12:35 PM	2011-12-29 1:22 PM		2011-12-29 3:35 PM	2011-12-29 4:11 PM	
CO	CO-4842-EWR-PHL	Thu., Dec.29, 2011 3:11 p.m.	Thu., Dec.29, 2011 3:58 p.m.		Thu., Dec.29, 2011 4:23 p.m.	Thu., Dec.29, 2011 5:54 p.m.	
airtravelcenter	CO-4842-EWR-PHL		12/29/11 4:26 PM (-05:00)			12/29/11 5:07 PM (-05:00)	
myrateplan	CO-4842-EWR-PHL		12/29/11 4:26 PM (-05:00)			12/29/11 5:07 PM (-05:00)	
helloflight	CO-4842-EWR-PHL		12/29/11 4:26 PM (-05:00)			12/29/11 5:07 PM (-05:00)	
flytecomm	CO-4842-EWR-PHL		12/29/11 4:26 PM (-05:00)			12/29/11 5:07 PM (-05:00)	
flights	CO-4842-EWR-PHL		2011-12-29 03:58 PM	85		2011-12-29 05:54 PM	D1
businesstravellogue	CO-4842-EWR-PHL		2011-12-29 03:58 PM	85		2011-12-29 05:54 PM	D1
flylouisville	CO-4842-EWR-PHL		2011-12-29 03:58 PM	85		2011-12-29 05:54 PM	D1
flightstats	CO-4842-EWR-PHL	2011-12-29 3:11 PM	2011-12-29 3:58 PM		2011-12-29 4:23 PM	2011-12-29 5:54 PM	
quicktrip	CO-4842-EWR-PHL	2011-12-29 3:11 PM	2011-12-29 3:58 PM		2011-12-29 4:23 PM	2011-12-29 5:54 PM	
flightview	CO-4842-EWR-PHL		4:26 PMDec 29			5:54 PMDec 29	
panynj	CO-4842-EWR-PHL		4:26 PMDec 29			5:54 PMDec 29	
gofox	CO-4842-EWR-PHL		4:26 PMDec 29			5:54 PMDec 29	
foxbusiness	CO-4842-EWR-PHL		4:26 PMDec 29			5:54 PMDec 29	
allegiantair	CO-4842-EWR-PHL		4:26 PMDec 29			5:54 PMDec 29	
boston	CO-4842-EWR-PHL		4:26 PMDec 29			5:08 PMDec 29	
orbitz	CO-4842-EWR-PHL	3:11pDec 29	3:58pDec 29	 -	4:23pDec 29	5:54pDec 29	 -
weather	CO-4842-EWR-PHL	2011-12-29 03:11 PM			2011-12-29 04:23 PM		
phl	CO-4842-EWR-PHL				2011-12-29 4:23 PM		D1
flightarrival	CO-4842-EWR-PHL	2011-12-29 03:11 PM			2011-12-29 04:23 PM		
ua	UA-5293-PDX-LAX	Thu, Dec 29 6:16 PM	Thu, Dec 29 6:16 PM	E7	Thu, Dec 29 8:45 PM	Thu, Dec 29 8:45 PM	85
flightexplorer	UA-5293-PDX-LAX	12/29/2011 6:16PM PST			12/29/2011 8:45PM PST		
airtravelcenter	UA-5293-PDX-LAX		12/29/11 6:29 PM (-08:00)			12/29/11 8:30 PM (-08:00)	
myrateplan	UA-5293-PDX-LAX		12/29/11 6:29 PM (-08:00)			12/29/11 8:30 PM (-08:00)	
helloflight	UA-5293-PDX-LAX		12/29/11 6:29 PM (-08:00)			12/29/11 8:30 PM (-08:00)	
flytecomm	UA-5293-PDX-LAX		12/29/11 6:29 PM (-08:00)			12/29/11 8:30 PM (-08:00)	
flightaware	UA-5293-PDX-LAX	2011-12-29 06:16PM PST	2011-12-29 06:26PM PST	 E7 	2011-12-29 08:25PM PST	2011-12-29 08:35PM PST	 85 
wunderground	UA-5293-PDX-LAX	2011-12-29 06:16PM PST	2011-12-29 06:26PM PST	 E7 	2011-12-29 08:25PM PST	2011-12-29 08:35PM PST	 85 
flights	UA-5293-PDX-LAX	2011-12-29 06:16 PM		E7	2011-12-29 08:45 PM		85
businesstravellogue	UA-5293-PDX-LAX	2011-12-29 06:16 PM		E7	2011-12-29 08:45 PM		85
flylouisville	UA-5293-PDX-LAX	2011-12-29 06:16 PM		E7	2011-12-29 08:45 PM		85
flightview	UA-5293-PDX-LAX	6:16 PMDec 29			8:45 PMDec 29		
panynj	UA-5293-PDX-LAX	6:16 PMDec 29			8:45 PMDec 29		
gofox	UA-5293-PDX-LAX	6:16 PMDec 29			8:45 PMDec 29		
foxbusiness	UA-5293-PDX-LAX	6:16 PMDec 29			8:45 PMDec 29		
allegiantair	UA-5293-PDX-LAX	6:16 PMDec 29			8:45 PMDec 29		
boston	UA-5293-PDX-LAX	6:16 PMDec 29			8:45 PMDec 29		
travelocity	UA-5293-PDX-LAX	Dec 29 - 6:16pm	Dec 29 - Not Available	E7	Dec 29 - 8:45pm	Dec 29 - Not Available	85
orbitz	UA-5293-PDX-LAX	6:16pDec 29		 E7	8:45pDec 29		 85
weather	UA-5293-PDX-LAX	2011-12-29 06:16 PM			2011-12-29 08:45 PM		
usatoday	UA-5293-PDX-LAX	6:16 PMDec 29			8:45 PMDec 29		
mytripandmore	UA-5293-PDX-LAX	6:16pDec 29		 E7	8:45pDec 29		 85
ua	UA-5206-TUS-IAH	Thu, Dec 29 4:57 PM	Thu, Dec 29 4:57 PM            On Time	B9	Thu, Dec 29 8:13 PM	Thu, Dec 29 8:20 PM	B85A
flightexplorer	UA-5206-TUS-IAH		12/28/2011 5:06PM MST			12/29/2011 8:01PM CST	
airtravelcenter	UA-5206-TUS-IAH		12/29/11 5:06 PM (-07:00)			12/29/11 8:01 PM (-06:00)	
myrateplan	UA-5206-TUS-IAH		12/29/11 5:06 PM (-07:00)			12/29/11 8:01 PM (-06:00)	
helloflight	UA-5206-TUS-IAH		12/29/11 5:06 PM (-07:00)			12/29/11 8:01 PM (-06:00)	
flytecomm	UA-5206-TUS-IAH		12/29/11 5:06 PM (-07:00)			12/29/11 8:01 PM (-06:00)	
flights	UA-5206-TUS-IAH		2011-12-29 04:57 PM	B9		2011-12-29 08:20 PM	85A
businesstravellogue	UA-5206-TUS-IAH		2011-12-29 04:57 PM	B9		2011-12-29 08:20 PM	85A
flylouisville	UA-5206-TUS-IAH		2011-12-29 04:57 PM	B9		2011-12-29 08:20 PM	85A
flightview	UA-5206-TUS-IAH		5:06 PMDec 29			8:08 PMDec 29	
panynj	UA-5206-TUS-IAH		5:06 PMDec 29			8:08 PMDec 29	
gofox	UA-5206-TUS-IAH		5:06 PMDec 29			8:08 PMDec 29	
foxbusiness	UA-5206-TUS-IAH		5:06 PMDec 29			8:08 PMDec 29	
allegiantair	UA-5206-TUS-IAH		5:06 PMDec 29			8:08 PMDec 29	
boston	UA-5206-TUS-IAH		5:06 PMDec 29			8:08 PMDec 29	
orbitz	UA-5206-TUS-IAH	4:57pDec 29	4:57pDec 29	 -	8:13pDec 29	8:20pDec 29	 -
ua	UA-2694-DFW-PHL	Thu, Dec 29 3:05 PM	Thu, Dec 29 3:05 PM	E37	Thu, Dec 29 7:11 PM	Thu, Dec 29 6:56 PM	C26
airtravelcenter	UA-2694-DFW-PHL		12/29/11 3:11 PM (-06:00)			12/29/11 6:54 PM (-05:00)	
myrateplan	UA-2694-DFW-PHL		12/29/11 3:11 PM (-06:00)			12/29/11 6:54 PM (-05:00)	
helloflight	UA-2694-DFW-PHL		12/29/11 3:11 PM (-06:00)			12/29/11 6:54 PM (-05:00)	
flytecomm	UA-2694-DFW-PHL		12/29/11 3:11 PM (-06:00)			12/29/11 6:54 PM (-05:00)	
flights	UA-2694-DFW-PHL	03:05 PM  Thu 29-Dec-2011	02:58 PM  Thu 29-Dec-2011	E37	07:11 PM  Thu 29-Dec-2011	06:56 PM  Thu 29-Dec-2011	C26
businesstravellogue	UA-2694-DFW-PHL	03:05 PM  Thu 29-Dec-2011	02:58 PM  Thu 29-Dec-2011	E37	07:11 PM  Thu 29-Dec-2011	06:56 PM  Thu 29-Dec-2011	C26
flylouisville	UA-2694-DFW-PHL	03:05 PM  Thu 29-Dec-2011	02:58 PM  Thu 29-Dec-2011	E37	07:11 PM  Thu 29-Dec-2011	06:56 PM  Thu 29-Dec-2011	C26
flightstats	UA-2694-DFW-PHL	2011-12-29 3:05 PM	2011-12-29 2:58 PM		2011-12-29 7:11 PM	2011-12-29 6:56 PM	
quicktrip	UA-2694-DFW-PHL	2011-12-29 3:05 PM	2011-12-29 2:58 PM		2011-12-29 7:11 PM	2011-12-29 6:56 PM	
world-flight-tracker	UA-2694-DFW-PHL	2011-12-29 3:05 PM	2011-12-29 2:58 PM		2011-12-29 7:11 PM	2011-12-29 6:56 PM	
flightview	UA-2694-DFW-PHL	3:05 PM, Dec 29	3:13 PM, Dec 29	E37	7:11 PM, Dec 29	7:11 PM, Dec 29	C26
panynj	UA-2694-DFW-PHL	3:05 PM, Dec 29	3:13 PM, Dec 29	E37	7:11 PM, Dec 29	7:11 PM, Dec 29	C26
gofox	UA-2694-DFW-PHL	3:05 PM, Dec 29	3:13 PM, Dec 29		7:11 PM, Dec 29	7:11 PM, Dec 29	
foxbusiness	UA-2694-DFW-PHL	3:05 PM, Dec 29	3:13 PM, Dec 29	E37	7:11 PM, Dec 29	7:11 PM, Dec 29	C26
allegiantair	UA-2694-DFW-PHL	3:05 PM, Dec 29	3:13 PM, Dec 29	E37	7:11 PM, Dec 29	7:11 PM, Dec 29	C26
boston	UA-2694-DFW-PHL	3:05 PM, Dec 29	3:13 PM, Dec 29		7:11 PM, Dec 29	6:55 PM, Dec 29	
travelocity	UA-2694-DFW-PHL	Dec 29 - 3:05pm	Dec 29 - Contact Airline	Not provided by airline	Dec 29 - 7:11pm	Dec 29 - Contact Airline	Not provided by airline
orbitz	UA-2694-DFW-PHL	3:05pDec 29	2:58pDec 29	 -	7:11pDec 29	6:56pDec 29	 -
weather	UA-2694-DFW-PHL	2011-12-29 03:05 PM			2011-12-29 07:11 PM		
ifly	UA-2694-DFW-PHL	2011-12-29 3:05 PM	2011-12-29 2:58 PM		2011-12-29 7:11 PM	2011-12-29 6:56 PM	
mytripandmore	UA-2694-DFW-PHL	Dec 29 - 3:05pm	Dec 29 - Contact Airline	Not provided by airline	Dec 29 - 7:11pm	Dec 29 - Contact Airline	Not provided by airline
flightarrival	UA-2694-DFW-PHL	3:05 PM, Dec 29	3:13 PM, Dec 29		7:11 PM, Dec 29	6:55 PM, Dec 29	
ua	UA-1461-IAH-SAL	Thu, Dec 29 5:38 PM	Thu, Dec 29 5:58 PM	E14	Thu, Dec 29 8:50 PM	Thu, Dec 29 8:44 PM	8
airtravelcenter	UA-1461-IAH-SAL	12/29/11 5:38 PM (-06:00)			12/29/11 8:50 PM (-06:00)		
myrateplan	UA-1461-IAH-SAL	12/29/11 5:38 PM (-06:00)			12/29/11 8:50 PM (-06:00)		
helloflight	UA-1461-IAH-SAL	12/29/11 5:38 PM (-06:00)			12/29/11 8:50 PM (-06:00)		
flytecomm	UA-1461-IAH-SAL	12/29/11 5:38 PM (-06:00)			12/29/11 8:50 PM (-06:00)		
flights	UA-1461-IAH-SAL	05:38 PM  Thu 29-Dec-2011		14	08:50 PM  Thu 29-Dec-2011		HOLD
businesstravellogue	UA-1461-IAH-SAL	05:38 PM  Thu 29-Dec-2011		14	08:50 PM  Thu 29-Dec-2011		HOLD
flylouisville	UA-1461-IAH-SAL	05:38 PM  Thu 29-Dec-2011		14	08:50 PM  Thu 29-Dec-2011		HOLD
flightview	UA-1461-IAH-SAL	5:38 PM, Dec 29	6:15 PM, Dec 29		8:50 PM, Dec 29		
panynj	UA-1461-IAH-SAL	5:38 PM, Dec 29	6:15 PM, Dec 29		8:50 PM, Dec 29		
gofox	UA-1461-IAH-SAL	5:38 PM, Dec 29	6:15 PM, Dec 29		8:50 PM, Dec 29		
foxbusiness	UA-1461-IAH-SAL	5:38 PM, Dec 29	6:15 PM, Dec 29		8:50 PM, Dec 29		
allegiantair	UA-1461-IAH-SAL	5:38 PM, Dec 29	6:15 PM, Dec 29		8:50 PM, Dec 29		
boston	UA-1461-IAH-SAL	5:38 PM, Dec 29	6:15 PM, Dec 29		8:50 PM, Dec 29	9:10 PM, Dec 29&nbsp(Estimated)	
travelocity	UA-1461-IAH-SAL	Dec 29 - 5:38pm	Dec 29 - Contact Airline	Not provided by airline	Dec 29 - 8:50pm	Dec 29 - Contact Airline	Not provided by airline
orbitz	UA-1461-IAH-SAL	5:38pDec 29	5:58pDec 29	 E14	8:38pDec 29		 -
weather	UA-1461-IAH-SAL	2011-12-29 05:38 PM			2011-12-29 08:50 PM		
aa	AA-2446-DFW-MIA	December 29, 2011               07:10 PM    	December 29, 2011               07:14 PM    	 D27	December 29, 2011               10:45 PM    	December 29, 2011               10:48 PM    	 D48    
flightexplorer	AA-2446-DFW-MIA		12/29/2011 7:32PM CST			12/29/2011 10:35PM EST	
airtravelcenter	AA-2446-DFW-MIA		12/29/11 7:32 PM (-06:00)			12/29/11 10:35 PM (-05:00)	
myrateplan	AA-2446-DFW-MIA		12/29/11 7:32 PM (-06:00)			12/29/11 10:35 PM (-05:00)	
helloflight	AA-2446-DFW-MIA		12/29/11 7:32 PM (-06:00)			12/29/11 10:35 PM (-05:00)	
flytecomm	AA-2446-DFW-MIA		12/29/11 7:32 PM (-06:00)			12/29/11 10:35 PM (-05:00)	
flightaware	AA-2446-DFW-MIA	2011-12-29 07:10PM CST	2011-12-29 07:32PM CST	 D27 	2011-12-29 10:33PM EST	2011-12-29 10:38PM EST	 D48 
wunderground	AA-2446-DFW-MIA	2011-12-29 07:10PM CST	2011-12-29 07:32PM CST	 D27 	2011-12-29 10:33PM EST	2011-12-29 10:38PM EST	 D48 
flights	AA-2446-DFW-MIA		2011-12-29 07:14 PM	D27		2011-12-29 10:48 PM	D48
businesstravellogue	AA-2446-DFW-MIA		2011-12-29 07:14 PM	D27		2011-12-29 10:48 PM	D48
flylouisville	AA-2446-DFW-MIA		2011-12-29 07:14 PM	D27		2011-12-29 10:48 PM	D48
flightstats	AA-2446-DFW-MIA	2011-12-29 7:10 PM	2011-12-29 7:14 PM		2011-12-29 10:45 PM	2011-12-29 10:48 PM	
quicktrip	AA-2446-DFW-MIA	2011-12-29 7:10 PM	2011-12-29 7:14 PM		2011-12-29 10:45 PM	2011-12-29 10:48 PM	
flightview	AA-2446-DFW-MIA		7:32 PMDec 29			10:48 PMDec 29	
panynj	AA-2446-DFW-MIA		7:32 PMDec 29			10:48 PMDec 29	
gofox	AA-2446-DFW-MIA		7:32 PMDec 29			10:48 PMDec 29	
foxbusiness	AA-2446-DFW-MIA		7:32 PMDec 29			10:48 PMDec 29	
allegiantair	AA-2446-DFW-MIA		7:32 PMDec 29			10:48 PMDec 29	
boston	AA-2446-DFW-MIA		7:32 PMDec 29			10:44 PMDec 29	
orbitz	AA-2446-DFW-MIA	7:10pDec 29	7:14pDec 29	 D27	10:45pDec 29	10:48pDec 29	 D48
dfw	AA-2446-DFW-MIA	2011-12-29 7:10 pm		D27			
mia	AA-2446-DFW-MIA				10:45P 12-28-11	2011-12-29  12:04A	
usatoday	AA-2446-DFW-MIA	2011-12-29 7:10 PM	2011-12-29 7:14 PM		2011-12-29 10:45 PM	2011-12-29 10:48 PM	
mytripandmore	AA-2446-DFW-MIA	7:10pDec 29	7:14pDec 29	 D27	10:45pDec 29	10:48pDec 29	 D48
flightwise	AA-2446-DFW-MIA	2011-12-29 07:10PM CST	2011-12-29 07:32PM CST	 D27 	2011-12-29 10:33PM EST	2011-12-29 10:38PM EST	 D48 
CO	CO-1221-EWR-DFW	Thu., Dec.29, 2011 6:15 p.m.	Thu., Dec.29, 2011 6:12 p.m.		Thu., Dec.29, 2011 9:26 p.m.	Thu., Dec.29, 2011 9:14 p.m.	
flightexplorer	CO-1221-EWR-DFW		12/29/2011 6:45PM EST			12/29/2011 9:09PM CST	
airtravelcenter	CO-1221-EWR-DFW	12/29/11 6:15 PM (-05:00)			12/29/11 9:26 PM (-06:00)		
myrateplan	CO-1221-EWR-DFW	12/29/11 6:15 PM (-05:00)			12/29/11 9:26 PM (-06:00)		
helloflight	CO-1221-EWR-DFW	12/29/11 6:15 PM (-05:00)			12/29/11 9:26 PM (-06:00)		
flytecomm	CO-1221-EWR-DFW	12/29/11 6:15 PM (-05:00)			12/29/11 9:26 PM (-06:00)		
flightaware	CO-1221-EWR-DFW	2011-12-29 06:15PM EST	2011-12-29 06:46PM EST	 111 	2011-12-29 09:16PM CST	2011-12-29 09:06PM CST	 E10 
wunderground	CO-1221-EWR-DFW	2011-12-29 06:15PM EST	2011-12-29 06:46PM EST	 111 	2011-12-29 09:16PM CST	2011-12-29 09:06PM CST	 E10 
flights	CO-1221-EWR-DFW		2011-12-29 06:12 PM	111		2011-12-29 09:14 PM	E10
businesstravellogue	CO-1221-EWR-DFW		2011-12-29 06:12 PM	111		2011-12-29 09:14 PM	E10
flylouisville	CO-1221-EWR-DFW		2011-12-29 06:12 PM	111		2011-12-29 09:14 PM	E10
flightstats	CO-1221-EWR-DFW	2011-12-29 6:15 PM	2011-12-29 6:12 PM		2011-12-29 9:26 PM	2011-12-29 9:14 PM	
quicktrip	CO-1221-EWR-DFW	2011-12-29 6:15 PM	2011-12-29 6:12 PM		2011-12-29 9:26 PM	2011-12-29 9:14 PM	
flightview	CO-1221-EWR-DFW		6:46 PMDec 29			9:14 PMDec 29	
panynj	CO-1221-EWR-DFW		6:46 PMDec 29			9:14 PMDec 29	
gofox	CO-1221-EWR-DFW		6:46 PMDec 29			9:14 PMDec 29	
foxbusiness	CO-1221-EWR-DFW		6:46 PMDec 29			9:14 PMDec 29	
allegiantair	CO-1221-EWR-DFW		6:46 PMDec 29			9:14 PMDec 29	
boston	CO-1221-EWR-DFW		6:46 PMDec 29			9:06 PMDec 29	
orbitz	CO-1221-EWR-DFW	6:15pDec 29	6:12pDec 29	 111	9:26pDec 29	9:14pDec 29	 E10
ifly	CO-1221-EWR-DFW	2011-12-29 6:15 PM	2011-12-29 6:12 PM		2011-12-29 9:26 PM	2011-12-29 9:14 PM	
flightarrival	CO-1221-EWR-DFW	2011-12-29 6:15 PM	2011-12-29 6:12 PM		2011-12-29 9:26 PM	2011-12-29 9:14 PM	
ua	UA-37-EWR-MCO	Thu, Dec 29 1:29 PM	Thu, Dec 29 1:43 PM            Delayed	C135	Thu, Dec 29 4:22 PM	Thu, Dec 29 4:19 PM	39
flightexplorer	UA-37-EWR-MCO		12/29/2011 1:53PM EST			12/29/2011 4:11PM EST	
airtravelcenter	UA-37-EWR-MCO	12/29/11 1:29 PM (-05:00)			12/29/11 4:22 PM (-05:00)		
myrateplan	UA-37-EWR-MCO	12/29/11 1:29 PM (-05:00)			12/29/11 4:22 PM (-05:00)		
helloflight	UA-37-EWR-MCO	12/29/11 1:29 PM (-05:00)			12/29/11 4:22 PM (-05:00)		
flytecomm	UA-37-EWR-MCO	12/29/11 1:29 PM (-05:00)			12/29/11 4:22 PM (-05:00)		
flightaware	UA-37-EWR-MCO	2011-12-29 01:29PM EST	2011-12-29 01:55PM EST	 135 	2011-12-29 04:07PM EST	2011-12-29 04:12PM EST	 39 
wunderground	UA-37-EWR-MCO	2011-12-29 01:29PM EST	2011-12-29 01:55PM EST	 135 	2011-12-29 04:07PM EST	2011-12-29 04:12PM EST	 39 
flights	UA-37-EWR-MCO		2011-12-29 01:43 PM	135		2011-12-29 04:19 PM	39
businesstravellogue	UA-37-EWR-MCO		2011-12-29 01:43 PM	135		2011-12-29 04:19 PM	39
flylouisville	UA-37-EWR-MCO		2011-12-29 01:43 PM	135		2011-12-29 04:19 PM	39
flightstats	UA-37-EWR-MCO	2011-12-29 1:29 PM	2011-12-29 1:43 PM		2011-12-29 4:22 PM	2011-12-29 4:19 PM	
quicktrip	UA-37-EWR-MCO	2011-12-29 1:29 PM	2011-12-29 1:43 PM		2011-12-29 4:22 PM	2011-12-29 4:19 PM	
flightview	UA-37-EWR-MCO		1:55 PMDec 29			4:19 PMDec 29	
panynj	UA-37-EWR-MCO		1:55 PMDec 29			4:19 PMDec 29	
gofox	UA-37-EWR-MCO		1:55 PMDec 29			4:19 PMDec 29	
foxbusiness	UA-37-EWR-MCO		1:55 PMDec 29			4:19 PMDec 29	
allegiantair	UA-37-EWR-MCO		1:55 PMDec 29			4:19 PMDec 29	
boston	UA-37-EWR-MCO		1:55 PMDec 29			4:12 PMDec 29	
orbitz	UA-37-EWR-MCO	1:29pDec 29	1:43pDec 29	 135	4:22pDec 29	4:19pDec 29	 39
ifly	UA-37-EWR-MCO	2011-12-29 1:29 PM	2011-12-29 1:43 PM		2011-12-29 4:22 PM	2011-12-29 4:19 PM	
ua	UA-6121-ORD-LIT	Thu, Dec 29 12:40 PM	Thu, Dec 29 12:36 PM            On Time	F5	Thu, Dec 29 2:30 PM	Thu, Dec 29 2:01 PM	--
airtravelcenter	UA-6121-ORD-LIT	12/29/11 12:40 PM (-06:00)			12/29/11 2:30 PM (-06:00)		
myrateplan	UA-6121-ORD-LIT	12/29/11 12:40 PM (-06:00)			12/29/11 2:30 PM (-06:00)		
helloflight	UA-6121-ORD-LIT	12/29/11 12:40 PM (-06:00)			12/29/11 2:30 PM (-06:00)		
flytecomm	UA-6121-ORD-LIT	12/29/11 12:40 PM (-06:00)			12/29/11 2:30 PM (-06:00)		
flightaware	UA-6121-ORD-LIT	2011-12-29 12:40PM CST	2011-12-29 12:43PM CST	 F5 	2011-12-29 02:17PM CST	2011-12-29 01:57PM CST	
wunderground	UA-6121-ORD-LIT	2011-12-29 12:40PM CST	2011-12-29 12:43PM CST	 F5 	2011-12-29 02:17PM CST	2011-12-29 01:57PM CST	
flights	UA-6121-ORD-LIT		2011-12-29 12:36 PM	F5		2011-12-29 02:01 PM	
businesstravellogue	UA-6121-ORD-LIT		2011-12-29 12:36 PM	F5		2011-12-29 02:01 PM	
flylouisville	UA-6121-ORD-LIT		2011-12-29 12:36 PM	F5		2011-12-29 02:01 PM	
flightview	UA-6121-ORD-LIT		12:43 PMDec 29			2:01 PMDec 29	
panynj	UA-6121-ORD-LIT		12:43 PMDec 29			2:01 PMDec 29	
gofox	UA-6121-ORD-LIT		12:43 PMDec 29			2:01 PMDec 29	
foxbusiness	UA-6121-ORD-LIT		12:43 PMDec 29			2:01 PMDec 29	
allegiantair	UA-6121-ORD-LIT		12:43 PMDec 29			2:01 PMDec 29	
boston	UA-6121-ORD-LIT		12:43 PMDec 29			2:05 PMDec 29	
orbitz	UA-6121-ORD-LIT	12:40pDec 29	12:36pDec 29	 F5	2:30pDec 29	2:01pDec 29	 -
usatoday	UA-6121-ORD-LIT		12:43 PMDec 29			2:05 PMDec 29	
flightwise	UA-6121-ORD-LIT	2011-12-29 12:40PM CST	2011-12-29 12:43PM CST	 F5 	2011-12-29 02:17PM CST	2011-12-29 01:57PM CST	
flightarrival	UA-6121-ORD-LIT		12:43 PMDec 29			2:05 PMDec 29	
aa	AA-3816-DEN-LAX	December 29, 2011               06:30 AM    	December 29, 2011               06:30 AM    	 A53	December 29, 2011               08:20 AM    	December 29, 2011               07:59 AM    	 44J    
flightexplorer	AA-3816-DEN-LAX		12/29/2011 6:49AM MST			12/29/2011 7:45AM PST	
airtravelcenter	AA-3816-DEN-LAX		12/29/11 6:49 AM (-07:00)			12/29/11 7:45 AM (-08:00)	
myrateplan	AA-3816-DEN-LAX		12/29/11 6:49 AM (-07:00)			12/29/11 7:45 AM (-08:00)	
helloflight	AA-3816-DEN-LAX		12/29/11 6:49 AM (-07:00)			12/29/11 7:45 AM (-08:00)	
flytecomm	AA-3816-DEN-LAX		12/29/11 6:49 AM (-07:00)			12/29/11 7:45 AM (-08:00)	
flightaware	AA-3816-DEN-LAX	2011-12-29 06:30AM MST	2011-12-29 06:49AM MST	 A53 	2011-12-29 07:58AM PST	2011-12-29 07:46AM PST	 44J 
wunderground	AA-3816-DEN-LAX	2011-12-29 06:30AM MST	2011-12-29 06:49AM MST	 A53 	2011-12-29 07:58AM PST	2011-12-29 07:46AM PST	 44J 
flights	AA-3816-DEN-LAX	06:30 AM  Thu 29-Dec-2011	06:30 AM  Thu 29-Dec-2011	A53	08:20 AM  Thu 29-Dec-2011	07:59 AM  Thu 29-Dec-2011	44
businesstravellogue	AA-3816-DEN-LAX	06:30 AM  Thu 29-Dec-2011	06:30 AM  Thu 29-Dec-2011	A53	08:20 AM  Thu 29-Dec-2011	07:59 AM  Thu 29-Dec-2011	44
flylouisville	AA-3816-DEN-LAX	06:30 AM  Thu 29-Dec-2011	06:30 AM  Thu 29-Dec-2011	A53	08:20 AM  Thu 29-Dec-2011	07:59 AM  Thu 29-Dec-2011	44
flightstats	AA-3816-DEN-LAX	2011-12-29 6:30 AM	2011-12-29 6:30 AM		2011-12-29 8:20 AM	2011-12-29 7:59 AM	
