ua	UA-479-SAN-SFO	Sun, Jan 1 7:57 PM	Sun, Jan 1 7:57 PM	13	Sun, Jan 1 9:35 PM	Sun, Jan 1 9:35 PM	84
flytecomm	CO-4842-EWR-PHL		1/1/12 4:38 PM (-05:00)			1/1/12 5:15 PM (-05:00)	
flights	CO-4842-EWR-PHL		2012-01-01 03:50 PM	114		2012-01-01 05:25 PM	D1
businesstravellogue	CO-4842-EWR-PHL		2012-01-01 03:50 PM	114		2012-01-01 05:25 PM	D1
flylouisville	CO-4842-EWR-PHL		2012-01-01 03:50 PM	114		2012-01-01 05:25 PM	D1
flightstats	CO-4842-EWR-PHL	2012-01-01 3:11 PM	2012-01-01 3:50 PM		2012-01-01 4:23 PM	2012-01-01 5:25 PM	
quicktrip	CO-4842-EWR-PHL	2012-01-01 3:11 PM	2012-01-01 3:50 PM		2012-01-01 4:23 PM	2012-01-01 5:25 PM	
flightview	CO-4842-EWR-PHL		4:39 PMJan 01			5:22 PMJan 01	
panynj	CO-4842-EWR-PHL		4:39 PMJan 01			5:22 PMJan 01	
gofox	CO-4842-EWR-PHL		4:39 PMJan 01			5:22 PMJan 01	
foxbusiness	CO-4842-EWR-PHL		4:39 PMJan 01			5:22 PMJan 01	
allegiantair	CO-4842-EWR-PHL		4:39 PMJan 01			5:22 PMJan 01	
boston	CO-4842-EWR-PHL		4:39 PMJan 01			5:16 PMJan 01	
orbitz	CO-4842-EWR-PHL	3:11pJan 1	3:50pJan 1	 -	4:23pJan 1	5:22pJan 1	 -
weather	CO-4842-EWR-PHL	2012-01-01 03:11 PM			2012-01-01 04:23 PM		
phl	CO-4842-EWR-PHL				2012-01-01 4:23 PM		D1
flightarrival	CO-4842-EWR-PHL	2012-01-01 03:11 PM			2012-01-01 04:23 PM		
ua	UA-5293-PDX-LAX	Sun, Jan 1 6:16 PM	Sun, Jan 1 6:16 PM	E7	Sun, Jan 1 8:45 PM	Sun, Jan 1 8:45 PM	88
flightexplorer	UA-5293-PDX-LAX	1/1/2012 6:16PM PST			1/1/2012 8:45PM PST		
airtravelcenter	UA-5293-PDX-LAX	1/1/12 6:16 PM (-08:00)			1/1/12 8:45 PM (-08:00)		
myrateplan	UA-5293-PDX-LAX	1/1/12 6:16 PM (-08:00)			1/1/12 8:45 PM (-08:00)		
helloflight	UA-5293-PDX-LAX	1/1/12 6:16 PM (-08:00)			1/1/12 8:45 PM (-08:00)		
flytecomm	UA-5293-PDX-LAX	1/1/12 6:16 PM (-08:00)			1/1/12 8:45 PM (-08:00)		
flightaware	UA-5293-PDX-LAX	2012-01-01 06:16PM PST	2012-01-01 06:26PM PST	 E7 	2012-01-01 08:25PM PST	2012-01-01 08:35PM PST	 88 
wunderground	UA-5293-PDX-LAX	2012-01-01 06:16PM PST	2012-01-01 06:26PM PST	 E7 	2012-01-01 08:25PM PST	2012-01-01 08:35PM PST	 88 
flights	UA-5293-PDX-LAX	2012-01-01 06:16 PM		E7	2012-01-01 08:45 PM		88
businesstravellogue	UA-5293-PDX-LAX	2012-01-01 06:16 PM		E7	2012-01-01 08:45 PM		88
flylouisville	UA-5293-PDX-LAX	2012-01-01 06:16 PM		E7	2012-01-01 08:45 PM		88
flightview	UA-5293-PDX-LAX	6:16 PMJan 01			8:45 PMJan 01		
panynj	UA-5293-PDX-LAX	6:16 PMJan 01			8:45 PMJan 01		
gofox	UA-5293-PDX-LAX	6:16 PMJan 01			8:45 PMJan 01		
foxbusiness	UA-5293-PDX-LAX	6:16 PMJan 01			8:45 PMJan 01		
allegiantair	UA-5293-PDX-LAX	6:16 PMJan 01			8:45 PMJan 01		
boston	UA-5293-PDX-LAX	6:16 PMJan 01			8:45 PMJan 01		
orbitz	UA-5293-PDX-LAX	6:16pJan 1		 E7	8:45pJan 1		 88
weather	UA-5293-PDX-LAX	2012-01-01 06:16 PM			2012-01-01 08:45 PM		
ua	UA-5206-TUS-IAH	Sun, Jan 1 4:58 PM	Sun, Jan 1 4:55 PM            On Time	B9	Sun, Jan 1 8:14 PM	Sun, Jan 1 8:19 PM	B85
flightexplorer	UA-5206-TUS-IAH		12/31/2011 5:06PM MST			1/1/2012 8:00PM CST	
airtravelcenter	UA-5206-TUS-IAH	1/1/12 4:58 PM (-07:00)			1/1/12 8:14 PM (-06:00)		
myrateplan	UA-5206-TUS-IAH	1/1/12 4:58 PM (-07:00)			1/1/12 8:14 PM (-06:00)		
helloflight	UA-5206-TUS-IAH	1/1/12 4:58 PM (-07:00)			1/1/12 8:14 PM (-06:00)		
flytecomm	UA-5206-TUS-IAH	1/1/12 4:58 PM (-07:00)			1/1/12 8:14 PM (-06:00)		
flights	UA-5206-TUS-IAH		2012-01-01 04:55 PM	B9		2012-01-01 08:19 PM	85
businesstravellogue	UA-5206-TUS-IAH		2012-01-01 04:55 PM	B9		2012-01-01 08:19 PM	85
flylouisville	UA-5206-TUS-IAH		2012-01-01 04:55 PM	B9		2012-01-01 08:19 PM	85
flightview	UA-5206-TUS-IAH		5:06 PMJan 01			8:06 PMJan 01	
panynj	UA-5206-TUS-IAH		5:06 PMJan 01			8:06 PMJan 01	
gofox	UA-5206-TUS-IAH		5:06 PMJan 01			8:06 PMJan 01	
foxbusiness	UA-5206-TUS-IAH		5:06 PMJan 01			8:06 PMJan 01	
allegiantair	UA-5206-TUS-IAH		5:06 PMJan 01			8:06 PMJan 01	
boston	UA-5206-TUS-IAH		5:06 PMJan 01			8:06 PMJan 01	
orbitz	UA-5206-TUS-IAH	4:58pJan 1	4:55pJan 1	 B9	8:14pJan 1	8:19pJan 1	 B85
mytripandmore	UA-5206-TUS-IAH	4:58pJan 1	4:55pJan 1	 B9	8:14pJan 1	8:19pJan 1	 B85
ua	UA-2694-DFW-PHL	Sun, Jan 1 3:05 PM	Sun, Jan 1 3:05 PM	E37	Sun, Jan 1 7:11 PM	Sun, Jan 1 7:12 PM	C22
airtravelcenter	UA-2694-DFW-PHL		1/1/12 3:15 PM (-06:00)			1/1/12 7:01 PM (-05:00)	
myrateplan	UA-2694-DFW-PHL		1/1/12 3:15 PM (-06:00)			1/1/12 7:01 PM (-05:00)	
helloflight	UA-2694-DFW-PHL		1/1/12 3:15 PM (-06:00)			1/1/12 7:01 PM (-05:00)	
flytecomm	UA-2694-DFW-PHL		1/1/12 3:15 PM (-06:00)			1/1/12 7:01 PM (-05:00)	
flights	UA-2694-DFW-PHL	03:05 PM  Sun 01-Jan-2012	03:04 PM  Sun 01-Jan-2012	E37	07:11 PM  Sun 01-Jan-2012	07:12 PM  Sun 01-Jan-2012	C22
businesstravellogue	UA-2694-DFW-PHL	03:05 PM  Sun 01-Jan-2012	03:04 PM  Sun 01-Jan-2012	E37	07:11 PM  Sun 01-Jan-2012	07:12 PM  Sun 01-Jan-2012	C22
flylouisville	UA-2694-DFW-PHL	03:05 PM  Sun 01-Jan-2012	03:04 PM  Sun 01-Jan-2012	E37	07:11 PM  Sun 01-Jan-2012	07:12 PM  Sun 01-Jan-2012	C22
flightstats	UA-2694-DFW-PHL	2012-01-01 3:05 PM	2012-01-01 3:04 PM		2012-01-01 7:11 PM	2012-01-01 7:12 PM	
quicktrip	UA-2694-DFW-PHL	2012-01-01 3:05 PM	2012-01-01 3:04 PM		2012-01-01 7:11 PM	2012-01-01 7:12 PM	
world-flight-tracker	UA-2694-DFW-PHL	2012-01-01 3:05 PM	2012-01-01 3:04 PM		2012-01-01 7:11 PM	2012-01-01 7:12 PM	
flightview	UA-2694-DFW-PHL	3:05 PM, Jan 01	3:16 PM, Jan 01	E37	7:11 PM, Jan 01	7:11 PM, Jan 01	C22
panynj	UA-2694-DFW-PHL	3:05 PM, Jan 01	3:16 PM, Jan 01	E37	7:11 PM, Jan 01	7:11 PM, Jan 01	C22
gofox	UA-2694-DFW-PHL	3:05 PM, Jan 01	3:16 PM, Jan 01		7:11 PM, Jan 01	7:11 PM, Jan 01	
foxbusiness	UA-2694-DFW-PHL	3:05 PM, Jan 01	3:16 PM, Jan 01	E37	7:11 PM, Jan 01	7:11 PM, Jan 01	C22
allegiantair	UA-2694-DFW-PHL	3:05 PM, Jan 01	3:16 PM, Jan 01	E37	7:11 PM, Jan 01	7:11 PM, Jan 01	C22
boston	UA-2694-DFW-PHL	3:05 PM, Jan 01	3:16 PM, Jan 01		7:11 PM, Jan 01	7:02 PM, Jan 01	
orbitz	UA-2694-DFW-PHL	3:05pJan 1	3:04pJan 1	 -	7:11pJan 1	7:12pJan 1	 -
weather	UA-2694-DFW-PHL	2012-01-01 03:05 PM			2012-01-01 07:11 PM		
ifly	UA-2694-DFW-PHL	2012-01-01 3:05 PM	2012-01-01 3:04 PM		2012-01-01 7:11 PM	2012-01-01 7:12 PM	
usatoday	UA-2694-DFW-PHL	3:05 PM, Jan 01	3:16 PM, Jan 01		7:11 PM, Jan 01	7:02 PM, Jan 01	
mytripandmore	UA-2694-DFW-PHL	3:05pJan 1	3:04pJan 1	 -	7:11pJan 1	7:12pJan 1	 -
flightarrival	UA-2694-DFW-PHL	2012-01-01 03:05 PM			2012-01-01 07:11 PM		
ua	UA-1461-IAH-SAL	Sun, Jan 1 5:38 PM	Sun, Jan 1 5:55 PM	E2	Sun, Jan 1 8:50 PM	Sun, Jan 1 9:12 PM	--
airtravelcenter	UA-1461-IAH-SAL		1/1/12 6:39 PM (-06:00)			1/1/12 9:10 PM (-06:00)	
myrateplan	UA-1461-IAH-SAL		1/1/12 6:39 PM (-06:00)			1/1/12 9:10 PM (-06:00)	
helloflight	UA-1461-IAH-SAL		1/1/12 6:39 PM (-06:00)			1/1/12 9:10 PM (-06:00)	
flytecomm	UA-1461-IAH-SAL		1/1/12 6:39 PM (-06:00)			1/1/12 9:10 PM (-06:00)	
flights	UA-1461-IAH-SAL	05:38 PM  Sun 01-Jan-2012			08:50 PM  Sun 01-Jan-2012		
businesstravellogue	UA-1461-IAH-SAL	05:38 PM  Sun 01-Jan-2012			08:50 PM  Sun 01-Jan-2012		
flylouisville	UA-1461-IAH-SAL	05:38 PM  Sun 01-Jan-2012			08:50 PM  Sun 01-Jan-2012		
flightview	UA-1461-IAH-SAL	5:38 PM, Jan 01	6:39 PM, Jan 01		8:50 PM, Jan 01		
panynj	UA-1461-IAH-SAL	5:38 PM, Jan 01	6:39 PM, Jan 01		8:50 PM, Jan 01		
gofox	UA-1461-IAH-SAL	5:38 PM, Jan 01	6:39 PM, Jan 01		8:50 PM, Jan 01		
foxbusiness	UA-1461-IAH-SAL	5:38 PM, Jan 01	6:39 PM, Jan 01		8:50 PM, Jan 01		
allegiantair	UA-1461-IAH-SAL	5:38 PM, Jan 01	6:39 PM, Jan 01		8:50 PM, Jan 01		
boston	UA-1461-IAH-SAL	5:38 PM, Jan 01	6:39 PM, Jan 01		8:50 PM, Jan 01	9:32 PM, Jan 01&nbsp(Estimated)	
orbitz	UA-1461-IAH-SAL	5:38pJan 1	5:55pJan 1	 E2	9:34pJan 1		 -
weather	UA-1461-IAH-SAL	2012-01-01 05:38 PM			2012-01-01 08:50 PM		
usatoday	UA-1461-IAH-SAL	5:38 PM, Jan 01	6:39 PM, Jan 01		8:50 PM, Jan 01	9:32 PM, Jan 01&nbsp(Estimated)	
aa	AA-2446-DFW-MIA	January 1, 2012               07:10 PM    	January 1, 2012               07:06 PM    	 C27	January 1, 2012               10:45 PM    	January 1, 2012               10:33 PM    	 D43    
flightexplorer	AA-2446-DFW-MIA		1/1/2012 7:21PM CST			1/1/2012 10:25PM EST	
airtravelcenter	AA-2446-DFW-MIA		1/1/12 7:21 PM (-06:00)			1/1/12 10:25 PM (-05:00)	
myrateplan	AA-2446-DFW-MIA		1/1/12 7:21 PM (-06:00)			1/1/12 10:25 PM (-05:00)	
helloflight	AA-2446-DFW-MIA		1/1/12 7:21 PM (-06:00)			1/1/12 10:25 PM (-05:00)	
flytecomm	AA-2446-DFW-MIA		1/1/12 7:21 PM (-06:00)			1/1/12 10:25 PM (-05:00)	
flightaware	AA-2446-DFW-MIA	2012-01-01 07:10PM CST	2012-01-01 07:20PM CST	 C27 	2012-01-01 10:32PM EST	2012-01-01 10:25PM EST	 D43 
wunderground	AA-2446-DFW-MIA	2012-01-01 07:10PM CST	2012-01-01 07:20PM CST	 C27 	2012-01-01 10:32PM EST	2012-01-01 10:25PM EST	 D43 
flights	AA-2446-DFW-MIA		2012-01-01 07:06 PM	C27		2012-01-01 10:33 PM	D43
businesstravellogue	AA-2446-DFW-MIA		2012-01-01 07:06 PM	C27		2012-01-01 10:33 PM	D43
flylouisville	AA-2446-DFW-MIA		2012-01-01 07:06 PM	C27		2012-01-01 10:33 PM	D43
flightstats	AA-2446-DFW-MIA	2012-01-01 7:10 PM	2012-01-01 7:06 PM		2012-01-01 10:45 PM	2012-01-01 10:33 PM	
quicktrip	AA-2446-DFW-MIA	2012-01-01 7:10 PM	2012-01-01 7:06 PM		2012-01-01 10:45 PM	2012-01-01 10:33 PM	
flightview	AA-2446-DFW-MIA		7:21 PMJan 01			10:33 PMJan 01	
panynj	AA-2446-DFW-MIA		7:21 PMJan 01			10:33 PMJan 01	
gofox	AA-2446-DFW-MIA		7:21 PMJan 01			10:33 PMJan 01	
foxbusiness	AA-2446-DFW-MIA		7:21 PMJan 01			10:33 PMJan 01	
allegiantair	AA-2446-DFW-MIA		7:21 PMJan 01			10:33 PMJan 01	
boston	AA-2446-DFW-MIA		7:21 PMJan 01			10:26 PMJan 01	
orbitz	AA-2446-DFW-MIA	7:10pJan 1		 C27	10:45pJan 1		 D33
dfw	AA-2446-DFW-MIA	2012-01-01 7:10 pm		C27			
mia	AA-2446-DFW-MIA				10:45P 12-31-11	2012-01-01  10:58P	
usatoday	AA-2446-DFW-MIA		7:21 PMJan 01			10:26 PMJan 01	
ua	UA-37-EWR-MCO	Sun, Jan 1 1:29 PM	Sun, Jan 1 1:30 PM            Delayed	C135	Sun, Jan 1 4:22 PM	Sun, Jan 1 4:15 PM	39
flightexplorer	UA-37-EWR-MCO		1/1/2012 1:43PM EST			1/1/2012 4:09PM EST	
airtravelcenter	UA-37-EWR-MCO	1/1/12 1:29 PM (-05:00)			1/1/12 4:22 PM (-05:00)		
myrateplan	UA-37-EWR-MCO	1/1/12 1:29 PM (-05:00)			1/1/12 4:22 PM (-05:00)		
helloflight	UA-37-EWR-MCO	1/1/12 1:29 PM (-05:00)			1/1/12 4:22 PM (-05:00)		
flytecomm	UA-37-EWR-MCO	1/1/12 1:29 PM (-05:00)			1/1/12 4:22 PM (-05:00)		
flightaware	UA-37-EWR-MCO	2012-01-01 01:29PM EST	2012-01-01 01:44PM EST	 135 	2012-01-01 04:18PM EST	2012-01-01 04:10PM EST	 39 
wunderground	UA-37-EWR-MCO	2012-01-01 01:29PM EST	2012-01-01 01:44PM EST	 135 	2012-01-01 04:18PM EST	2012-01-01 04:10PM EST	 39 
flights	UA-37-EWR-MCO		2012-01-01 01:30 PM	135		2012-01-01 04:15 PM	39
businesstravellogue	UA-37-EWR-MCO		2012-01-01 01:30 PM	135		2012-01-01 04:15 PM	39
flylouisville	UA-37-EWR-MCO		2012-01-01 01:30 PM	135		2012-01-01 04:15 PM	39
flightstats	UA-37-EWR-MCO	2012-01-01 1:29 PM	2012-01-01 1:30 PM		2012-01-01 4:22 PM	2012-01-01 4:15 PM	
quicktrip	UA-37-EWR-MCO	2012-01-01 1:29 PM	2012-01-01 1:30 PM		2012-01-01 4:22 PM	2012-01-01 4:15 PM	
flightview	UA-37-EWR-MCO		1:44 PMJan 01			4:15 PMJan 01	
panynj	UA-37-EWR-MCO		1:44 PMJan 01			4:15 PMJan 01	
gofox	UA-37-EWR-MCO		1:44 PMJan 01			4:15 PMJan 01	
foxbusiness	UA-37-EWR-MCO		1:44 PMJan 01			4:15 PMJan 01	
allegiantair	UA-37-EWR-MCO		1:44 PMJan 01			4:15 PMJan 01	
boston	UA-37-EWR-MCO		1:44 PMJan 01			4:10 PMJan 01	
orbitz	UA-37-EWR-MCO	1:29pJan 1	1:30pJan 1	 C135	4:22pJan 1	4:15pJan 1	 39
ifly	UA-37-EWR-MCO	2012-01-01 1:29 PM	2012-01-01 1:30 PM		2012-01-01 4:22 PM	2012-01-01 4:15 PM	
flightarrival	UA-37-EWR-MCO		1:44 PMJan 01			4:10 PMJan 01	
aa	AA-1066-MEX-DFW	January 1, 2012               06:05 AM    	January 1, 2012               06:04 AM    	 36	January 1, 2012               08:50 AM    	January 1, 2012               08:44 AM    	 D40    
airtravelcenter	AA-1066-MEX-DFW		1/1/12 6:19 AM (-06:00)			1/1/12 8:34 AM (-06:00)	
myrateplan	AA-1066-MEX-DFW		1/1/12 6:19 AM (-06:00)			1/1/12 8:34 AM (-06:00)	
helloflight	AA-1066-MEX-DFW		1/1/12 6:19 AM (-06:00)			1/1/12 8:34 AM (-06:00)	
flytecomm	AA-1066-MEX-DFW		1/1/12 6:19 AM (-06:00)			1/1/12 8:34 AM (-06:00)	
flights	AA-1066-MEX-DFW		2012-01-01 06:04 AM	36		2012-01-01 08:44 AM	D40
businesstravellogue	AA-1066-MEX-DFW		2012-01-01 06:04 AM	36		2012-01-01 08:44 AM	D40
flylouisville	AA-1066-MEX-DFW		2012-01-01 06:04 AM	36		2012-01-01 08:44 AM	D40
flightview	AA-1066-MEX-DFW		6:26 AMJan 01			8:31 AMJan 01	
panynj	AA-1066-MEX-DFW		6:26 AMJan 01			8:31 AMJan 01	
gofox	AA-1066-MEX-DFW		6:26 AMJan 01			8:31 AMJan 01	
foxbusiness	AA-1066-MEX-DFW		6:26 AMJan 01			8:31 AMJan 01	
allegiantair	AA-1066-MEX-DFW		6:26 AMJan 01			8:31 AMJan 01	
boston	AA-1066-MEX-DFW		6:26 AMJan 01			8:31 AMJan 01	
orbitz	AA-1066-MEX-DFW	6:05aJan 1		 -	8:50aJan 1		 D40
weather	AA-1066-MEX-DFW	2012-01-01 06:05 AM			2012-01-01 08:50 AM		
flightarrival	AA-1066-MEX-DFW	2012-01-01 06:05 AM			2012-01-01 08:50 AM		
aa	AA-1886-BOS-MIA	January 1, 2012               10:45 AM    	January 1, 2012               10:41 AM    	 B32	January 1, 2012               02:20 PM    	January 1, 2012               02:14 PM    	 D4    
flightexplorer	AA-1886-BOS-MIA		1/1/2012 10:59AM EST			1/1/2012 1:53PM EST	
airtravelcenter	AA-1886-BOS-MIA		1/1/12 10:58 AM (-05:00)			1/1/12 1:53 PM (-05:00)	
myrateplan	AA-1886-BOS-MIA		1/1/12 10:58 AM (-05:00)			1/1/12 1:53 PM (-05:00)	
helloflight	AA-1886-BOS-MIA		1/1/12 10:58 AM (-05:00)			1/1/12 1:53 PM (-05:00)	
flytecomm	AA-1886-BOS-MIA		1/1/12 10:58 AM (-05:00)			1/1/12 1:53 PM (-05:00)	
flights	AA-1886-BOS-MIA		2012-01-01 10:41 AM	B32		2012-01-01 02:14 PM	D4
businesstravellogue	AA-1886-BOS-MIA		2012-01-01 10:41 AM	B32		2012-01-01 02:14 PM	D4
flylouisville	AA-1886-BOS-MIA		2012-01-01 10:41 AM	B32		2012-01-01 02:14 PM	D4
flightview	AA-1886-BOS-MIA		10:59 AMJan 01			2:14 PMJan 01	
panynj	AA-1886-BOS-MIA		10:59 AMJan 01			2:14 PMJan 01	
gofox	AA-1886-BOS-MIA		10:59 AMJan 01			2:14 PMJan 01	
foxbusiness	AA-1886-BOS-MIA		10:59 AMJan 01			2:14 PMJan 01	
allegiantair	AA-1886-BOS-MIA		10:59 AMJan 01			2:14 PMJan 01	
boston	AA-1886-BOS-MIA		10:59 AMJan 01			2:05 PMJan 01	
orbitz	AA-1886-BOS-MIA	10:45aJan 1	10:41aJan 1	 B32	2:20pJan 1	2:14pJan 1	 D4
weather	AA-1886-BOS-MIA	2012-01-01 10:45 AM			2012-01-01 02:20 PM		
mia	AA-1886-BOS-MIA				2:20P 01-01-12	2012-01-01  2:14P	
usatoday	AA-1886-BOS-MIA		10:59 AMJan 01			2:05 PMJan 01	
mytripandmore	AA-1886-BOS-MIA	10:45aJan 1	10:41aJan 1	 B32	2:20pJan 1	2:14pJan 1	 D4
flightarrival	AA-1886-BOS-MIA		10:59 AMJan 01			2:05 PMJan 01	
ua	UA-3523-IAD-CMH	Sun, Jan 1 10:21 PM	Sun, Jan 1 10:21 PM            On Time	D18	Sun, Jan 1 11:33 PM	Sun, Jan 1 11:33 PM	--
airtravelcenter	UA-3523-IAD-CMH		1/1/12 10:34 PM (-05:00)			1/1/12 11:25 PM (-05:00)	
myrateplan	UA-3523-IAD-CMH		1/1/12 10:34 PM (-05:00)			1/1/12 11:25 PM (-05:00)	
helloflight	UA-3523-IAD-CMH		1/1/12 10:34 PM (-05:00)			1/1/12 11:25 PM (-05:00)	
flytecomm	UA-3523-IAD-CMH		1/1/12 10:34 PM (-05:00)			1/1/12 11:25 PM (-05:00)	
flights	UA-3523-IAD-CMH	2012-01-01 10:21 PM		D18	2012-01-01 11:33 PM		
businesstravellogue	UA-3523-IAD-CMH	2012-01-01 10:21 PM		D18	2012-01-01 11:33 PM		
flylouisville	UA-3523-IAD-CMH	2012-01-01 10:21 PM		D18	2012-01-01 11:33 PM		
flightview	UA-3523-IAD-CMH	10:21 PMJan 01			11:33 PMJan 01		
panynj	UA-3523-IAD-CMH	10:21 PMJan 01			11:33 PMJan 01		
gofox	UA-3523-IAD-CMH	10:21 PMJan 01			11:33 PMJan 01		
foxbusiness	UA-3523-IAD-CMH	10:21 PMJan 01			11:33 PMJan 01		
allegiantair	UA-3523-IAD-CMH	10:21 PMJan 01			11:33 PMJan 01		
boston	UA-3523-IAD-CMH	10:21 PMJan 01			11:33 PMJan 01		
orbitz	UA-3523-IAD-CMH	10:21pJan 1		 D18	11:33pJan 1		 -
iad	UA-3523-IAD-CMH	2012-01-01 22:21 	2012-01-01 22:21 				
aa	AA-3824-DEN-LAX	January 1, 2012               08:10 PM    	January 1, 2012               08:05 PM    	 A49	January 1, 2012               09:50 PM    	January 1, 2012     	 44J    
airtravelcenter	AA-3824-DEN-LAX		1/1/12 8:16 PM (-07:00)			1/1/12 9:13 PM (-08:00)	
myrateplan	AA-3824-DEN-LAX		1/1/12 8:16 PM (-07:00)			1/1/12 9:13 PM (-08:00)	
helloflight	AA-3824-DEN-LAX		1/1/12 8:16 PM (-07:00)			1/1/12 9:13 PM (-08:00)	
flytecomm	AA-3824-DEN-LAX		1/1/12 8:16 PM (-07:00)			1/1/12 9:13 PM (-08:00)	
flightaware	AA-3824-DEN-LAX	2012-01-01 08:10PM MST	2012-01-01 08:16PM MST	 A49 	2012-01-01 09:22PM PST	2012-01-01 09:11PM PST	 44J 
wunderground	AA-3824-DEN-LAX	2012-01-01 08:10PM MST	2012-01-01 08:16PM MST	 A49 	2012-01-01 09:22PM PST	2012-01-01 09:11PM PST	 44J 
flights	AA-3824-DEN-LAX	08:10 PM  Sun 01-Jan-2012		A49	09:50 PM  Sun 01-Jan-2012		44
businesstravellogue	AA-3824-DEN-LAX	08:10 PM  Sun 01-Jan-2012		A49	09:50 PM  Sun 01-Jan-2012		44
flylouisville	AA-3824-DEN-LAX	08:10 PM  Sun 01-Jan-2012		A49	09:50 PM  Sun 01-Jan-2012		44
flightstats	AA-3824-DEN-LAX	2012-01-01 8:10 PM	2012-01-01 8:05 PM		2012-01-01 9:50 PM	2012-01-01 9:26 PM (Estimated)	
quicktrip	AA-3824-DEN-LAX	2012-01-01 8:10 PM	2012-01-01 8:05 PM		2012-01-01 9:50 PM	2012-01-01 9:26 PM (Estimated)	
world-flight-tracker	AA-3824-DEN-LAX	2012-01-01 8:10 PM	2012-01-01 8:05 PM		2012-01-01 9:50 PM	2012-01-01 9:26 PM (Estimated)	
flightview	AA-3824-DEN-LAX	8:10 PM, Jan 01	8:16 PM, Jan 01		9:50 PM, Jan 01		
panynj	AA-3824-DEN-LAX	8:10 PM, Jan 01	8:16 PM, Jan 01		9:50 PM, Jan 01		
gofox	AA-3824-DEN-LAX	8:10 PM, Jan 01	8:16 PM, Jan 01		9:50 PM, Jan 01		
foxbusiness	AA-3824-DEN-LAX	8:10 PM, Jan 01	8:16 PM, Jan 01		9:50 PM, Jan 01		
allegiantair	AA-3824-DEN-LAX	8:10 PM, Jan 01	8:16 PM, Jan 01		9:50 PM, Jan 01		
boston	AA-3824-DEN-LAX	8:10 PM, Jan 01	8:16 PM, Jan 01		9:50 PM, Jan 01	9:17 PM, Jan 01&nbsp(Estimated)	
orbitz	AA-3824-DEN-LAX	8:10pJan 1	8:05pJan 1	 A49	8:48pJan 1		 44J
weather	AA-3824-DEN-LAX	2012-01-01 08:10 PM			2012-01-01 09:50 PM		
den	AA-3824-DEN-LAX	2012-01-01 8:10 PM		A49			
usatoday	AA-3824-DEN-LAX	2012-01-01 08:10 PM			2012-01-01 09:50 PM		
flightarrival	AA-3824-DEN-LAX	2012-01-01 08:10 PM			2012-01-01 09:50 PM		
aa	AA-567-DFW-SNA	January 1, 2012               05:15 PM    	January 1, 2012     	 A38	January 1, 2012               06:30 PM    	January 1, 2012     	 8    
airtravelcenter	AA-567-DFW-SNA		1/1/12 5:38 PM (-06:00)			1/1/12 6:27 PM (-08:00)	
myrateplan	AA-567-DFW-SNA		1/1/12 5:38 PM (-06:00)			1/1/12 6:27 PM (-08:00)	
helloflight	AA-567-DFW-SNA		1/1/12 5:38 PM (-06:00)			1/1/12 6:27 PM (-08:00)	
flytecomm	AA-567-DFW-SNA		1/1/12 5:38 PM (-06:00)			1/1/12 6:27 PM (-08:00)	
flights	AA-567-DFW-SNA	2012-01-01 05:15 PM		A38	2012-01-01 06:30 PM		8
businesstravellogue	AA-567-DFW-SNA	2012-01-01 05:15 PM		A38	2012-01-01 06:30 PM		8
flylouisville	AA-567-DFW-SNA	2012-01-01 05:15 PM		A38	2012-01-01 06:30 PM		8
flightstats	AA-567-DFW-SNA	2012-01-01 5:15 PM	2012-01-01 5:15 PM (Estimated)		2012-01-01 6:30 PM	2012-01-01 6:30 PM (Estimated)	
quicktrip	AA-567-DFW-SNA	2012-01-01 5:15 PM	2012-01-01 5:15 PM (Estimated)		2012-01-01 6:30 PM	2012-01-01 6:30 PM (Estimated)	
flightview	AA-567-DFW-SNA	5:15 PMJan 01			6:30 PMJan 01		
panynj	AA-567-DFW-SNA	5:15 PMJan 01			6:30 PMJan 01		
gofox	AA-567-DFW-SNA	5:15 PMJan 01			6:30 PMJan 01		
foxbusiness	AA-567-DFW-SNA	5:15 PMJan 01			6:30 PMJan 01		
allegiantair	AA-567-DFW-SNA	5:15 PMJan 01			6:30 PMJan 01		
boston	AA-567-DFW-SNA	5:15 PMJan 01			6:30 PMJan 01		
orbitz	AA-567-DFW-SNA	5:15pJan 1		 A38	6:30pJan 1		 8
dfw	AA-567-DFW-SNA	2012-01-01 5:15 pm		A38			
mytripandmore	AA-567-DFW-SNA	5:15pJan 1		 A38	6:30pJan 1		 8
aa	AA-4242-CLE-JFK	January 1, 2012               12:20 PM    	January 1, 2012               12:12 PM    	 A1	January 1, 2012               02:00 PM    	January 1, 2012               01:42 PM    	 32I    
flightexplorer	AA-4242-CLE-JFK		1/1/2012 12:24PM EST			1/1/2012 1:21PM EST	
airtravelcenter	AA-4242-CLE-JFK		1/1/12 12:24 PM (-05:00)			1/1/12 1:21 PM (-05:00)	
myrateplan	AA-4242-CLE-JFK		1/1/12 12:24 PM (-05:00)			1/1/12 1:21 PM (-05:00)	
helloflight	AA-4242-CLE-JFK		1/1/12 12:24 PM (-05:00)			1/1/12 1:21 PM (-05:00)	
flytecomm	AA-4242-CLE-JFK		1/1/12 12:24 PM (-05:00)			1/1/12 1:21 PM (-05:00)	
flightaware	AA-4242-CLE-JFK	2012-01-01 12:20PM EST	2012-01-01 12:24PM EST	 A1 	2012-01-01 01:38PM EST	2012-01-01 01:36PM EST	 32I 
